domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
cordishotels.com.hk,"5-Star Hotel in the heart of Mongkok | Cordis, Hong Kong",,CHN,77,887958,2026-05-13T10:05:20.011447634Z,"['AddThis', 'AddThis for Wordpress', 'Adobe Analytics', 'Adobe CQ', 'Adobe Experience Manager', 'Adobe Marketing Cloud', 'Akamai Edge', 'Akamai Global Host', 'Alternate Protocol', 'Angular', 'Apture Linking Platform', 'Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'SEVENROOMS', 'Salesforce Experience Cloud', 'Tailwind CSS', 'UTF-8', 'accessiBe']"
gmcterraincalgary.com,CMP Auto | Calgary's Largest GM Inventory | New & Used Vehicle Dealer,,CAN,77,447772,2026-05-13T10:05:19.984616982Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Apture Linking Platform', 'Better Lead Generation Services', 'CallRail', 'Cloudflare', 'Content Delivery Network', 'CrazyEgg', 'Dealer.com', 'DealerSites', 'DriveCentric', 'EmbedPress', 'Express', 'Fox Dealer', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'JIRA', 'Microdata for Google Shopping', 'Perl', 'QUIC', 'Revolution Parts', 'SMC', 'Salesforce Experience Cloud', 'Snowplow', 'Tailwind CSS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'accessiBe', 'jQuery', 'jsDelivr']"
bigbearcycling.com,Home - Big Bear Cycling Association,Big Bear Cycling Association,BRA,82,7793,2026-05-13T09:50:20.010777929Z,"['Alternate Protocol', 'Astra Theme', 'Constant Contact Wordpress Forms', 'Content Delivery Network', 'Custom Twitter Feeds', 'Elementor', 'EmbedPress', 'Fonts Plugin', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Shopify', 'Tailwind CSS', 'Termly', 'Theme In WP', 'UTF-8', 'WP Fastest Cache', 'WP Gallery Custom Links', 'WP Mobile Menu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'accessiBe']"
mycomplia.com,Cannabis Licensing Software | Tyler Technologies,,,62,305957,2026-05-13T09:50:20.002802557Z,"['AWS WAF Challenge', 'Amazon', 'Apture Linking Platform', 'AutoComplete', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Corporate Governance and Regulatory Compliance', 'DNN Software', 'Font Awesome', 'FreeCSSTemplates', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'NFOrce Internet', 'Prospective', 'QUIC', 'Schema Plugin', 'Tailwind CSS', 'Twitter Ads', 'Tyler Technologies', 'UTF-8', 'YouTube', 'accessiBe', 'jQuery']"
spotontalent.com,Job Search Sites | Dallas Staffing Agencies | Spot on Talent,Spot On Talent,USA,82,31969,2026-05-13T09:44:19.975604454Z,"['Accelerated Mobile Pages', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon WAF Blocked', 'Bullhorn Staffing', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Content ad', 'Ekko Theme', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Herefish', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'PushAlert', 'QUIC', 'Recent Posts Widget With Thumbnails', 'Redux Framework', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WP Job Manager', 'WP-Members', 'WPBakery', 'WPForms', 'Web Stories', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'accessiBe', 'jQuery', 'reCAPTCHA']"
workespinspire.com,Leading Digital and Business Solutions Provider | ESP Inspire,Top Rated Web Development & Digital Marketing Company - ESP Inspire,USA,82,167797,2026-05-13T09:35:46.589947806Z,"['AJAX Libraries API', 'Better Lead Generation Services', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Clutch', 'Corporate Governance and Regulatory Compliance', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GetResponse', 'GoodFirms', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'LiteSpeed', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Mouseflow', 'QUIC', 'RM Education', 'Salesforce Experience Cloud', 'Seflow Italy', 'StackPath', 'StatCounter', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'accessiBe', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
goldenhillnursing.com,Homepage - Golden Hill Nursing and Rehabilitation Center,Golden Hill Nursing & Rehab Center,JAM,70,8833,2026-05-13T09:17:19.980990898Z,"['Add to Any', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'Theme In WP', 'Tidio', 'UTF-8', 'University or College', 'Weglot', 'WordPress', 'WordPress Multisite', 'accessiBe', 'jQuery', 'reCAPTCHA']"
maxclarity.com,Trusted Dermatologist-Recommended Acne Treatments | PanOxyl,,,67,59977,2026-05-13T09:08:19.969907465Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon WAF Blocked', 'Amazon Widgets', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'CookieYes', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'GoDaddy', 'Google', 'Google Analytics', 'Google Conversion Tracking', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HMDG', 'HubSpot WordPress Plugin', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Klaviyo for WordPress', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'PWA', 'The Trade Desk Direct', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Walmart', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'accessiBe', 'jQuery', 'reCAPTCHA']"
voyagerrv.com,Home - Voyager RV Resort,Voyager RV Resort,USA,77,34846,2026-05-13T08:56:20.002397645Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Contact Form Plugin', 'EmbedPress', 'Express', 'Fancybox for WordPress', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Network Advertising Initiative', 'Newsletter for Wordpress', 'PHP', 'Perl', 'QUIC', 'Share Link', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'accessiBe', 'jQuery', 'reCAPTCHA']"
yahnundasis.org,Home | Yahnundasis,,,52,1888,2026-05-13T08:37:18.485068317Z,"['Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Slider Revolution', 'Tailwind CSS', 'Termly', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'accessiBe']"
