domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
devineconciergemedicine.com,Home | Devine Concierge Medicine,,USA,77,3898,2026-03-11T14:26:12.880220681Z,"['Active Campaign', 'Alternate Protocol', 'Amazon CloudFront', 'Apache', 'CloudFront', 'Coming Soon Page', 'Craft', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OpenSSL', 'UTF-8', 'University or College']"
algebra2coach.com,Algebra2Coach.com - Home Page - https://gameplanyourfuture-app.clickfunnels.com/,,,67,18795,2026-03-11T13:01:26.780317295Z,"['AWS WAF Challenge', 'Active Campaign', 'Aruba', 'CDN JS', 'ClickFunnels', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'GrooveHQ', 'Instagram Follow Button', 'Pinterest Conversion Tracking', 'Twitter Ads', 'UTF-8', 'WordPress', 'eLand']"
fieldcircle.net,Maintenance and Field Service crm with IIoT | FieldCircle,,USA,82,31918,2026-03-11T11:29:35.569107619Z,"['Active Campaign', 'Alternate Protocol', 'Apache', 'App Store', 'Apture Linking Platform', 'CleanTalk Spam Protect', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Hubspot', 'Intercom', 'Lazy Load for WordPress', 'LinkedIn Insights', 'LinkedIn Pixel', 'LiveChat', 'LiveChat Monitoring', 'MailChimp', 'Metronet Profile Picture', 'Microdata for Google Shopping', 'PHP', 'PWA', 'Perl', 'Rocket Chat', 'SuperPWA', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'route']"
g5fs.com.au,G5FS – Group 5,,FLK,65,17114,2026-03-11T09:43:48.044944518Z,"['Active Campaign', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'Flatsome', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPFront Scroll Top', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
digipom.eu,DIGIPOM - Digitalising the potato industry,,BEL,65,43660,2026-03-11T08:01:06.263323309Z,"['AWS WAF Challenge', 'Active Campaign', 'Alternate Protocol', 'Content Delivery Network', 'Drupal', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'K2F', 'Microsoft Azure', 'Tailwind CSS', 'Twitter Ads', 'UTF-8']"
ideovee.com,Ideovee: Business Solutions,,,60,629,2026-03-11T08:01:06.239809957Z,"['AWS WAF Challenge', 'Active Campaign', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Calendly', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Hubspot', 'LinkedIn Insights', 'LinkedIn Pixel', 'PHP', 'QUIC', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'WP Rocket', 'WordPress', 'WordPress Multisite']"
mikisturges.com,Miki Sturges,Miki Sturges,,60,952,2026-03-11T07:38:42.073317482Z,"['Active Campaign', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
thomasbillingsjr.com,Relational Dynamics at Work,,,67,5633,2026-03-11T05:46:34.992802981Z,"['Active Campaign', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
pulsioprint.co.uk,"Premium printing of Hardcover and Paperback books, Catalogs, Photo albums, and much more ✔ 30% yearly growth✔ More than 6000 titles are printed annually✔ Professional personalized advice and 97% customer satisfaction✔ Premium print quality thanks to H-UV technology✔ A wide variety of papers, lamination & special finishes, and art board binding options✔ 140 collaborators",PulsioPrint,,72,1924,2026-03-11T03:59:27.937760594Z,"['Active Campaign', 'Alternate Protocol', 'Apache', 'EmbedPress', 'Express', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'Repuso', 'Simple Social Icons', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'University or College', 'WPBakery', 'WPML Multilingual', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
pulsioprint.us,"Premium printing of Hardcover and Paperback books, Catalogs, Photo albums, and much more",PulsioPrint,,72,1924,2026-03-11T03:59:27.937474462Z,"['Active Campaign', 'Alternate Protocol', 'Apache', 'EmbedPress', 'Express', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'Repuso', 'Simple Social Icons', 'Smart Slider 3', 'Theme In WP', 'UTF-8', 'University or College', 'WPBakery', 'WPML Multilingual', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
