domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
spinneysmaine.com,"Spinney's Restaurant & Lodging | Oceanfront Restaurant | 987 Popham Rd, Phippsburg, ME 04562, USA",,,72,176903,2026-09-06T10:49:56.394377417Z,"['AdRoll', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudbeds', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'The Fresh', 'Toast POS', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
rmliquor.com,"Fine Spirits, Cigars, and Wine in Helena, MT - Rocky Mountain Liquor",,NLD,92,2589,2026-09-06T09:51:08.033754947Z,"['AJAX Libraries API', 'AdRoll', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'App Store', 'AutoComplete', 'CloudFront', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Schema Plugin', 'Twitter Ads', 'Yelp Badge', 'eLand', 'jQuery']"
cargomatic.com,On-Demand Capacity for an On-Demand World | Cargomatic,,USA,82,407084,2026-09-06T08:55:04.024491838Z,"['AdRoll', 'Akamai Global Host', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'App Store', 'AppNexus Direct', 'ArvanCloud', 'AudioEye', 'Better Lead Generation Services', 'BidSwitch Direct', 'Bulma', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'DoubleClick Bid Manager', 'ElementUI', 'EmbedPress', 'Enzuzo', 'Facebook Reseller', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'IponWeb BidSwitch', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Nginx', 'OneTrust Domain Verification', 'OpenX Direct', 'Oribi Analytics', 'Outbrain Direct', 'PHP', 'Pardot', 'Pubmatic', 'SMC', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'StackPath', 'Subversion', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Theme In WP', 'Triple Lift Direct', 'Twitter Ads', 'UTF-8', 'WP Engine', 'Wistia', 'Woopra', 'WordPress', 'WordPress Multisite', 'Yahoo Web Analytics', 'YouTube', 'jQuery', 'jsDelivr']"
edificeinvest.com,Birmingham Property Investment Specialists - Edifice Invest,,USA,87,4559,2026-09-06T08:46:33.004072943Z,"['AdRoll', 'Adult Content', 'Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Formidable Pro Form', 'GDPR Cookie Compliance', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'PHP', 'PixelYourSite', 'QUIC', 'Slider Revolution', 'The7', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Composer Ultimate Addons', 'WP GDPR Compliance', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
tdecustadium.net,TDECU | Your Texas Credit Union With Digital Banking,,USA,77,140425,2026-09-06T05:52:58.285256613Z,"['AdRoll', 'Alternate Protocol', 'App Store', 'Better Lead Generation Services', 'Bing Cashback', 'Bing Conversion Tracking', 'BlueKai', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'CrazyEgg', 'DoubleClick Bid Manager', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Joomla!', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Monsido', 'Nationwide Mortgage Licensing System and Registry', 'Nginx', 'Ntent', 'Onyx Internet', 'QUIC', 'RokNavMenu', 'Smart App Banner', 'TVSquared', 'Tailwind CSS', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'jQuery', 'jsDelivr']"
sampsonbaileysolicitors.co.uk,Criminal Defence Law Firm | Sampson Bailey Solicitors | London - SampsonBaileySolicitors SampsonBaileySolicitors -,Sampson Bailey Solicitors,GBR,77,1856672,2026-09-06T01:07:07.574744198Z,"['33 Across Direct', 'AB Tasty', 'ADFOX', 'AWS WAF Challenge', 'Active Campaign', 'AdRoll', 'AddThis for Wordpress', 'Adform Direct', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Adpushup', 'Aimtell', 'Akamai Global Host', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amped', 'Amplitude', 'Analytify', 'AnyChat', 'AppNexus Direct', 'Automattic', 'BLR', 'Baidu Ads', 'Baidu Analytics', 'Baidu Cloud', 'Band Camp', 'Bazaarvoice', 'Bazaarvoice Curations', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Birdeye', 'Brevo', 'Brightcove', 'BunnyCDN Header', 'ByteDance', 'Calendly', 'Camp', 'Chartbeat', 'Chatra', 'Clicky', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Stream', 'Cloudflare Web Analytics', 'Cognito Forms', 'Connatix Reseller', 'Constant Contact', 'Content Delivery Network', 'Content Square', 'Convert', 'ConvertKit', 'Cookie First', 'CookieYes', 'Countly', 'CrazyEgg', 'Crisp', 'Criteo', 'Criteo Reseller', 'Crowdsignal', 'Customer.io', 'Cybot', 'DailyMotion Video', 'Dailymotion Reseller', 'Decibel Insight', 'DemDex', 'Didomi', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Drift', 'Drip', 'Dynamic Yield', 'Eber', 'Eloqua', 'EmbedPress', 'Engage', 'Ensighten', 'Enzuzo', 'ExactTarget', 'Ezoic Direct', 'Ezoic Publisher', 'Facebook Embedded Posts', 'Facebook Pixel', 'Facebook Reseller', 'Feefo', 'Fireblade', 'Fomo', 'Font Awesome', 'Fonts.com', 'Formstack', 'Freshdesk Support', 'Freshpaint', 'Freshworks Bot', 'FullStory', 'GetGist', 'GetResponse', 'GetSiteControl', 'Giphy', 'GoatCounter', 'Google', 'Google Adsense', 'Google Analytics', 'Google Calendar', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gorgias', 'GumGum', 'GumGum Direct', 'Heap', 'Hello Bar', 'Help Scout', 'HelpCrunch', 'Hotjar', 'HubSpot Conversations', 'Hubspot', 'ID Services', 'Infolinks', 'Inspectlet', 'Instagram Follow Button', 'Intercom', 'IponWeb BidSwitch', 'Iterable', 'Iubenda', 'JW Player Platform', 'Jetpack', 'JivoSite', 'JotForm', 'Kakao', 'Kaltura', 'Kameleoon', 'Kampyle Analytics', 'Klaviyo', 'Leadfeeder', 'Lijit Reseller', 'LinkedIn Insights', 'LiteSpeed', 'LiveChat', 'LiveChat Monitoring', 'LiveRamp', 'MGID', 'MGID Reseller', 'MailChimp', 'MailerLite', 'Mailjet Widget', 'Marketo', 'Matomo', 'Mautic', 'Media.net', 'Media.net Reseller', 'Mediavine Publisher', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Microsoft Clarity', 'Mixpanel', 'Monetate', 'Monster', 'Monumetric Publisher', 'Mouseflow', 'New Relic', 'Ntent', 'Nudgify', 'OSS CDN', 'Okendo', 'Olark', 'OmniConvert', 'Omnisend', 'OneTrust Domain Verification', 'Ontraport', 'OpenX Direct', 'Optimizely Recommendations', 'OptinMonster', 'Outbrain Direct', 'PHP', 'Paperform', 'Pardot', 'Parse.ly', 'PayPal', 'PayPal Adaptive Payments', 'Pendo', 'Personyze', 'Pinterest Conversion Tracking', 'Pirsch', 'Piwik PRO', 'Plausible Analytics', 'Podium', 'PollDaddy', 'PubMatic Direct', 'Pubmatic', 'PushAlert', 'PushEngage', 'QUIC', 'Qualtrics Site Intercept', 'Quantcast Direct', 'Quantum Metric', 'RM Education', 'RTB House Direct', 'Reamaze', 'Revcontent Reseller', 'ReviewsOnMyWebsite', 'Rumble Player', 'ScarabResearch', 'Seflow Italy', 'Segment', 'Segment Consent Manager', 'SendPulse', 'Sentry', 'ShareThis', 'Shopper Approved', 'Simple Analytics', 'Site Kit', 'SiteW', 'SiteWit', 'SmartAdServer Direct', 'SmartSupp', 'SnapEngage', 'Sourcepoint', 'SproutVideo', 'Stamped', 'StatCounter', 'Streamable', 'Sumo', 'Swell Rewards', 'Taboola Direct', 'Taboola Reseller', 'Tally', 'Tealium', 'Telegram', 'The Trade Desk Direct', 'Thrive Direct', 'TikTok Conversion Tracking Pixel', 'Triple Lift Direct', 'TrustPulse', 'Tumblr', 'Twitch', 'Twitter Ads', 'Twitter Analytics', 'Typeform', 'UK Cookie Consent', 'UTF-8', 'Vercel', 'Vimeo', 'Vimeo CDN', 'Vine Embed', 'Visual Website Optimizer', 'WPBakery', 'Webpushr', 'Wistia', 'Woo Themes', 'Woopra', 'WordPress', 'WordPress Multisite', 'Wufoo', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'Yandex Hosting', 'Yieldmo Direct', 'Yotpo', 'YouTube', 'Zendesk Embeddables', 'Zoho SalesIQ', 'arsys.es', 'comScore', 'eKomi', 'iZooto', 'jQuery', 'jsDelivr', 'mParticle', 'reCAPTCHA']"
aptflo.com,"Apartments Florence, vacation short and long term home rentals Florence, Tuscany, Italy",,ITA,77,22308,2026-09-05T22:06:57.931988611Z,"['AdRoll', 'Albacross', 'Amazon S3 CDN', 'Apple Auto Link Maker', 'Azion', 'Bing Cashback', 'Bing Conversion Tracking', 'Booking Affiliate', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Kross Booking', 'LinkedIn Insights', 'OSS CDN', 'Storyblocks', 'Subversion', 'Tailwind CSS', 'Tawk', 'Twitter Ads', 'UTF-8', 'YouTube', 'reCAPTCHA']"
alekoproducts.ca,ALEKO Products | Online Mega Store | Home & Garden | Gates | Home Improvement | Outdoor Living | Pet Supplies & More,,FRA,77,48904,2026-09-05T21:58:50.790801067Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'AdRoll', 'Apture Linking Platform', 'AutoComplete', 'Bolt', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Daily Deals', 'Facebook Pixel', 'Facebook Tag API', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'PHP', 'PayPal', 'QUIC', 'ReviewsOnMyWebsite', 'Ruxit', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vextras', 'Volusion', 'Volusion Live Chat']"
trustedlandco.com,trusted land company | Trusted Land Co.,Trusted Land Co.,USA,70,37414,2026-09-05T19:43:56.281256539Z,"['AWS WAF Challenge', 'AdRoll', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Divi', 'Elegant Themes', 'EmbedPress', 'Fonts Plugin', 'GoDaddy', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Microsoft Clarity', 'On The Map', 'PHP', 'Sapper', 'Theme In WP', 'UTF-8', 'WP Google Maps', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
ftcguardian.com,FTC Guardian,,USA,60,15125,2026-09-05T19:32:10.461142621Z,"['Active Campaign', 'AdRoll', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Analytify', 'Apache', 'CloudFront', 'ContentBox', 'ConvertBox', 'Corporate Governance and Regulatory Compliance', 'DoubleClick Bid Manager', 'EmbedPress', 'Express', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Analytics with Ad Tracking', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Gravity', 'NFOrce Internet', 'PHP', 'Perfect Audience', 'QUIC', 'Sign In With Google', 'UTF-8', 'UserWay', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'reCAPTCHA', 'sniply']"
