domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
alefbricks.com,Welcome to Aleph Brick™ - The Best Jewish Educational Children's Toys!,Aleph Brick™,USA,77,92494,2026-05-10T10:44:19.981958511Z,"['Afterpay', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'Aruba', 'Cart.com', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'ETranslate', 'Express', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Metricool', 'Microdata for Google Shopping', 'NFOrce Internet', 'Omnisend', 'PageFly', 'QUIC', 'RM Education', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand', 'hCaptcha', 'reCAPTCHA']"
fabriccartel.com,Fabric Cartel,Fabric Cartel,VAT,72,54724,2026-05-10T10:29:20.008124983Z,"['Afterpay', 'Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'SAS', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
shieldsbros.co.nz,Shields Bros Panel & Paint,Shields Bros Panel &amp; Paint,USA,77,5532,2026-05-10T10:26:02.930426162Z,"['Afterpay', 'Alternate Protocol', 'Better Lead Generation Services', 'EWWW Image Optimizer', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Idaq', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'QUIC', 'Schema Plugin', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
c4gjewelers.com,"C4G Jewelers | 10K, 14K, 18K Gold Jewelry and Cuban Links",C4G Jewelers,,72,106574,2026-05-10T09:59:20.012609685Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Affirm', 'Afterpay', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Apture Linking Platform', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Express', 'Fancybox for WordPress', 'Financial Services Guide', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Related Website Sites', 'IcoMoon', 'Idaq', 'Instagram Follow Button', 'JotForm', 'K2F', 'Metricool', 'Microdata for Google Shopping', 'Onyx Internet', 'QUIC', 'RD Station', 'RM Education', 'SMC', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Subversion', 'UTF-8', 'UserWay', 'YouTube', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
southernbackroadtees.com,Southern Backroad Tees LLC,Southern Backroad Tees LLC ,,60,1040,2026-05-10T09:32:20.004758605Z,"['Afterpay', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Shopify', 'Shopify Collabs', 'Thank You', 'UTF-8', 'Umbler', 'hCaptcha', 'reCAPTCHA']"
jojovitamins.com,Dr JOJO Vitamins,Dr JOJO Vitamins,,62,10604,2026-05-10T09:17:20.006178733Z,"['Afterpay', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Discord', 'Eggflow', 'Express', 'Fastly', 'GetSiteControl', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'JustUno', 'Klaviyo', 'Microdata for Google Shopping', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
audriniliving.com,Quality Wood Panels & Interiors – Wall Panelling by Audrini Living,Audrini Living,England,82,6864,2026-05-10T09:11:19.991255275Z,"['Afterpay', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Google Related Website Sites', 'IcoMoon', 'Imgix', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Shopify', 'Shopify Collabs', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
soothingpillow.com,Soothing Home,Soothing Home,USA,65,113950,2026-05-10T08:53:19.994770222Z,"['AJAX Libraries API', 'Afterpay', 'Apture Linking Platform', 'Azure Edge', 'Barracuda Web App Firewall', 'Bing Cashback', 'Bing Conversion Tracking', 'Cart.com', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Kiwi Sizing', 'Klaviyo', 'Lucky Orange', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'SiteW', 'UTF-8', 'Varify', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
nakama-knives.com,Nakama | Premium Japanese Chef & Kitchen Knives,,USA,77,28843,2026-05-10T07:50:19.991486601Z,"['Afterpay', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Azure Edge', 'Bing Cashback', 'Bing Conversion Tracking', 'BunnyCDN General', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fastly', 'Global Privacy Control', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'GraphQL', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Newsletter for Wordpress', 'Onyx Internet', 'PHP', 'Parcel', 'ParcelPanel Order Tracking', 'Perl', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
kiwisafeguard.co.nz,Home | Kiwi Safeguard | Security Cameras NZ,Kiwi Safeguard,NZL,72,78977,2026-05-10T06:32:19.996219556Z,"['Afterpay', 'Aruba', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
