domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
501silverwood.info,Homepage - 501silverwood.info,501silverwood.info,USA,82,44650,2026-05-08T11:29:28.404095733Z,"['AWS WAF Challenge', 'Algolia', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fontello', 'FreeToBook', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Investor Relations', 'KVH', 'Keller Williams Realty', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Site Kit', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
duhncan.com,Duhncan's Personal Blog,,,45,,2026-05-08T11:02:19.998779622Z,"['Algolia', 'Alternate Protocol', 'Content Delivery Network', 'GitHub Hosting', 'Hugo', 'Instagram Follow Button', 'License Buttons', 'Microdata for Google Shopping', 'Netlify', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr']"
beachhouserentaldirect.com,Beach House Rental Direct – Discover Jacksonville beach house rentals direct. Find your perfect coastal escape with top rates & no hidden fees. Book your Florida getaway today!,,USA,65,24712,2026-05-08T10:30:20.295969812Z,"['AWS WAF Challenge', 'Algolia', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'Contact Form Plugin', 'DAV', 'Elementor', 'EmbedPress', 'Fontello', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Investor Relations', 'Jetpack', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Schema Plugin', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
vvhort.com,Home - Veritiv Visual Horticulture,Veritiv,,72,62419,2026-05-08T10:30:20.277698776Z,"['AWS WAF Challenge', 'Algolia', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Essential Blocks for Gutenberg', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Theme In WP', 'Trustarc Cookie Consent', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
lazymeal.com,Home | Lazymeal,,CAN,50,8846,2026-05-08T10:14:19.982177211Z,"['AJAX Libraries API', 'Algolia', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'ElementUI', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'Omeka', 'PHP', 'Perl', 'RM Education', 'UTF-8', 'Ubuntu', 'Waveform Technology', 'jQuery', 'jsDelivr']"
amoxicillinpharm.com,How to Get Amoxicillin Without a doctor's prescription online,,,72,97052,2026-05-08T09:59:20.001960454Z,"['AWS WAF Challenge', 'Algolia', 'Amazon Associates Affiliate Shop', 'Amazon WAF Blocked', 'Apache', 'Automattic', 'Azion', 'Cloudflare', 'DoubleClick Bid Manager', 'Express', 'Global Privacy Control', 'IcoMoon', 'Instagram Follow Button', 'K2F', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'Oddle', 'QUIC', 'RM Education', 'Sentry', 'Shipping Rates Calculator', 'Twitter Ads', 'US Privacy User Signal Mechanism', 'UTF-8', 'University or College', 'WordPress', 'YouTube', 'comScore', 'eLand', 'uPress']"
burnersunite.org,Home | Burners Unite,,CAN,45,8846,2026-05-08T09:56:20.006000003Z,"['AJAX Libraries API', 'Algolia', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'ElementUI', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'NFOrce Internet', 'Omeka', 'PHP', 'Perl', 'RM Education', 'UTF-8', 'Ubuntu', 'Waveform Technology', 'jQuery', 'jsDelivr']"
atlascamp.org,Home | Atlas Camp,,CAN,50,8846,2026-05-08T09:56:19.986309669Z,"['AJAX Libraries API', 'Algolia', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudinary', 'ElementUI', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'Omeka', 'PHP', 'Perl', 'RM Education', 'UTF-8', 'Ubuntu', 'Waveform Technology', 'YouTube', 'jQuery', 'jsDelivr']"
hardtalkinternationalmagazine.com,Hard Talk International Magazine -,Hard Talk International Magazine,NGA,75,21838,2026-05-08T07:59:20.005810017Z,"['AWS WAF Challenge', 'Adult Content', 'Algolia', 'Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Format', 'Formspree', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Schema Plugin', 'Site Kit', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Search with Algolia', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'shadcn ui']"
medilumine.com,Home - MediLumine,MediLumine,CAN,77,22290,2026-05-08T07:53:20.005894989Z,"['AWS WAF Challenge', 'Advanced Woo Search', 'Algolia', 'Alternate Protocol', 'Calendly', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Elementor', 'Elementor Addon Elements', 'EmbedPress', 'Essential Addons for Elementor', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Hello Elementor', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'NitroPack', 'PHP', 'Plausible Analytics', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'To Top', 'UTF-8', 'University or College', 'WP Search with Algolia', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
