domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
nothhingtoitfishingcharters.com,Fishing Charters New Smyrna Beach FL | Nothin To It Charters,Nothin To It Fishing Charters,USA,77,30042,2026-05-12T09:50:19.986755584Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Barracuda Web App Firewall', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
yumatours.net,"Farm & Desert Tours in Yuma, AZ | Yuma Tours",Yuma Tours,PHL,77,20042,2026-05-12T07:47:20.002309235Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Book Direct', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
78734homes.com,Seth Koppel | Home Search,,,35,28428,2026-05-12T06:50:20.007775238Z,"['AWS WAF Challenge', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'CloudFront', 'Cloudflare', 'Cloudflare Insights', 'Cloudflare Web Analytics', 'Cloudinary', 'Content Delivery Network', 'Fastly', 'Fireblade', 'GZIP Module', 'Homes.com CMS', 'LaunchDarkly', 'Luxury Presence', 'NFOrce Internet', 'Neighborhoods', 'Next.js', 'Pico CSS', 'Pleroma', 'Prospective', 'Salesforce Hosted', 'Storyblocks', 'UTF-8', 'Wolfnet']"
kingslayerchartersfl.com,Discover Panama City's Hidden Treasures with Captain John,King Slayer Charters,PHL,77,35042,2026-05-12T03:59:27.655109831Z,"['AWS WAF Challenge', 'Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
qualitytimechartersnc.com,Oak Island Charters | Inshore & Offshore Trips,Quality Time Charters,USA,77,30042,2026-05-12T02:50:19.985015322Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Barracuda Web App Firewall', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Express', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
creoplay.app,CreoPlay: Play the Best WEB3 Games,,,35,863,2026-05-12T00:44:19.984802493Z,"['AWS WAF Challenge', 'Amazon API Gateway', 'Amazon CloudFront', 'Ant Design Vue', 'App Store', 'CloudFront', 'CoinGecko', 'Content Delivery Network', 'Discord', 'Fastly', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'Nginx', 'Pleroma', 'Telegram', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'YouTube']"
endlessadventurefishing.com,Miami’s Premier Fishing Experience Awaits,Endless Adventure Fishing Charters,USA,77,20042,2026-05-11T22:27:18.760722808Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Harbor', 'Heap', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Ntent', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
moaguideservices.com,Lake Conroe Fishing Guide | Catfish & Bass Charters,M.O.A. Guide Services,USA,77,65101,2026-05-11T16:50:19.993884894Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'Cornerstone', 'DoubleClick Bid Manager', 'Fastly', 'Fireblade', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'The Fresh', 'UTF-8', 'YouTube']"
dahlcharters.com,Uncover The Hidden Benefits Of Hiring A Fishing Charter,Dahl Charter&apos;s,USA,77,20042,2026-05-11T10:38:19.984892776Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
rodneysguideservice.com,Your Ultimate Ticket to Oklahoma Fishing Bliss!,Rodney&apos;s Guide Service,USA,77,20042,2026-05-11T04:20:20.012019795Z,"['Amazon', 'Amazon API Gateway', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Fastly', 'GZIP Module', 'Heap', 'Hubspot', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'YouTube']"
