domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
jellefrodohuisman.nl,Jelle-Frodo Huisman interim professional with The Future Group,,NLD,82,169850,2026-09-17T15:55:31.661588848Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'InitiativeS', 'Microdata for Google Shopping', 'Perl', 'Salesforce Hosted', 'StackPath', 'University or College', 'jsDelivr']"
haylage.co.uk,Equibale - Haylage Supplier,,GBR,77,3850,2026-09-17T15:44:45.789352269Z,"['3 Products', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'Google My Business', 'QUIC', 'reCAPTCHA']"
virtueanalytics.com,Virtue Analytics: Advanced Analytics and AI Consulting Services,Virtue Analytics,USA,82,173670,2026-09-17T15:35:42.976355064Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Heroku', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Salesforce Hosted', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'YouTube', 'shadcn ui']"
mywaxgirlsendi.com,"MyWaxGirlSendi | Waxing in Moreno Valley, CA",,USA,57,66,2026-09-17T15:27:01.484595617Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Segment', 'Segment Consent Manager', 'UTF-8', 'reCAPTCHA']"
ebhq.org,EBHQ - Home,,USA,65,117080,2026-09-17T15:22:18.888703717Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Contento', 'DoubleClick Bid Manager', 'Ecwid Ecommerce Shopping Cart', 'Express', 'Font Awesome', 'Forethought', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Smart App Banner', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'UserVoice', 'Wild Apricot', 'YouTube', 'Zendesk Embeddables', 'Zoom Video Conferencing', 'elevio', 'reCAPTCHA']"
decimalfactor.co.uk,"Small Business Loans – Fast, Flexible Funding from £5K to £500K",,,67,2450,2026-09-17T15:22:18.871593644Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Next.js', 'Pleroma', 'QUIC', 'Twitter Ads', 'UTF-8']"
codebuddy.fi,Home,,FIN,60,69,2026-09-17T15:22:18.871927256Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Nicepage', 'jQuery']"
cloudcybersecurityexpo.se,Cloud & Cyber Security Expo | Stockholm Tech Show,,SWE,82,45946,2026-09-17T15:15:03.474033133Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Akamai Global Host', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'Bing Cashback', 'Bing Conversion Tracking', 'Bizo', 'ByteDance', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Crowdsignal', 'DAV', 'DoubleClick Bid Manager', 'Elementor', 'EmbedPress', 'Facebook CDN', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Help Scout', 'InitiativeS', 'Instagram Follow Button', 'LinkedIn Pixel', 'Microsoft Clarity', 'NFOrce Internet', 'Ntent', 'OmniConvert', 'Oribi Analytics', 'Premium Addons for Elementor', 'UK Cookie Consent', 'UTF-8', 'Vimeo CDN', 'WPML Multilingual', 'WPO365', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
mobile-detailing.biz,Jed's Mobile Detailing: This site is totally awesome,,USA,82,4890,2026-09-17T14:59:38.490930954Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Better Lead Generation Services', 'CloudFront', 'Content Delivery Network', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Tailwind CSS']"
giusepperusso.co.uk,Giuseppe Russo | Software Developer,,ITA,77,2450,2026-09-17T14:50:48.05701888Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'UTF-8', 'University or College']"
