domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
lilydmd.com,Lily Yoon DMD | 윤새롬 치과 | Nouvelle Dental | New York,"Lily DMD | Nouvelle Dental | Flushing, NY",USA,67,138141,2026-05-06T13:14:20.020450513Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
support305.com,AV Company & IT Support Experts in Miami | Support305,Support305,USA,82,45160,2026-05-06T13:14:20.020280327Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Harbor', 'IBM Cloud', 'Instagram Follow Button', 'Material-UI', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Sanity', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress', 'YouTube', 'shadcn ui']"
pegastrav.com,Best Car rental company in Kolkata | Pegastrav,,IND,72,15407,2026-05-06T13:14:20.018493786Z,"['Amazon', 'Amazon CloudFront', 'BLR', 'Bulma', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'QUIC', 'Tailwind CSS', 'Tumblr', 'Twitter Ads', 'YouTube', 'jQuery', 'jsDelivr', 'shadcn ui']"
drkipervas.net,Stroudsburg Cosmetic and Laser Specialist | Laser & Cosmetic Center,Laser &amp; Cosmetic Center,USA,82,22687,2026-05-06T13:14:20.017337696Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'DOCTOR Multimedia', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Schema Plugin', 'UTF-8', 'University or College', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts']"
whieldons.co.uk,whieldons online,Whieldons Butchers,GBR,77,25464,2026-05-06T13:14:20.014194701Z,"['AWS WAF Challenge', 'Amazon', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fancybox for WordPress', 'Google Analytics', 'Google Conversion Tracking', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Investor Relations', 'Klaviyo', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Tailwind CSS', 'Thank You', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
sorte-sorte.co,"Sorte – Luxurious, Sustainable Inner Bags for Style & Protection – Sorte Inner Bag",Sorte inner bag,VAT,77,36712,2026-05-06T13:14:20.014888607Z,"['17TRACK', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Barracuda Web App Firewall', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Facebook Reseller', 'Fastly', 'Financial Services Guide', 'Fireblade', 'GoAffPro', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'QUIC', 'Shipping Rates Calculator', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Thank You', 'UTF-8', 'eLand', 'hCaptcha', 'reCAPTCHA']"
suzannesnyderacupuncture.com,"Acupuncture in Watsonville, CA, Suzanne Snyder",,,57,26296,2026-05-06T13:14:20.012156502Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
flfunctional.com,"Home | The Florida Functional, LLC | IV Hydration and Functional Labs",The Florida Functional,CAN,72,87517,2026-05-06T13:14:20.010620208Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
pwgolfshop.com,Putting World Golf Shop,Putting World Golf Shop,USA,70,10332,2026-05-06T13:14:20.008347495Z,"['Amazon', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Fastly', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Poptin', 'QUIC', 'ReviewWidget', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Thank You', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
71redpath.com,The Whitney on Redpath | Luxury Apartments for Rent Toronto,The Whitney on Redpath,USA,77,6033,2026-05-06T13:14:20.007051954Z,"['Alternate Protocol', 'Amazon CloudFront', 'CloudFront', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Nginx', 'Popup Maker for Wordpress', 'SiteGround Optimizer', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
estcamtechgroup.com,EST CAM TECH GROUP | CNC Services,EST CAM TECH GROUP,USA,77,103237,2026-05-06T13:14:20.006694847Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'FormSubmit', 'GZIP Module', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
peterdtoon.com,peterdtoon,,,50,22021,2026-05-06T13:14:20.006508846Z,"['AWS WAF Challenge', 'Amazon', 'Apache', 'Apture Linking Platform', 'ClickOn', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
