domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kostenloserchatsex.com,Free Live Adult Webcams | Kostenloserchatsex,,ITA,82,85040,2026-03-18T09:27:16.074812029Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Amplitude', 'App Store', 'CDN JS', 'Chaturbate', 'ClickOn', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Fastly', 'Fireblade', 'Gambling Content', 'Google Cloud DNS', 'Google My Business', 'Google Play', 'Instagram Follow Button', 'Lovense', 'Ntent', 'OnlyFans', 'PWA', 'RM Education', 'SMC', 'Sitelinks Search Box', 'Title 18, USC 2257', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services']"
remoovit.com,"Resale, Removal and Junk Hauling for Furniture and More | Remoov",Remoov,USA,82,15598,2026-03-18T03:06:50.947795383Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'Amplitude', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Tailwind CSS', 'Tally', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'Yelp Badge']"
pokethepixel.au,"Poke the Pixel | Creative Studio | TAS – All things Production & Post, YouTube Growth Management, WP Web Development & Video Ads/Content",,,45,878,2026-03-18T00:18:31.102499536Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amplitude', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Drupal', 'Fastly', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'Pico CSS', 'UTF-8', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
katzengrun.de,Katzen Grün 🐈,,DEU,77,14092,2026-03-17T22:21:57.089458731Z,"['1Password', 'Alternate Protocol', 'Amplitude', 'Apture Linking Platform', 'DAV', 'Framer Sites', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'Ntent', 'Yandex Hosting', 'Zeald']"
somryst.com,Home | Somryst for Chronic Insomnia,,,67,103885,2026-03-17T21:45:54.848323451Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amplitude', 'Ant Design Vue', 'CloudFront', 'Content Delivery Network', 'Cybot', 'DAV', 'Financial Services Guide', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Next.js', 'No-Q', 'SMC', 'Subversion', 'UTF-8']"
rubyreels.com,Ruby Reels | Premium Online Casino | 100% up to €/$600 Deposit Bonus,,,47,648,2026-03-17T20:43:49.049411121Z,"['Alternate Protocol', 'Amplitude', 'AppNexus Direct', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'PWA', 'Perl', 'Pleroma', 'QUIC', 'UTF-8', 'Zendesk Guide', 'eLand', 'shadcn ui']"
dataunlocker.com,DataUnlocker,,,50,8784,2026-03-17T17:08:25.785087364Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Amplitude', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Fireblade', 'GitHub Hosting', 'Google My Business', 'Instagram Follow Button', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Tailwind CSS', 'Telegram', 'UTF-8', 'Vector Internet Services', 'YouTube', 'about.me']"
shoesensation.com,"Shoes for Men, Women, & Kids | Brand-Name Footwear | Shoe Sensation",,,77,415615,2026-03-17T16:50:01.010778233Z,"['Accelerated Mobile Pages', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Afterpay', 'Alternate Protocol', 'Amazon WAF Blocked', 'Amplitude', 'Apture Linking Platform', 'Braintree', 'Content Delivery Network', 'DemDex', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Reseller', 'Fastly', 'Font Awesome', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Klevu', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'New Relic', 'Oddle', 'PayPal Adaptive Payments', 'Paycor', 'Perl', 'QUIC', 'Rakuten Affiliate', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Unix', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'eLand', 'jsDelivr', 'reCAPTCHA']"
thiqamining.com,THIQA MINING - Mining and Explosive Solution,,SAU,70,123370,2026-03-17T13:09:10.735543741Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Amplitude', 'Apple Pay JS', 'Apture Linking Platform', 'Better Lead Generation Services', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Fastly', 'Financial Services Guide', 'Fireblade', 'GetResponse', 'GitHub Hosting', 'Google Cloud DNS', 'Idaq', 'KVH', 'NFOrce Internet', 'No-Q', 'Onyx Internet', 'Plausible Analytics', 'QUIC', 'SMC', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Vercel', 'jsDelivr']"
7aff.partners,Home - 7aff,,,52,419,2026-03-17T08:46:17.259229951Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amplitude', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Fast', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'QUIC', 'Tailwind CSS', 'Telegram', 'UTF-8', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
