domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ooux.com,Object Oriented UX | OOUX,,USA,77,256330,2026-04-11T17:05:19.982560957Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'AthenaHealth', 'Cart.com', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Content Square', 'DAV', 'Deadline Funnel', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FoxyCart', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'Medium', 'Metricool', 'Oracle Cloud', 'Plausible Analytics', 'SMC', 'Tailwind CSS', 'Tally', 'UTF-8', 'University or College', 'Vidalytics', 'WF Cookie Consent', 'Webflow', 'YouTube', 'jsDelivr']"
lighthousefamilymed.com,"Home | Lighthouse Family Medicine, membership based medical clinic in Alaska",Lighthouse Family Medicine,USA,77,148141,2026-04-11T14:26:19.991320569Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AthenaHealth', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'Yelp Badge', 'mlcom']"
nosovaendocrinology.com,"Nosova Endocrinology – Balancing Hormones, Enhancing Lives.",,USA,70,33507,2026-04-11T12:50:20.017558338Z,"['AWS WAF Challenge', 'Alternate Protocol', 'AthenaHealth', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Genesis Blocks', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
signallo.com,Signallo — Account Intelligence from Real Phone Research,,USA,77,235732,2026-04-11T11:50:20.005490237Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'AthenaHealth', 'Clutch', 'Content Delivery Network', 'Financial Services Guide', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'KVH', 'NFOrce Internet', 'Netlify', 'QUIC', 'Salesforce Hosted', 'Subversion', 'UTF-8', 'eClinicalWorks']"
carolinawomens.com,Closed - Carolina Women's Physicians,Carolina Women's Physicians,,67,19983,2026-04-11T11:28:48.217869374Z,"['Alternate Protocol', 'AthenaHealth', 'DAV', 'Elementor', 'EmbedPress', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'OceanWP', 'UTF-8', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite']"
integra-rcm.com,IntegraRCM - Claim Every Dollar,,,60,1950,2026-04-11T11:20:20.015384421Z,"['AthenaHealth', 'CDN JS', 'CM Commerce', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'QUIC']"
clarkconciergehealthcare.com,Home | Clark Concierge Care,,USA,77,103303,2026-04-11T10:38:20.004572557Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AthenaHealth', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
ctfootanklecare.com,Vale Foot & Ankle Surgery | Expert Podiatrists,Aspire Digital Solutions Site,USA,77,37319,2026-04-11T09:18:00.219778786Z,"['AWS WAF Challenge', 'Alternate Protocol', 'AthenaHealth', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FormSubmit', 'Genesis Blocks', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HappyAddons', 'Hello Elementor', 'ID Services', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'Theme In WP', 'To Top', 'UTF-8', 'University or College', 'UserWay', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
morelifelesspain.com,"Sierra Neurosurgery Group: Reno's Premier Brain, Spine, & Pain Experts",Sierra Neurosurgery Group,USA,77,18239,2026-04-11T09:14:20.01933976Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'AthenaHealth', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'WP Fastest Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'eLand', 'jQuery']"
commonhealthcare.com,Common Health | Primary Care for Seniors on Medicare,,USA,72,47268,2026-04-11T08:33:34.69280173Z,"['Adult Content', 'Apture Linking Platform', 'AthenaHealth', 'B12', 'Bing Cashback', 'Bing Conversion Tracking', 'DAV', 'Drift', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Conversion Tracking', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Perl', 'QUIC', 'University or College', 'reCAPTCHA']"
nimblr.ai,Holly AI Operator | AI Receptionist & Patient Scheduling Platform,Nimblr.ai,,77,293239,2026-04-11T08:07:02.001790835Z,"['AI Log', 'Apture Linking Platform', 'AthenaHealth', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Content Square', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Salesforce Hosted', 'Thank You', 'TrustRadius', 'Twitter Ads', 'UTF-8', 'jsDelivr']"
zarminaly.net,A Better Pediatric Care Experience | Zarminali Pediatrics,,USA,72,30679,2026-04-11T02:53:06.907766164Z,"['AthenaHealth', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Express', 'Fastly', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hubspot Knowledge Base', 'Instagram Follow Button', 'QUIC', 'UTF-8', 'jQuery']"
lanessacare.com,Homepage - Lanessa Extended Care,,FRA,70,15578,2026-04-11T00:08:20.002046773Z,"['Adult Content', 'Alternate Protocol', 'AthenaHealth', 'DAV', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Page scroll to id', 'QUIC', 'Thank You', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
marlboroughhillsrehab.com,Homepage - Marlborough Hills Rehabilitation & Health Care Center,,,60,1860,2026-04-11T00:08:20.001624077Z,"['Alternate Protocol', 'AthenaHealth', 'DAV', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Page scroll to id', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Accessibility', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
parsonshillrehab.com,Homepage - Parsons Hill Rehabilitation & Health Care Center,,,60,1860,2026-04-11T00:05:20.016537495Z,"['Alternate Protocol', 'AthenaHealth', 'DAV', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fontello', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Page scroll to id', 'QUIC', 'Theme In WP', 'UTF-8', 'University or College', 'WP Accessibility', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
