domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
salon-flo.com,"Salon Flo | Beauty Parlor | Shillington, PA",,,62,54920,2026-04-13T10:04:08.628022665Z,"['Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'AudioEye', 'CloudFront', 'Duda', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Nginx', 'Pico CSS', 'SMC', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'Yelp Badge', 'iPromote']"
ornamentalspecialties.com,"Ornamental Specialties, Inc. - Luxury Wrought Iron | Indian Trail, NC",,,62,80250,2026-04-13T09:44:19.355837202Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'AudioEye', 'CloudFront', 'Duda', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'K2F', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'QUIC', 'SMC', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8']"
neams.net,Unparalleled Property Management Since 2013,,USA,67,60067,2026-04-13T09:25:52.282092145Z,"['Alternate Protocol', 'Amazon CloudFront', 'AppFolio', 'AudioEye', 'CloudFront', 'Duda', 'Font Awesome', 'GZIP Module', 'Nginx', 'SMC', 'Tailwind CSS', 'UTF-8']"
sandhillsrentals.com,"Sandhills Rentals in Moore County, NC",,USA,72,60067,2026-04-13T09:25:52.281553914Z,"['Alternate Protocol', 'Amazon CloudFront', 'AppFolio', 'AudioEye', 'CloudFront', 'Duda', 'Font Awesome', 'GZIP Module', 'Microdata for Google Shopping', 'Nginx', 'SMC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8']"
oldtowncrepes.com,"Home | Old Town Crepes | Myrtle Beach, SC",,USA,82,68469,2026-04-13T09:23:20.017056329Z,"['Alternate Protocol', 'Amazon CloudFront', 'AudioEye', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cybot', 'Duda', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'QUIC', 'ReviewWidget', 'SKWID', 'SMC', 'Square', 'Styled Components', 'Tailwind CSS', 'Thank You', 'UTF-8']"
alexandriaecon.org,AEDP – Alexandria Economic Development Partnership,,USA,70,103639,2026-04-13T09:11:19.98297059Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Akismet', 'Alternate Protocol', 'Apture Linking Platform', 'AudioEye', 'Automattic', 'Baidu Cloud', 'BatCache', 'Content Delivery Network', 'Cornerstone', 'Data Tables Generator by Supsystic', 'Divi', 'Duoban', 'Elegant Themes', 'EmbedPress', 'Express', 'Fastly', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Gtranslate for Wordpress', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Jetpack', 'Loomly', 'Nginx', 'On The Map', 'PHP', 'Pagekit', 'Popup Maker for Wordpress', 'Pressable', 'SMC', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'eLand', 'jQuery', 'reCAPTCHA']"
acpropeller.com,"A.C. Propeller Service, Inc | Propeller Repairs | Seattle WA",,USA,67,54920,2026-04-13T09:02:34.112616175Z,"['Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'AudioEye', 'CloudFront', 'Duda', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Line2', 'Microdata for Google Shopping', 'Nginx', 'QUIC', 'SMC', 'Schema Plugin', 'Storyblocks', 'UTF-8']"
ttsdschools.org,Home - Tigard-Tualatin School District 23J,,USA,72,83278,2026-04-13T09:02:34.081165284Z,"['AWS WAF Challenge', 'Amazon', 'AudioEye', 'Clever', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Express', 'Google Analytics', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'No-Q', 'PHP', 'ParentSquare', 'Ruby on Rails', 'SMC', 'Twitter Ads', 'UTF-8', 'University or College', 'Weglot', 'YouTube']"
jeffersonhouse1.com,"Carlsbad, CA Living Space for Rent",,,67,60064,2026-04-13T08:39:02.928165568Z,"['Amazon CloudFront', 'AppFolio', 'AudioEye', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Nginx', 'SMC', 'Tailwind CSS', 'Thank You', 'UTF-8']"
gardenviewaptsib.com,"San Diego Apartments for Rent at Imperial Beach, CA",,GBR,77,60064,2026-04-13T08:39:02.927775591Z,"['Amazon CloudFront', 'AppFolio', 'AudioEye', 'CloudFront', 'Duda', 'FormSubmit', 'GZIP Module', 'Nginx', 'SMC', 'Tailwind CSS', 'Thank You', 'UTF-8']"
