domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
leadgenman.com,Lead Gen Man | AI Systems That Scale Agencies to 7-Figures,,,55,7963,2026-05-15T10:44:19.995918191Z,"['Alternate Protocol', 'Authorize.net', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'QUIC', 'UTF-8', 'YouTube']"
boardoperatingsystem.com,Board Operating System™ | An Advisory Identity Platform,,,62,9979,2026-05-15T10:44:19.971583373Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Content Delivery Network', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
canadiansocialmediamanagement.ca,SHiNEE | Canadian Social Media Management,,USA,77,19040,2026-05-15T10:43:01.936601674Z,"['17hats', 'Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Thank You', 'UTF-8', 'shadcn ui']"
essentialmechanicalservicesmd.com,Essential Mechanical Services | HVAC Contractor in Glen Burnie & Baltimore MD,,,67,21224,2026-05-15T10:41:20.014927959Z,"['Alternate Protocol', 'Amazon', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Pixabay', 'QUIC', 'Thank You', 'UTF-8', 'Unsplash', 'shadcn ui']"
crownacquisition.io,Home Page,,,62,72844,2026-05-15T10:38:20.003168446Z,"['Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'HighLevel', 'Ntent', 'Nuxt.js', 'SMC', 'Thank You', 'UTF-8', 'Vimeo', 'Vimeo CDN']"
enstigate.com,Enstigate® | Home,,USA,72,68740,2026-05-15T10:38:19.999640812Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Ntent', 'Nuxt.js', 'Perl', 'QUIC', 'SMC', 'UTF-8']"
kathleenchangemaker.com,Launch a Done-For-You Digital Business with High Ticket Purpose Today,,,72,9940,2026-05-15T10:36:01.123010616Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'reCAPTCHA']"
sccopywriting.com,Schedule A Session | sccopywriting.com,,,67,8960,2026-05-15T10:36:01.120207283Z,"['Alternate Protocol', 'Authorize.net', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Thank You', 'UTF-8', 'Zoom Video Conferencing']"
greenconnectsolutions.com,Driving the Future of Smart Waste Management,,CAN,77,18740,2026-05-15T10:36:01.116175099Z,"['Alternate Protocol', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Instagram Follow Button', 'Nuxt.js', 'Subversion', 'UTF-8', 'University or College', 'shadcn ui']"
mountainhavenvacationrentals.com,"Mountain Haven Vacation Rentals | Blowing Rock, NC",Mountain Haven Vacation Rentals,USA,82,60744,2026-05-15T10:36:01.116458606Z,"['AWS WAF Challenge', 'Agoda', 'Airbnb', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Authorize.net', 'Booking Affiliate', 'Calendly', 'Checkin', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content ad', 'DAV', 'Fireblade', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'MailChimp', 'NFOrce Internet', 'Perl', 'QUIC', 'RM Education', 'Radix UI', 'Typeform', 'Yandex Hosting', 'YouTube']"
