domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
tituswillcars.com,"New & Used Car Dealer in Tacoma and Olympia, WA | Titus-Will Automotive Group",,USA,77,67680,2026-04-14T05:41:19.978028897Z,"['Adobe Creative Cloud WebFonts', 'AutoLeadStar', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'University or College', 'Visual Studio', 'iPerceptions']"
ferrariosayre.com,"Ferrario Auto Team of Sayre | New Chrysler, Dodge, Jeep, Ram Dealership in Sayre, PA",,USA,77,256282,2026-04-12T03:56:19.999097882Z,"['AJAX Libraries API', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon CloudFront', 'AutoLeadStar', 'Azure Edge', 'Better Lead Generation Services', 'CDN JS', 'Call to Visit', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'ComplyAuto', 'Content Delivery Network', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Microsoft Azure Verified CDN', 'Mopar', 'Nginx', 'Ntent', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'TrustIndex', 'UTF-8', 'UserWay', 'Vimeo', 'WordPress', 'iPerceptions', 'jQuery']"
schompmini.com,"Schomp MINI | New and Certified MINI Dealer in Highlands Ranch, CO",,USA,82,129505,2026-04-11T01:02:19.995787663Z,"['AdRoll', 'Alternate Protocol', 'Apture Linking Platform', 'AutoLeadStar', 'Bing Cashback', 'Bing Conversion Tracking', 'Coming Soon Page', 'ComplyAuto', 'ConvertFlow', 'DAV', 'DealerCenter', 'DealerInspire', 'DriveCentric', 'ElementUI', 'Express', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'K2F', 'KVH', 'Klaviyo', 'Microdata for Google Shopping', 'Motive', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'OptiMonk', 'QUIC', 'Share Link', 'Sitelinks Search Box', 'Subversion', 'UTF-8', 'University or College', 'accessiBe', 'reCAPTCHA']"
procommunicators.com,Professional Communicators LLC,Professional Communicators,USA,77,31844,2026-04-07T22:05:19.99690574Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'AutoLeadStar', 'DAV', 'Express', 'FormSubmit', 'Formstack', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
cdjrfrochester.com,Chrysler Dodge Jeep Ram FIAT Dealership Greece NY | Rochester,,USA,87,290248,2026-04-05T07:47:43.041827911Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'AutoID', 'AutoLeadStar', 'Better Lead Generation Services', 'CarGurus', 'CarNow', 'Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Mopar', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'TradePending', 'Trialfire', 'Twitter Ads', 'UTF-8', 'University or College', 'UserWay', 'Visual Studio', 'YouTube', 'eLand', 'iPerceptions']"
kunesjeepsycamore.com,"Home | Kunes Chrysler Jeep Dodge RAM of Sycamore in Sycamore, Illinois",,,82,131787,2026-03-29T05:57:35.398155522Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'AutoLeadStar', 'Bing Cashback', 'Bing Conversion Tracking', 'Coming Soon Page', 'ConvertFlow', 'DAV', 'Dealer-FX', 'Dealer.com', 'DealerCenter', 'DealerInspire', 'DriveCentric', 'ElementUI', 'Elfsight', 'Express', 'GZIP Module', 'Google Analytics', 'Google Cloud', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Microdata for Google Shopping', 'Motive', 'Next.js', 'Perl', 'QUIC', 'SMC', 'Share Link', 'Sitelinks Search Box', 'UTF-8', 'reCAPTCHA']"
schompbmw.com,"Home | Schomp BMW in Highlands Ranch, CO",,,82,82187,2026-03-28T22:02:05.551910713Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'AutoLeadStar', 'CloudFront', 'Coming Soon Page', 'ComplyAuto', 'ConvertFlow', 'DAV', 'DealerCenter', 'DealerInspire', 'DriveCentric', 'ElementUI', 'Elfsight', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Motive', 'Next.js', 'QUIC', 'Share Link', 'Sitelinks Search Box', 'UTF-8', 'University or College', 'reCAPTCHA']"
bayouchryslerdodgejeepramvip.com,Bayou Chrysler Dodge Jeep Ram – New & Used Cars Near Baton Rouge & New Orleans,,USA,77,286218,2026-03-22T18:01:37.836313815Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'AutoLeadStar', 'Better Lead Generation Services', 'CarGurus', 'Content Delivery Network', 'DAV', 'Dealer-FX', 'DealerOn', 'ETranslate', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IdealTraits', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'University or College', 'eLand', 'iPerceptions']"
lundgrenrutland.com,"Lundgren Rutland Auto | Audi, VW, Dodge RAM Dealer in Rutland, VT",Lundgren Rutland Auto,,82,87217,2026-03-17T00:05:36.452205914Z,"['Alternate Protocol', 'Apture Linking Platform', 'AutoLeadStar', 'Clarivoy', 'Express', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'QUIC', 'RM Education', 'SMC', 'Sitelinks Search Box', 'Typesense', 'UTF-8', 'UserWay', 'WordPress', 'WordPress Multisite', 'WordPress SEO Structured Data Schema Plugin', 'jQuery', 'jsDelivr']"
romanochryslerjeep.com,"Fayetteville Chrysler, Jeep Dealer in Fayetteville NY | Syracuse Oneida Auburn Chrysler, Jeep Dealership New York",,USA,77,303570,2026-03-08T23:01:37.685412695Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'AutoLeadStar', 'Better Lead Generation Services', 'ComplyAuto', 'Content Delivery Network', 'DAV', 'Dealer-FX', 'DealerOn', 'ETranslate', 'Edmunds', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Mopar', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube', 'eLand', 'iPerceptions']"
schumacherused.com,Used Cars New Jersey - Shop 5 Schumacher Used Car Dealers in NJ,Schumacher Used,,72,51207,2026-02-16T04:14:00.506952284Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Algolia', 'Alternate Protocol', 'Apture Linking Platform', 'AutoLeadStar', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ComplyAuto', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'No-Q', 'PHP', 'Perfmatters', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WP Search with Algolia', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'accessiBe', 'jQuery']"
