domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
akybasecamp.com,Alaska Kundalini Yoga Basecamp | Connecting the Kundalini yoga community in Alaska.,,,67,4247,2026-02-02T00:13:48.862390859Z,"['Alternate Protocol', 'Automattic', 'Automattic Direct', 'Basecamp', 'BatCache', 'Camp', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'GitHub Hosting', 'Global Privacy Control', 'Google Analytics', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Share Link', 'Tailwind CSS', 'US Privacy User Signal Mechanism', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
hotelkathmandubasecamp.com,Hotel Kathmandu Base Camp – Hotel in Kathmandu | Best hotel in Kathmandu,,NPL,70,1687,2026-02-01T20:52:31.189813117Z,"['Accordion Blocks', 'Alternate Protocol', 'Basecamp', 'CDN JS', 'Camp', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Font Awesome', 'Instagram Follow Button', 'LiteSpeed', 'Neighborhoods', 'Newsletter for Wordpress', 'PHP', 'Perl', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Vercel', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr', 'shadcn ui']"
kidsfanbasecamp.com,Kids Fanbase | Kids Soccer Classes,KidsFanbase,USA,77,150102,2026-02-01T16:04:48.866221666Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Basecamp', 'Camp', 'Commoninja', 'Content Delivery Network', 'DAV', 'Ecwid Ecommerce Shopping Cart', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
cinthya.design,cinthya.design,,,47,7460,2026-01-31T16:55:48.880257422Z,"['Alternate Protocol', 'Basecamp', 'Camp', 'Framer Sites', 'KVH', 'Ntent', 'Yandex Hosting', 'Zeald']"
burnersbasecamp.com,Home | Burners Basecamp,,,67,104341,2026-01-30T22:55:48.862872435Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Basecamp', 'Camp', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
allanlasser.com,Allan Lasser,,GBR,60,1360,2026-01-30T18:24:12.582176892Z,"['AWS WAF Challenge', 'Alternate Protocol', 'App Store', 'Apple Auto Link Maker', 'Apture Linking Platform', 'Automattic', 'Automattic Direct', 'Basecamp', 'Camp', 'Content Delivery Network', 'DAV', 'Express', 'Financial Services Guide', 'GitHub Hosting', 'Investor Relations', 'Medium', 'Micro.blog', 'NFOrce Internet', 'Next.js', 'Notion', 'Perl', 'Pleroma', 'QUIC', 'Sanity', 'Slack', 'Svelte', 'UTF-8', 'Vercel', 'WordPress', 'YouTube']"
summabend.com,Summa Real Estate Professionals,,USA,65,3328,2026-01-30T17:28:48.863371512Z,"['Apache', 'Apture Linking Platform', 'Basecamp', 'Bulma', 'Camp', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IDX Broker', 'IDXBroker', 'IcoMoon', 'QUIC', 'Tailwind CSS', 'UTF-8']"
ryaneade.com,"Ryan Eade | Product Leader, Builder, Signal Fisher",,ZAF,67,3640,2026-01-29T19:16:48.86263133Z,"['Basecamp', 'Camp', 'Google', 'Google Cloud DNS', 'Google Font API', 'UTF-8']"
jeremyornelas.com,"jeremy ornelas dot com - Front end web design, audio production, video editor, computer hardware/software support",,USA,82,16816,2026-01-28T16:49:37.175537818Z,"['AWS WAF Challenge', 'Adobe Dreamweaver', 'Alternate Protocol', 'Apache', 'Basecamp', 'Camp', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Parallels Plesk Panel', 'Perl', 'QUIC', 'Twitter Ads', 'University or College', 'YouTube']"
customeros.ai,CustomerOS | Uncover hidden pipeline that actually converts,CustomerOS,GBR,82,11409,2026-01-27T15:49:07.051364581Z,"['Apture Linking Platform', 'Basecamp', 'Camp', 'Discord', 'Framer Sites', 'GitHub Hosting', 'GoCardLess', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Microdata for Google Shopping', 'No-Q', 'Ntent', 'Point', 'Sitelinks Search Box', 'Subversion', 'Yandex Hosting', 'Zeald']"
