domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
ernieadams.com,Ernie Adams Approach | Feldenkrais® Method,,,40,8123,2026-02-11T17:59:42.177695864Z,"['AJAX Libraries API', 'Alternate Protocol', 'Automattic', 'CheryFramework', 'Cloudflare', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Gravity', 'Gravity Forms', 'Jetpack', 'Jetpack Site Accelerator', 'KVH', 'PHP', 'Pleroma', 'QUIC', 'Slider Revolution', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'W3 Total Cache', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'bbPress', 'jQuery']"
welltree.blog,WellTree – WellTree Blog,,USA,70,387,2026-02-11T17:47:32.056455332Z,"['Accordion Blocks', 'Alternate Protocol', 'Bulma', 'Content Delivery Network', 'DAV', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Jetpack', 'Nginx', 'Nisarg', 'PHP', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'bbPress', 'jQuery']"
10king.ca,The Chambers at 10 King East – Toronto Law Chambers,,USA,65,208,2026-02-11T17:27:29.099517815Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Debian', 'EmbedPress', 'GZIP Module', 'PHP', 'Parcel', 'Theme In WP', 'UTF-8', 'Unicon', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
zargrafix.com,Zar Grafix – Graphic Design & Web Development Agency,,GBR,75,12944,2026-02-11T16:43:25.649679491Z,"['Alternate Protocol', 'Apture Linking Platform', 'Contact Form Plugin', 'Easy Pie Chart', 'Elementor', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Graphy', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Soledad', 'Theme In WP', 'UTF-8', 'WP Rocket', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'bbPress', 'eLand', 'jQuery']"
sealkits.in,Shop - Arihant Earthmovers,Arihant Earthmovers,JPN,72,766,2026-02-11T16:37:51.554778617Z,"['Alternate Protocol', 'Automattic', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gutenberg', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'bbPress', 'jQuery']"
vastudentservices-clc.org,Career Learning Center in Virginia | Virginia Department of Education,,,72,22433,2026-02-11T16:18:08.242497033Z,"['AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Hotjar', 'Juicer DMP', 'Lazy Load for WordPress', 'LearnDash', 'Microdata for Google Shopping', 'PHP', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'UTF-8', 'Vimeo', 'WP Engine', 'WP Rocket', 'WPForms', 'WordPress', 'WordPress Multisite', 'bbPress', 'reCAPTCHA', 'shadcn ui']"
dynlearng.com,Dynamic Learning Inc. - Learn More!,,USA,77,3854,2026-02-11T16:18:08.216373272Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'Essential Grid', 'Fontello', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'SEOGears', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
asas-bs.com,Asas for Business Services – Your Destination to Start Up,,SAU,60,208,2026-02-11T16:18:08.214179696Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'MH Themes', 'MailPoet', 'PHP', 'Polylang', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
directrecruitmentservices.co.uk,Direct Recruitment Services,,GBR,60,84,2026-02-11T15:14:03.519211533Z,"['Alternate Protocol', 'Apache', 'Column Shortcodes', 'Contact Form Plugin', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'Gravity Forms', 'PHP', 'QUIC', 'Theme In WP', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'W3 Total Cache', 'WP Job Manager', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
developingleaders.ca,Developing Leaders | Palma Robinson | Robinson & Associates,,ESP,65,512,2026-02-11T15:07:22.752219872Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Gravity', 'Gravity Forms', 'LayerSlider Responsive', 'PHP', 'Pleroma', 'QUIC', 'Slider Revolution', 'Theme In WP', 'ThemeFusion', 'UTF-8', 'W3 Total Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
