domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
yurbi.how,Home - Yurbi,,,37,7983,2026-04-11T15:32:20.017040331Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'Cloudflare', 'Cloudflare Web Analytics', 'ElementUI', 'Google Cloud DNS', 'Google Font API', 'Headless UI', 'Imgix', 'PWA', 'QUIC', 'Tailwind CSS', 'Tribe.so', 'Vector Internet Services', 'shadcn ui']"
yoto.space,Yoto Space: The Yoto Community,,,52,8331,2026-04-11T03:50:20.002676897Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'Cloudflare', 'Cloudflare Web Analytics', 'DAV', 'ElementUI', 'Financial Services Guide', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Headless UI', 'Imgix', 'PWA', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Tribe.so', 'Vector Internet Services', 'shadcn ui']"
seekpto.com,Home - SeekPTO,,GBR,72,66096,2026-04-11T02:50:19.994262505Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ElementUI', 'Financial Services Guide', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Headless UI', 'IPFS', 'Imgix', 'Instagram Follow Button', 'K2F', 'KVH', 'PWA', 'QUIC', 'Share Link', 'Tailwind CSS', 'Tribe.so', 'University or College', 'Vector Internet Services', 'eLand', 'shadcn ui']"
energycentral.com,Energy Central,,,52,8751,2026-04-09T12:14:19.984740305Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Beehiiv', 'BetterMode', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ElementUI', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Imgix', 'Niceboard', 'PWA', 'Perl', 'QUIC', 'Tailwind CSS', 'Tribe.so', 'Twitter Ads', 'Vector Internet Services', 'YouTube', 'shadcn ui']"
lunaticsasylum.com,Home - Lunatics Asylum,,,42,7983,2026-04-09T09:38:20.001119638Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ElementUI', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Headless UI', 'Imgix', 'KaTeX', 'PWA', 'QUIC', 'Tailwind CSS', 'Tribe.so', 'Vector Internet Services', 'jsDelivr', 'shadcn ui']"
goodinfo.tv,Good Info TV Network,,,37,8222,2026-04-08T12:14:20.013732194Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'ElementUI', 'Google Cloud DNS', 'Google Font API', 'Imgix', 'Instagram Follow Button', 'OnlineWebFonts', 'PWA', 'QUIC', 'Tailwind CSS', 'Tribe.so', 'Vector Internet Services', 'YouTube', 'shadcn ui']"
onmeut.com,ONMEUT™ Studio — We launch software,,,62,18568,2026-04-08T04:47:20.011320636Z,"['Airtable', 'BetterMode', 'Framer Sites', 'Google Analytics', 'Google Tag Manager', 'Medium', 'Ntent', 'QUIC', 'Telegram', 'Twitter Ads', 'Yandex Hosting', 'Zeald']"
bekynderworld.com,Acts of Kindness - BeKynder,,,52,15983,2026-04-04T21:56:19.983818455Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'BetterMode', 'Cloudflare', 'Cloudflare Web Analytics', 'ElementUI', 'Google Cloud DNS', 'Google Font API', 'HMDG', 'Imgix', 'PWA', 'QUIC', 'Tailwind CSS', 'Tribe.so', 'Vector Internet Services', 'shadcn ui']"
forcepaneltechnology.com,AI-first automation for every team · Activepieces,,FRA,72,516436,2026-04-04T13:44:19.982626504Z,"['Airtable', 'Amazon Link Enchancer', 'Amazon Widgets', 'AnyChat', 'Apollo IO', 'Apture Linking Platform', 'Asana', 'Azure Active Directory', 'BambooHR', 'BetterMode', 'Calendly', 'Campaign Monitor Widget', 'CapsuleCRM', 'CartLoom', 'Chatbase', 'Checkout.com', 'Circle.so', 'Cisco/Arrowpoint Content Service Switch', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Constant Contact', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Crowdsignal', 'DAV', 'Discord', 'Drip', 'Drupal', 'Figma', 'Flowlu', 'Formstack', 'FreeAgent', 'Freshworks CRM', 'Gameball', 'GetGist', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Retail Product Discovery', 'Gravity', 'Help Scout', 'HighLevel', 'Hugging Face Space', 'InitiativeS', 'Instantly', 'JIRA', 'KVH', 'Kommo', 'LiveSession', 'Luxury Presence', 'Mailjet Widget', 'Mastodon', 'Moveo', 'Netlify', 'Notion', 'Nuxt.js', 'Okta', 'OpenAI', 'OpenSSL', 'Oracle Cloud', 'Oracle Content Management', 'Outseta', 'Pipedrive', 'Plivo', 'Podio', 'Pushbullet', 'QUIC', 'RM Education', 'SAP Ariba Network', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'SavvyCal', 'Shopify', 'Slack', 'Square', 'Systeme', 'Tailwind CSS', 'Teamwork', 'Telegram', 'The Graph', 'TidyCal', 'Todoist', 'Trello', 'Twitter Ads', 'UPS', 'UTF-8', 'VTiger', 'Vector Internet Services', 'Vercel', 'Webflow', 'Wootric', 'WordPress', 'Wrike', 'Wufoo', 'Xero', 'YouCanBookMe', 'YouForm', 'YouTube', 'Zendesk Embeddables', 'Zoom Video Conferencing', 'eLand', 'monday.com', 'shadcn ui']"
sharewordpress.com,"Share Wordpress - Share knowledge, themes, Wordpress plugins",,,42,7983,2026-04-04T11:14:20.011918353Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Automattic', 'BetterMode', 'Cloudflare', 'Cloudflare Web Analytics', 'ElementUI', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Headless UI', 'Imgix', 'Instagram Follow Button', 'Medium', 'PHP', 'PWA', 'QUIC', 'Tailwind CSS', 'Telegram', 'Tribe.so', 'Twitter Ads', 'Vector Internet Services', 'YouTube', 'shadcn ui']"
