domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
nicfixcanada.com,HOME - NicFix Canada,NicFix Canada,USA,70,4840,2026-03-30T16:23:40.183609073Z,"['Alternate Protocol', 'Apache', 'Aruba', 'Authorize.net', 'BigCommerce', 'Canada Post', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Jetpack', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'Twitter CDN', 'UTF-8', 'Variation Swatches for WooCommerce', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'XStore', 'eLand', 'jQuery']"
mysalontime.com.au,My Salon Time,My Salon Time,AUS,70,25844,2026-03-30T14:37:40.751291564Z,"['Apture Linking Platform', 'BigCommerce', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly CDN', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Heroku', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Klaviyo', 'MailChimp', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'UTF-8', 'Unix', 'hCaptcha', 'reCAPTCHA']"
worldwarpatches.com,WorldWarPatches,,,55,23067,2026-03-30T13:06:20.247715819Z,"['BigCommerce', 'Cloudflare', 'Cloudflare CDN', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Perl', 'QUIC', 'SMC', 'UTF-8']"
gryphonsafety.com,Gryphon Safety | Workwear & Safety Supplies in Florida,,USA,77,20377,2026-03-30T13:06:20.243419391Z,"['Alternate Protocol', 'Angular', 'BigCommerce', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Elfsight', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'MailChimp', 'POWr', 'QUIC', 'Tailwind CSS', 'UTF-8']"
luxewearhouse.com,LUXE wearhouse,,,50,9387,2026-03-30T13:06:20.24372438Z,"['Apps4BigCommerce', 'BigCommerce', 'Cloudflare', 'Cloudflare CDN', 'Elfsight', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Marsello', 'Perl', 'QUIC', 'UTF-8']"
godirectlift.ca,"GoDirectLift.ca: Residential Home Garage Car Lifts, Home Storage Lifts, Automotive Lifts, Motorcycle Lifts and ATV Lifts",,USA,67,1938,2026-03-30T10:15:05.239896926Z,"['Atom', 'BigCommerce', 'Google Related Website Sites', 'Microsoft Frontpage', 'YouTube']"
marriage911.com,Marriage 911,,ZAF,65,200548,2026-03-30T09:27:48.446676104Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon S3 CDN', 'Angular', 'Apps4BigCommerce', 'Apture Linking Platform', 'BigCommerce', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Cornerstone', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hotjar', 'InitiativeS', 'Line2', 'Microdata for Google Shopping', 'Oddle', 'Perl', 'QUIC', 'Salesforce Hosted', 'Search Magic', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'University or College', 'UserWay', 'VWO Engage', 'Visual Website Optimizer', 'WordPress', 'YouTube', 'eLand', 'jQuery']"
weeprints.co.uk,Discover Quality Services at Wee Print Ltd Today,,GBR,72,37065,2026-03-30T09:08:39.988135871Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon', 'Apps4BigCommerce', 'Better Lead Generation Services', 'BigCommerce', 'BunnyCDN', 'BunnyCDN General', 'Cloudflare', 'Cloudflare CDN', 'DC74', 'Elfsight', 'Express', 'Fireblade', 'GoAffPro', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'QUIC', 'Smile IO', 'Tailwind CSS', 'TrustSpot', 'UTF-8', 'YouTube', 'jQuery']"
displaysoverstock.com,GalaxyDisplays.com - #1 Trusted Source in Portable Trade Show Booths and Exhibition Displays,,,62,45772,2026-03-30T04:46:59.881502303Z,"['AJAX Libraries API', 'Alternate Protocol', 'BigCommerce', 'Cloudflare', 'Cloudflare CDN', 'Endis', 'Express', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'HubSpot Conversations', 'Hubspot', 'IcoMoon', 'Placehold IT', 'QUIC', 'Swell Rewards', 'Twitter Ads', 'UTF-8', 'Yotpo', 'YouTube', 'jQuery']"
omokoroaitm.co.nz,Omokoroa ITM,,USA,65,18907,2026-03-30T02:03:55.199082391Z,"['AJAX Libraries API', 'Apps4BigCommerce', 'BigCommerce', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Perl', 'QUIC', 'UTF-8']"
