domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
sunrisesac.org,SunriseMvmtSac,,,50,29671,2026-05-14T06:53:19.974413995Z,"['Amazon', 'Apache', 'Apture Linking Platform', 'Blackbaud', 'ClickOn', 'EveryAction', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Calendar', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Instagram Follow Button', 'Linktree', 'Medium', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'Twitter Ads', 'UTF-8', 'YouTube']"
safehopkins.org,Walk Bike Berkeley,,USA,72,31713,2026-05-14T00:01:22.292383545Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Blackbaud', 'EveryAction', 'Express', 'GZIP Module', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
moworkers.org,MO Workers Center,,USA,67,32400,2026-05-13T22:47:19.988317488Z,"['Alternate Protocol', 'Blackbaud', 'Content Delivery Network', 'EveryAction', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
frackingandhealth.org,ANHE -,ANHE,,55,9130,2026-05-13T18:33:07.724963652Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Blackbaud', 'DAV', 'Download Monitor', 'EmbedPress', 'Ethy', 'EveryAction', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Post Grid', 'Smart Slider 3', 'The Events Calendar', 'Twitter Ads', 'UTF-8', 'WoWonder', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zoom Video Conferencing', 'eLand', 'jQuery']"
indivisibletwincities.com,Indivisible Twin Cities | Minnesotans Resisting MAGA,,USA,77,147509,2026-05-13T17:57:14.911568595Z,"['Aruba', 'Blackbaud', 'Contento', 'EveryAction', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'NGP VAN', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
owaactionfund.org,Ohio Women's Alliance Action Fund,,USA,70,172773,2026-05-13T16:14:19.995098262Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Blackbaud', 'EveryAction', 'Express', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SMC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
familytreemd.org,The Family Tree - Raising families up.,The Family Tree,USA,70,69610,2026-05-13T16:11:19.996584576Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astra Theme', 'Blackbaud', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elegant Themes', 'EmbedPress', 'EveryAction', 'Fastly', 'GTranslate', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Simple Banner for Wordpress', 'Theme In WP', 'UTF-8', 'UserWay', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
movetexascivicfund.org,MOVE Texas | MOBILIZE. ORGANIZE. VOTE. EMPOWER.,,USA,77,71488,2026-05-13T15:38:19.970877045Z,"['501c3 Status Nonprofit', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Blackbaud', 'Content Delivery Network', 'EveryAction', 'Express', 'Fastly', 'Fastly CDN', 'InitiativeS', 'Microdata for Google Shopping', 'PWA', 'Prospective', 'QUIC', 'Sentry', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
sunrisepdx.org,Sunrise Movement PDX,,,45,8604,2026-05-13T14:09:58.582015853Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Blackbaud', 'EveryAction', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
garrisonandfriends.com,The Garrison and Friends Project / R2R Parent Empowering Program,,,67,118016,2026-05-13T13:56:19.975654071Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Blackbaud', 'Content Delivery Network', 'EveryAction', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'InitiativeS', 'Microdata for Google Shopping', 'NFOrce Internet', 'Oddle', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'mlcom']"
indivisiblesacramento.com,INDIVISIBLE SACRAMENTO,,,67,29798,2026-05-13T03:32:19.997976191Z,"['Alternate Protocol', 'Automattic', 'Blackbaud', 'Content Delivery Network', 'EmbedPress', 'EveryAction', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Linktree', 'Nginx', 'Tailwind CSS', 'UTF-8', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
wwfor.org,Western Washington Fellowship of Reconciliation - Western Washington Fellowship of Reconciliation,,USA,75,29168,2026-05-13T02:35:19.977931211Z,"['Alternate Protocol', 'Apache', 'Blackbaud', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'EveryAction', 'Fontello', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery']"
georgiayouthaction.org,Georgia Youth Justice Coalition,Georgia Youth Justice Coalition,,67,47308,2026-05-13T02:32:19.978992307Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Blackbaud', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'EveryAction', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery']"
uulmmd.org,Social Justice Advocacy | UU Legislative Ministry of Maryland,UU Legislative Ministry of Maryland,,77,116841,2026-05-13T02:24:49.866486181Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Blackbaud', 'Content Delivery Network', 'Epic Form Builder', 'EveryAction', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'mlcom']"
