domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kerail.com,Kerail,,,50,6000,2026-09-03T11:58:33.76507331Z,"['Alternate Protocol', 'Blogger', 'Express', 'GZIP Module', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Google Tag Manager', 'InitiativeS', 'UTF-8']"
aickon.co.in,Aickon - Software Development Excellence,,IND,70,30123,2026-09-03T10:23:13.209045261Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Blogger', 'Coming Soon Page', 'Google My Business', 'Google Recommendations AI', 'LiteSpeed', 'Ntent', 'QUIC', 'Unsplash']"
treasuresofaheart.com,Treasures Of A Heart,,USA,60,6060,2026-09-03T08:38:44.702506461Z,"['Alternate Protocol', 'Blogger', 'Express', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Ntent', 'UTF-8']"
ibrahimbabashov.com,Ibrahim Babashov's personal site,,DEU,77,17440,2026-09-03T08:17:16.586129795Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apache', 'Blogger', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Nginx', 'Ntent', 'Python', 'Share Link', 'UTF-8']"
dahliasiregar.com,Dahlia Siregar,,IDN,67,78339,2026-09-03T03:36:23.545097711Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apture Linking Platform', 'BLR', 'Blogger', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Instagram Follow Button', 'IntenseDebate', 'Ntent', 'SMC', 'Tumblr', 'Twitter Ads', 'UTF-8', 'Vine Embed', 'WordPress', 'WordPress Related Posts', 'YouTube', 'jQuery', 'uPress']"
vedicarchive.com,VedicArchive.Com | সনাতন ধর্ম সম্পর্কে জানুন সহজ ভাষায়,,,67,18264,2026-09-03T02:56:44.54333204Z,"['Alternate Protocol', 'Blogger', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Financial Services Guide', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google My Business', 'Google Recommendations AI', 'Hive.co', 'Instagram Follow Button', 'Ntent', 'Perl', 'Pico CSS', 'Placehold IT', 'Tailwind CSS', 'Telegram', 'UTF-8']"
afrisonet.com,Afrisonet,,GBR,65,32700,2026-09-03T00:34:02.006702563Z,"['AWS WAF Challenge', 'AddThis', 'AddThis for Wordpress', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Blogger', 'DAV', 'ETranslate', 'Express', 'Flag Counter', 'GTranslate', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Instagram Follow Button', 'Ntent', 'Perl', 'UTF-8']"
goanpost.com,Goan Post,,,50,16063,2026-09-02T23:04:51.264762565Z,"['AJAX Libraries API', 'Alternate Protocol', 'Blogger', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contento', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Ntent', 'Show.co', 'UTF-8', 'WordPress Related Posts', 'YouTube', 'jQuery']"
deapatrick.com,Patrick Dea Illustrations,,,50,6060,2026-09-02T23:04:51.261819332Z,"['Alternate Protocol', 'Blogger', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Cloud CDN', 'Google My Business', 'Google Recommendations AI', 'Instagram Follow Button', 'Ntent', 'Subversion', 'UTF-8']"
traventhusiast.my.id,RIZKICHUK,,IDN,77,77839,2026-09-02T22:58:28.204429393Z,"['AJAX Libraries API', 'Alternate Protocol', 'BLR', 'Blogger', 'DAV', 'ETranslate', 'Font Awesome', 'GTranslate', 'GZIP Module', 'GitHub Hosting', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Instagram Follow Button', 'Ntent', 'Perl', 'SMC', 'Share Link', 'Subversion', 'Tumblr', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery']"
bilawfirm.com,BELLIZIO+IGEL,,,47,30619,2026-09-02T21:21:19.129959618Z,"['Alternate Protocol', 'Amazon CloudFront', 'Blogger', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Harbor', 'IcoMoon', 'Ntent', 'QUIC', 'RM Education', 'SMC', 'Twitter Ads', 'UTF-8', 'WordPress Related Posts', 'YouTube', 'jQuery', 'jsDelivr']"
antigonishvictorianinn.ca,Antigonish Victorian Inn,,CAN,75,67748,2026-09-02T20:51:54.292132072Z,"['Alternate Protocol', 'Blogger', 'DAV', 'GZIP Module', 'Google', 'Google Adsense', 'Google Cloud CDN', 'Google My Business', 'Google Recommendations AI', 'Ntent', 'SMC', 'Sirvoy', 'UTF-8', 'University or College']"
asiatcm.com,Asia TCM 亚洲中医,,SGP,77,15348,2026-09-02T18:59:56.35367693Z,"['Alternate Protocol', 'Blogger', 'CM Commerce', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Ntent', 'UTF-8']"
satchelgallery.ca,Dan Taylor - Goldsmith: Contact,,,45,6000,2026-09-02T17:48:21.534334179Z,"['Alternate Protocol', 'Blogger', 'Express', 'GZIP Module', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Ntent', 'UTF-8']"
adradesign.com,ADRADS,,GBR,67,25000,2026-09-02T17:36:36.264565409Z,"['Alternate Protocol', 'Blogger', 'Express', 'GZIP Module', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Instagram Follow Button', 'Ntent', 'Onyx Internet', 'Twitter Ads', 'UTF-8', 'YouTube']"
