domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
smartpandalab.com,Smart Panda Labs | Improving Post-Click Digital Experiences,Smart Panda Labs,,67,202592,2026-04-22T13:20:20.018521978Z,"['Akismet', 'Alternate Protocol', 'Animate It', 'Apture Linking Platform', 'Better Lead Generation Services', 'Blueshift', 'Calendly', 'Content Delivery Network', 'CookieYes', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Microdata for Google Shopping', 'Nginx', 'Optimizely Recommendations', 'PHP', 'Tealium', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
fireballwhiskystore.com,Fireball Swag - The Official Fireball Online Merchandise Store,,USA,72,765836,2026-04-22T06:11:20.020489049Z,"['Adobe Analytics', 'Adobe CQ', 'Adobe Creative Cloud WebFonts', 'Adobe Experience Manager', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Apture Linking Platform', 'Authorize.net', 'Blueshift', 'CM Commerce', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'Google Cloud DNS', 'Google Maps', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'PWA', 'Schema Plugin', 'ShareThis', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery']"
southerncomfortblacklist.com,Southern Comfort,,USA,67,264896,2026-04-22T06:05:19.993968866Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Apture Linking Platform', 'Blueshift', 'CM Commerce', 'Content Delivery Network', 'Curator', 'Fastly', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Schema Plugin', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube']"
campaign-genius.com,Campaign Genius,Campaign-Genius,,62,68552,2026-04-07T15:11:20.009261327Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon', 'Amazon Widgets', 'Aruba', 'Blueshift', 'Express', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Line2', 'Microdata for Google Shopping', 'Oracle Cloud', 'QUIC', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
sweeneyfeeder.com,Texas Hunter Products,,USA,77,632007,2026-04-07T08:12:14.480926136Z,"['AWS WAF Challenge', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Affirm', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AvantMetrics', 'Bing Cashback', 'Blueshift', 'Braze', 'ByteDance', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Reseller', 'Fastly', 'Fastly CDN', 'Font Awesome', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Heroku', 'Keen IO', 'Klaviyo', 'KnoCommerce', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'New Relic', 'No-Q', 'Ntent', 'OneTrust Domain Verification', 'PayPal Adaptive Payments', 'QUIC', 'Quiq', 'RM Education', 'RaveCapture', 'Reamaze', 'Report URI', 'RevenueHunt', 'StoreMapper', 'Storyblocks', 'Swell Rewards', 'The Trade Desk Direct', 'TrustSpot', 'UTF-8', 'Unsplash', 'Vimeo', 'Vimeo CDN', 'Way', 'YouTube', 'iovation', 'jsDelivr', 'reCAPTCHA']"
dorrionsmith.com,Dorrion Smith — Email Developer,,,70,211408,2026-04-02T04:47:59.955436156Z,"['Blueshift', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Netlify', 'Salesforce Hosted', 'Shopify', 'UTF-8', 'eLand']"
mentorainstitute.com,Homepage - Mentora Institute,Mentora Institute,USA,77,121886,2026-04-01T18:17:20.006597207Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Blueshift', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FreeCSSTemplates', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Hotjar', 'InitiativeS', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Monster', 'OptinMonster', 'PHP', 'Perl', 'Pico CSS', 'TUNE', 'TablePress', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'University or College', 'Vimeo', 'WP Rocket', 'Wangsu', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
sisudublin.com,"Sisu Clinic USA | Medical Aesthetics, Botox™ & Fillers",Sisu Clinic,USA,87,73737,2026-03-24T14:42:27.565922286Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Blueshift', 'ByteDance', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Facebook CDN', 'Facebook Reseller', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Next.js', 'Phorest', 'QUIC', 'Quantcast Direct', 'Sanity', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Vercel', 'Vimeo', 'WhatsApp Sharing', 'YouTube', 'eLand', 'shadcn ui']"
overleafspa.com,Oregon Coast’s Best Oceanview Spa - Overleaf Lodge & Spa,,USA,77,61750,2026-03-24T09:09:02.287501747Z,"['AJAX Libraries API', 'Alternate Protocol', 'Apache', 'App Store', 'Apture Linking Platform', 'Blueshift', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'ThemeFusion', 'UTF-8', 'WP Rocket', 'WPFront Notification Bar', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
shouldyoubuyorrent.com,Rent vs. Buy Calculator - Is it Better to Rent or Buy? | SmartAsset.com,,USA,72,195174,2026-03-18T17:41:33.751273087Z,"['Adobe Creative Cloud WebFonts', 'Akamai Edge', 'Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Bankrate', 'Blueshift', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Content Delivery Network', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'GetResponse', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Investor Relations', 'Line2', 'Mixpanel', 'Moat', 'Nationwide Mortgage Licensing System and Registry', 'Neighborhoods', 'New Relic', 'Optimizely Recommendations', 'QUIC', 'Thank You', 'UTF-8', 'Yahoo Image CDN', 'jQuery', 'jsDelivr']"
