domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mindtoheal.com,MIND TO HEAL – Professional Counseling,,,70,23173,2026-05-29T03:47:59.44569879Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Advanced Popups', 'Alternate Protocol', 'Animate It', 'Bookly', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Fontello', 'Genesis Blocks', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Image Hotspot by DevVN', 'Instagram Feed for WordPress', 'MailChimp for WordPress', 'Metform Elemento', 'NFOrce Internet', 'PHP', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
lisataylorcounseling.com,Lisa Taylor,,USA,60,11687,2026-05-29T01:28:40.282356556Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bookly', 'Contact Form Plugin', 'Contento', 'DC74', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'PHP', 'QUIC', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'University or College', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
digitalxportal.net,Test - Digital X Portal,,PHL,75,2835,2026-05-29T00:46:35.466658756Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Bookly', 'Divi', 'Elegant Themes', 'EmbedPress', 'Facebook Customer Chat SDK', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
sparklecars.com,Home -,,IND,72,35103,2026-05-29T00:22:38.881304532Z,"['Alternate Protocol', 'Apture Linking Platform', 'Astra Theme', 'Bookly', 'Custom Facebook Feed', 'Custom Twitter Feeds', 'DAV', 'Elegant Themes', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Kitco', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'Prospective', 'QUIC', 'Sign In With Google', 'Site Kit', 'Smart Slider 3', 'Table Addons for Elementor', 'Theme In WP', 'TrustIndex', 'UTF-8', 'Vector Internet Services', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
planotrailerrental.com,Trailer Rental - Plano Trailer Rental,Plano Trailer Rental,,72,3901,2026-05-28T23:01:47.624409256Z,"['Alternate Protocol', 'Bookly', 'EmbedPress', 'GenerateBlocks', 'Genesis Blocks', 'Google', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'Sapper', 'StudioPress', 'Thank You', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
tdcoastaladventures.com,TD Coastal Adventures: Campbell River's Premier Salmon Charter,TD Coastal,GBR,82,5948,2026-05-28T21:46:02.693890584Z,"['Alternate Protocol', 'Apache', 'Bookly', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gutenberg', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Pagekit', 'Premium Addons for Elementor', 'Smush Image Optimization', 'TripWorks', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube']"
amberwoodacademy.com,Homepage - Amberwood Academy,Amberwood Academy,GBR,77,5943,2026-05-28T17:05:48.756823246Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Bookly', 'Divi', 'Elegant Themes', 'EmbedPress', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Oddle', 'PHP', 'Perl', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
thewilliamsenterprise.com,The Williams Enterprise Inc. – Business Consulting,,USA,70,155073,2026-05-28T16:37:12.987742935Z,"['Alternate Protocol', 'Better Lead Generation Services', 'Bookly', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google Maps', 'Google My Business', 'Hootsuite Badge', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'Ninja Forms', 'PHP', 'QUIC', 'Quiz Maker', 'Salesforce Hosted', 'Table Addons for Elementor', 'Theme In WP', 'Twenty Twenty-One', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
smiledental49.com,Dental Clinic Vancouver - SmileDental49 - General & Cosmetic Dentistry,SmileDental49 - Vancouver Dental Clinic,CAN,82,36755,2026-05-28T13:14:22.478861744Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bookly', 'Bulma', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity Forms', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'QUIC', 'Site Kit', 'Theme In WP', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
832-roofing.com,Houston Roofing Experts - Locally Owned,,USA,82,17120,2026-05-28T12:18:47.183159094Z,"['Alternate Protocol', 'Bookly', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'LiteSpeed', 'Metform Elemento', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
