domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
antonsmolik.com,ANTON SMOLIK — WordPress Engineer · Technical SEO · AI,,ESP,72,34692,2026-02-03T10:49:48.903770386Z,"['AWS WAF Challenge', 'Botpress', 'Calendly', 'Cloudflare', 'DAV', 'Fireblade', 'GitHub Hosting', 'Kinsta', 'Pico CSS', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'WP Engine']"
lordsinsure.com,Home - Lords Insure,Lords Insure,ZAF,72,5409,2026-02-03T07:27:25.431353567Z,"['Alternate Protocol', 'Apture Linking Platform', 'Botpress', 'Contact Form Plugin', 'EmbedPress', 'Fonts Plugin', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Jetpack', 'Microdata for Google Shopping', 'MonsterInsights', 'Nginx', 'PHP', 'Popup Builder', 'SiteOrigin', 'SiteOrigin Panels', 'Theme In WP', 'UTF-8', 'University or College', 'Vantage', 'WP Featherlight', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
accountantsfortomorrow.co.za,2026 Cima & Acca Enrollment In Progress | Accountants For Tomorrow,Accountants For Tomorrow,GBR,82,6146,2026-02-03T00:24:34.037520659Z,"['Alternate Protocol', 'Apture Linking Platform', 'Better Lead Generation Services', 'Botpress', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Feed for WordPress', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Ntent', 'PHP', 'QUIC', 'Site Kit', 'Theme In WP', 'TrustIndex', 'Tutor LMS', 'UTF-8', 'WP Live Chat Support', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
hawaiidata.ai,Home - Hawaii Data AI,,,65,39664,2026-02-02T22:41:48.999797895Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Botpress', 'Content Delivery Network', 'EmbedPress', 'Fastly', 'Fireblade', 'GZIP Module', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perfmatters', 'Pico CSS', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Waveform Technology', 'WordPress']"
socialogymarketing.com,Socialogy Marketing | For All Your Digital Marketing Needs,,,57,26816,2026-02-02T21:31:48.882496381Z,"['Aruba', 'ArvanCloud', 'Botpress', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'ShareThis', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jsDelivr']"
maravillanayarit.com,Bucerias Vacation Rentals & Condos | Bucerias Rentals,maraVilla Nayarit,PHL,77,11760,2026-02-02T19:58:48.88064116Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Botpress', 'Cisco/Arrowpoint Content Service Switch', 'Coming Soon Page', 'Express', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'ReviewsOnMyWebsite', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
telamonedu.com,Home - Brand,,,40,3,2026-02-02T15:01:48.880152566Z,"['Botpress', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Netlify', 'PWA', 'Tailwind CSS', 'UTF-8']"
eunoiamarketing.ca,Eunoia Marketing,Eunoia Marketing Inc.,,62,125669,2026-02-02T12:10:48.860377621Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Botpress', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
lysakerbil.no,Bruktbil med garanti i Drammen | Lewl Auto,,FRA,77,4668,2026-02-02T11:22:43.826838745Z,"['Amazon', 'Amazon CloudFront', 'Animate It', 'Apture Linking Platform', 'Botpress', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'GZIP Module', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Tailwind CSS', 'WF Cookie Consent']"
collaborativeministry.org,Collaborative Ministry :: Andrews University,,ZAF,65,36916,2026-02-02T08:01:48.869169767Z,"['Botpress', 'ETranslate', 'GTranslate', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Microsoft 365', 'Microsoft Azure Blob Storage', 'Nginx', 'PHP', 'QUIC', 'Symplicity', 'Twitter Ads', 'UTF-8', 'University or College', 'Vimeo', 'YouTube', 'Zendesk Embeddables']"
ybdpsystems.com,YBDP Systems — Your Business Development Protocol,,,62,4250,2026-02-02T07:46:48.862451517Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Apture Linking Platform', 'Better Lead Generation Services', 'Botpress', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS']"
