domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
marshallseniorcenter.com,Heritage Commons - Senior Enrichment Cetner,Heritage Commons,USA,77,3068,2026-04-28T20:08:20.011153555Z,"['Alternate Protocol', 'Boxzilla', 'EmbedPress', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'LiteSpeed', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'ProfilePress', 'QUIC', 'Redux Framework', 'Sitelinks Search Box', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
drbobbell.com,Dr. Bob Bell | HOME - drbobbell.com,,USA,75,1504,2026-04-28T18:23:19.980240932Z,"['Alternate Protocol', 'Boxzilla', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
alleastbayproperties.com,All East Bay Properties - Sales Leasing Property Management,,USA,82,187864,2026-04-28T18:08:34.700163975Z,"['AWS WAF Challenge', 'Alternate Protocol', 'App Store', 'AppFolio', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Boxzilla', 'Cisco/Arrowpoint Content Service Switch', 'Clockwork', 'Cloudflare', 'Content Delivery Network', 'DoubleClick Bid Manager', 'EmbedPress', 'Experian Marketing Services', 'Express', 'Facebook Reseller', 'Fastly', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'MailChimp', 'Microsoft Clarity', 'NFOrce Internet', 'Neighborhoods', 'Ntent', 'Perl', 'Prospective', 'QUIC', 'SMC', 'Twenty Twenty-Four', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Unix', 'Vector Internet Services', 'WPForms', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'Yelp Badge', 'YouTube', 'jQuery']"
lanarkdistillery.co.uk,Home - Lanark Distillery,,GBR,77,40427,2026-04-28T17:19:24.703939964Z,"['AWS WAF Challenge', 'Age Gate', 'Alternate Protocol', 'Apache', 'BJ Lazy Load for WordPress', 'Boxzilla', 'Content Delivery Network', 'Contento', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'University or College', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite']"
mathesonfinancialpartners.com,Home - Slalom Wealth Management,,USA,70,26771,2026-04-28T16:42:51.840404108Z,"['AWS WAF Challenge', 'Akismet', 'Alternate Protocol', 'Boxzilla', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Content Delivery Network', 'ConvertKit for Wordpress', 'Easy Fancybox', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'QUIC', 'SiteOrigin', 'SiteOrigin Panels', 'StudioPress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vantage', 'WP Engine', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
mnl.co.uk,"Rapid Prototyping, 3D Printing, Low Volume Manufacturing Company",Malcolm Nicholls Limited,CAN,82,30835,2026-04-28T16:35:20.013916099Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Boxzilla', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Collapse-O-Matic', 'Contact Form Plugin', 'Content Delivery Network', 'Cybot', 'Divi', 'DoubleClick Bid Manager', 'Elegant Themes', 'EmbedPress', 'Essential Grid', 'Fontello', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Kitco', 'Lead Forensics', 'Microdata for Google Shopping', 'PHP', 'PWA', 'Popup Maker for Wordpress', 'QUIC', 'Site Kit', 'Slider Revolution', 'Thank You', 'Theme In WP', 'UTF-8', 'WP Engine', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
shepardbros.com,Ensuring food safety and compliance - Shepard Bros.,Shepard Bros.,USA,82,17704,2026-04-28T11:18:57.735141571Z,"['AWS WAF Challenge', 'Boxzilla', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Ninja Forms', 'PHP', 'PWA', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
birneypark.com,New Luxury Condos and Townhomes for Sale in Raleigh NC,Birney Park,GBR,82,22062,2026-04-28T10:56:20.00641024Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'Boxzilla', 'BunnyCDN', 'BunnyCDN General', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'Neighborhoods', 'PHP', 'Theme In WP', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
westmidslife.com,Home | West Mids Life,West Mids Life,GBR,75,33450,2026-04-28T10:20:20.004910672Z,"['Add to Any', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Boxzilla', 'Content Delivery Network', 'CookieYes', 'DAV', 'EmbedPress', 'Event Organiser for WordPress', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'LiteSpeed', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Ninja Forms', 'PHP', 'QUIC', 'The Fresh', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
refabliving.com,re:fab living – re:defining property management,,,55,1068,2026-04-28T09:44:19.995246359Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Boxzilla', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Formidable Pro Form', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Google Workspace', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Nectar Slide Plugin', 'PHP', 'Pico CSS', 'Popup Maker for Wordpress', 'QUIC', 'Salient', 'Share Link', 'ShareThis', 'ShareThis Share Buttons for WordPress', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
