domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kolpin.eu,Kolpin,,JPN,60,120351,2026-04-11T10:44:25.221402596Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Amazon', 'Braintree', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Magento', 'Magento Enterprise', 'Nginx', 'Ntent', 'PayPal Adaptive Payments', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
americanracing.africa,"Classic, Custom, Performance and Vintage Wheels | American Racing",,GBR,77,412306,2026-04-11T10:35:20.004310436Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Affirm', 'Amazon WAF Blocked', 'Apture Linking Platform', 'AudioEye', 'Bing Cashback', 'Braintree', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CoreUI', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'LaunchDarkly', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Azure Blob Storage', 'Microsoft Clarity', 'New Relic', 'Newsletter for Wordpress', 'OneTrust Domain Verification', 'PayPal Adaptive Payments', 'QUIC', 'RM Education', 'Sentry', 'Shopify', 'Smooch', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'Zendesk Embeddables']"
gameheadquarters.com,Game HQ,,USA,67,384852,2026-04-11T09:29:20.012791596Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Algolia', 'Braintree', 'Cloudflare', 'Cloudflare CDN', 'DemDex', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'Magento', 'Magento Enterprise', 'Nginx', 'PayPal Adaptive Payments', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'WPBakery', 'Way', 'Wirecard', 'YouTube', 'reCAPTCHA']"
dbmstore.com,DBM Store UAE - Building & Construction Materials Online Shop,,ITA,77,311579,2026-04-11T09:26:19.999269065Z,"['3 Products', 'AddThis for Wordpress', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon', 'Aruba', 'Braintree', 'Bunny Fonts', 'Content Delivery Network', 'Daily Deals', 'DemDex', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento', 'PHP', 'PayPal Adaptive Payments', 'QUIC', 'Shopify', 'Storyblocks', 'Tailwind CSS', 'Tawk', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'eLand', 'jsDelivr', 'reCAPTCHA']"
directtraffic.ca,Services,,USA,67,384653,2026-04-11T08:53:20.022511359Z,"['3 Products', 'AddThis', 'AddThis for Wordpress', 'Adobe Analytics', 'Adobe Marketing Cloud', 'AiNET', 'Alternate Protocol', 'Barracuda Web App Firewall', 'Braintree', 'CallRail', 'Contento', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'LiveChat', 'LiveChat Monitoring', 'Magento', 'NFOrce Internet', 'Nginx', 'PayPal Adaptive Payments', 'QUIC', 'Rocket Chat', 'Tailwind CSS', 'Tidio', 'TruConversion', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'reCAPTCHA']"
foodcaresystems.au,Food safety and hygiene products - Foodcare,,,47,129858,2026-04-11T08:33:34.653979715Z,"['AddThis for Wordpress', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Braintree', 'Content Delivery Network', 'DC74', 'DemDex', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Fastly', 'Fireblade', 'Font Awesome', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'LinkedIn Insights', 'LinkedIn Pixel', 'Magento', 'Magento Enterprise', 'New Relic', 'PayPal Adaptive Payments', 'QUIC', 'Sentry', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'Zopim', 'jsDelivr', 'reCAPTCHA']"
bedeckofbelfast.co.uk,Luxury Bedding | Bedeck of Belfast | Bedeck Home,,GBR,77,403095,2026-04-11T08:02:19.991126315Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Braintree', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Criteo', 'Criteo Reseller', 'DemDex', 'Directus', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Express', 'Fastly', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Klaviyo', 'Klevu', 'Lightwidget', 'Magento', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Ajax Content Delivery Network', 'New Relic', 'PayPal Adaptive Payments', 'Pico CSS', 'QUIC', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'Unix', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand', 'reCAPTCHA']"
mcclurestainless.com,McClure Stainless | Las Vegas Restaurant Supply Store,McClure Stainless,USA,82,382227,2026-04-11T04:41:19.996474079Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Braintree', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Juicer DMP', 'Magento', 'Magento Enterprise', 'Nginx', 'PayPal Adaptive Payments', 'QUIC', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'reCAPTCHA']"
colemans-surplus.com,Military Surplus Store | Army Surplus Online Shop | Coleman's Military Surplus,Coleman's Military Surplus,DEU,77,459099,2026-04-11T03:29:19.992074503Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Algolia', 'Alternate Protocol', 'Amazon', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'Bunny Fonts', 'Cloudflare', 'Cloudflare Turnstile', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Klaviyo', 'Magento', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'NFOrce Internet', 'PayPal Adaptive Payments', 'SMC', 'Schema Plugin', 'Sitelinks Search Box', 'Storyblocks', 'Sucuri Cloudproxy', 'Swell Rewards', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'reCAPTCHA']"
navigatecommerce.co,Navigate Commerce: Reliable eCommerce Development Agency,Navigate Commerce,IND,82,512367,2026-04-11T03:17:45.905779284Z,"['4PX', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon', 'Amazon S3 CDN', 'Aruba', 'Authorize.net', 'Better Lead Generation Services', 'Braintree', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DemDex', 'Disqus Comment System for WordPress', 'DoubleClick Bid Manager', 'Elastic Suite', 'Express', 'Fastly', 'Font Awesome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Iubenda', 'Klaviyo', 'Magento', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'PayPal Adaptive Payments', 'Perl', 'Salesforce Marketing Cloud Personalisation', 'Sitelinks Search Box', 'Storyblocks', 'Tailwind CSS', 'Tawk', 'Thank You', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vercel', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'eLand', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
