domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
realtorshawnkeeler.com,Shawn Keeler - Your Luxury Real Estate Expert,,CAN,77,62445,2026-05-20T18:59:19.969781737Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Animate It', 'Apture Linking Platform', 'Brightcove', 'CloudFront', 'Content Delivery Network', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'OpenResty', 'PHP', 'Parcel', 'Placester', 'Prospective', 'QUIC', 'RM Education', 'Schema Plugin', 'Share Link', 'Sitelinks Search Box', 'Spark Platform', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'University or College', 'UserWay', 'WordPress']"
glenmorsurgery.co.uk,Homepage - Glen Mor Medical Practice,,,65,40433,2026-05-20T17:14:33.913539213Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
foyleswar.com,Watch Foyle's War On Acorn TV,,,67,307449,2026-05-20T17:05:19.997911077Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Brightcove', 'Bulma', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Fancybox for WordPress', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'New Relic', 'OneTrust Domain Verification', 'OpenSSL', 'PHP', 'Salesforce Audience Studio', 'Salesforce Hosted', 'Schema Plugin', 'Smart App Banner', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr']"
industrymatter.com,"dvm360 - Veterinary News, Veterinarian Pet Care and Medicine Expertise","dvm360 - Veterinary News, Veterinarian Pet Care and Medicine Expertise",ZAF,77,261328,2026-05-19T23:05:19.988083225Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Astro', 'Brightcove', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'DAV', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Harbor', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'OneTrust Domain Verification', 'Prospective', 'Salesforce Hosted', 'Sanity', 'Segment', 'Segment Consent Manager', 'Tailwind CSS', 'Thought Industries', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'jsDelivr', 'shadcn ui']"
forbeginnersonly.com,For Beginners Only | Your beginner workout plan | BODi by Beachbody,,,67,69210,2026-05-19T20:50:19.99047541Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amplitude', 'Apple Auto Link Maker', 'Brightcove', 'Builder', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Content Delivery Network', 'Fireblade', 'GitHub Hosting', 'Google My Business', 'Google Play', 'Headless UI', 'Instagram Follow Button', 'Next.js', 'SiteW', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
realvisiontv.com,Real Vision — Knowledge x Tools x Network = Success,Real Vision,,82,72016,2026-05-19T20:03:23.97118773Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Brightcove', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'GZIP Module', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Netlify', 'Nginx', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Vignette OpenText', 'W3 Total Cache', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
littleboroughgrouppractice.nhs.uk,Homepage - Littleborough Group Practice,,,55,16379,2026-05-19T17:50:19.991939121Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'Fireblade', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'UserWay', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
woodwaymedicalcentre.nhs.uk,Homepage - Woodway Medical Centre,,,55,13436,2026-05-19T17:47:20.016505003Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'Bulma', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Express', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'KVH', 'Linktree', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
laserage.info,"Laserage - Precision Laser Processing, Stent Manufacturing, Orthopedic Components, Implantable Medical Devices",,,62,475470,2026-05-19T14:38:19.986602619Z,"['AddThis for Wordpress', 'Akamai Global Host', 'Amazon', 'Azure Edge', 'Baidu Ads', 'Baidu Analytics', 'Baidu Cloud', 'Bing Cashback', 'Bing Conversion Tracking', 'BrightInfo', 'Brightcove', 'CDN JS', 'ChowNow', 'Cisco/Arrowpoint Content Service Switch', 'ClickDimensions', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Crowdsignal', 'DAV', 'DoubleClick Bid Manager', 'Drift', 'Express', 'Facebook Reseller', 'Fireblade', 'GZIP Module', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'KVH', 'LiveAgent', 'MailChimp', 'Microsoft Azure', 'Monster', 'OneTrust Domain Verification', 'OptinMonster', 'Pardot', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Salesforce Live Agent', 'Sentry', 'Shopware', 'ThomasNet Web Traxs', 'Twitter Ads', 'Twitter CDN', 'UTF-8', 'Vimeo', 'Visual Studio', 'Wistia', 'YouTube', 'jsDelivr']"
centercitycondos.com,Philadelphia Real Estate Experts - 215.521.1523,,USA,77,55175,2026-05-19T12:08:19.999900708Z,"['Alternate Protocol', 'Apture Linking Platform', 'Aryeo', 'Automattic', 'Brightcove', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Express', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Homes.com CMS', 'Jetpack', 'Jetpack Site Accelerator', 'Keller Williams Realty', 'Kinsta', 'NFOrce Internet', 'Neighborhoods', 'Nginx', 'PHP', 'Prospective', 'Pusher', 'QUIC', 'The Deck', 'ThemeFusion', 'UTF-8', 'University or College', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
solvedoms.com,Home - Solved.,Solved.,,62,42806,2026-05-19T11:38:20.01032135Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Brightcove', 'Cloudflare', 'Cloudflare CDN', 'Creative Mail by Constant Contact', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Jetpack', 'Microdata for Google Shopping', 'MonsterInsights', 'PHP', 'PopularFX', 'Theme In WP', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
wellstarrehabmedicine.org,"Wellstar Rehabilitation Medicine - 100 Lacy Street, Marietta | Wellstar Health System",Wellstar,USA,70,141628,2026-05-19T09:17:20.000709982Z,"['Akamai Edge', 'Akamai Global Host', 'Alternate Protocol', 'AppNexus Direct', 'Azure Edge', 'Brightcove', 'CDN JS', 'Citrix', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Facebook Login', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Help.com', 'Instagram Follow Button', 'JotForm', 'Material-UI', 'Microdata for Google Shopping', 'Microsoft Azure', 'Pleroma', 'QUIC', 'Qualtrics Site Intercept', 'RM Education', 'Sitelinks Search Box', 'Tailwind CSS', 'The Trade Desk Direct', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'University or College', 'Visual Studio', 'WF Cookie Consent', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'YouTube', 'shadcn ui']"
peterzaidan.com,Peter Zaidan,,USA,65,54645,2026-05-19T07:47:19.981842833Z,"['Alternate Protocol', 'Amazon', 'Amazon S3 CDN', 'Animate It', 'Apture Linking Platform', 'Brightcove', 'Content Delivery Network', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'OpenResty', 'PHP', 'Placester', 'QUIC', 'RM Education', 'Schema Plugin', 'Share Link', 'Sitelinks Search Box', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'UserWay']"
boeing.net.in,Boeing: Boeing India,,IND,60,6264,2026-05-19T06:20:20.00152531Z,"['Alternate Protocol', 'Apache', 'Brightcove', 'CM Commerce', 'Express', 'IcoMoon', 'InitiativeS', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'Schema Plugin', 'Underscores', 'University or College', 'jQuery']"
msconnections.ca,Take control of your Multiple Sclerosis | MSConnections,,USA,62,526868,2026-05-19T04:47:09.244979793Z,"['Adobe CQ', 'Adobe Experience Manager', 'Amazon', 'Brightcove', 'GZIP Module', 'IcoMoon', 'Tailwind CSS', 'UTF-8']"
streetfashionparis.com,Paris Street Fashion Hub,,FRA,72,84279,2026-05-19T03:42:12.990252322Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon Widgets', 'Blogger', 'Brightcove', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contento', 'DailyMotion Video', 'ETranslate', 'Envoy', 'Facebook Login', 'Facebook Reseller', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Ntent', 'Placehold IT', 'Share Link', 'Telegram', 'Twitch', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Vine Embed', 'WhatsApp Sharing', 'WordPress Related Posts', 'YouTube', 'jQuery']"
haverthwaitesurgery.co.uk,Homepage - Haverthwaite Surgery,,,55,8289,2026-05-19T02:59:19.972356178Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'IcoMoon', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Tailwind CSS', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
shaylanemedical.co.uk,"Homepage - Drs Patel, Taylor-Bernard, Leaver & Maclean",,,55,8233,2026-05-19T02:53:20.003094097Z,"['Amazon', 'Apture Linking Platform', 'Brightcove', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'ETranslate', 'ElementUI', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Help.com', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'My Surgery Website', 'Texthelp', 'Twitter Ads', 'UTF-8', 'Vercel', 'Vimeo', 'Vue.js', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
