domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
zuehlkeventures.com,Venture Partnerships & Investments | Zühlke,,,62,787251,2026-02-21T17:18:51.91570006Z,"['AWS WAF Challenge', 'Active Campaign', 'ActiveDEMAND', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Azure Edge', 'Broadridge', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Cybot', 'DAV', 'DoubleClick Bid Manager', 'ElementUI', 'EventFrog', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'MediaMath', 'Microsoft Ajax Content Delivery Network', 'Microsoft Azure', 'Ntent', 'Nuxt.js', 'OneTrust Domain Verification', 'Oribi Analytics', 'Plausible Analytics', 'QUIC', 'RawGit', 'SalesViewer', 'Storyblocks', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'University or College', 'Workday', 'YouTube', 'jsDelivr']"
acolin.nl,Acolin – Leading the way in fund distribution support services,,CHE,82,522384,2026-02-21T04:23:08.895981575Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apture Linking Platform', 'Broadridge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Complianz', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Investor Relations', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'Sassy Social Share', 'Theme In WP', 'UTF-8', 'Ubuntu', 'WPForms', 'WordPress', 'WordPress Multisite', 'YouTube', 'hCaptcha', 'hCaptcha for WordPress', 'jQuery', 'reCAPTCHA', 'shadcn ui']"
bluprynt.com,"Bluprynt ‒ The compliance protocol for stablecoins, RWAs and crypto.",,,62,521808,2026-02-19T05:28:44.818846345Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Broadridge', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'CoinDesk', 'Content Delivery Network', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Medium', 'NFOrce Internet', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Yahoo Finance Widget', 'jsDelivr']"
ynodesigns.com,Innovative UI UX Design Agency New York - YNO Designs,YNO Designs,USA,82,542957,2026-02-18T23:47:24.699110764Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Broadridge', 'Cloudflare', 'Cloudflare CDN', 'Clutch', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'shadcn ui']"
initiatefitchink.com,Thought Leadership - Editorial Consulting | Fitch Ink,,USA,77,609113,2026-02-17T02:35:05.801995726Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Aruba', 'Broadridge', 'Cisco/Arrowpoint Content Service Switch', 'ETranslate', 'Express', 'GTranslate', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Prospective', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
parknationalcorp.com,Park National Corporation - Investor Relations,,USA,65,529360,2026-02-05T22:04:08.355783911Z,"['Amazon CloudFront', 'Broadridge', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Investor Relations', 'Q4Web', 'QUIC', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
washtrustbancorp.com,"Corporate Overview | Washington Trust Bancorp, Inc.",,,55,110063,2026-02-05T18:42:48.015224719Z,"['Amazon CloudFront', 'Broadridge', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Corporate Governance and Regulatory Compliance', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Investor Relations', 'Q4Web', 'QUIC', 'Tailwind CSS', 'UTF-8', 'reCAPTCHA']"
efama.org,| EFAMA,,,50,100501,2026-02-04T10:39:07.661276671Z,"['Add to Any', 'Amazon', 'Amazon S3 CDN', 'Broadridge', 'Content Delivery Network', 'Drupal', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Needle', 'Nginx', 'No-Q', 'PHP', 'Storyblocks', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College', 'YouTube', 'eLand', 'jsDelivr']"
windmountainfinancial.com,"Wind Mountain Financial Group - Carson, WA: Ameriprise",Ameriprise Financial Advisors,USA,77,404547,2026-02-03T06:49:48.878754875Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Bing Cashback', 'Bing Conversion Tracking', 'Broadridge Advisor Solutions', 'DemDex', 'DoubleClick Bid Manager', 'Facebook Reseller', 'Fastly', 'Federal Deposit Insurance Corporation', 'Financial Industry Regulatory Authority', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LinkedIn Pixel', 'Material Design Icons', 'Microdata for Google Shopping', 'Microsoft Azure', 'Ntent', 'OneTrust Domain Verification', 'Perl', 'Qualtrics Site Intercept', 'Share Link', 'Tailwind CSS', 'The Trade Desk Direct', 'ThreatMetrix', 'Turn', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'YouTube']"
optimalwealthmanagement.co.uk,Optimal Wealth Management Limited | M&G Advice,,GBR,65,958304,2026-01-31T10:29:52.554229223Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Akamai Global Host', 'Apache', 'AppDynamics', 'Bing Cashback', 'Bing Conversion Tracking', 'Broadridge', 'Content Delivery Network', 'DemDex', 'DoubleClick Bid Manager', 'Eloqua', 'Facebook Reseller', 'Flourish', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'OneTrust Domain Verification', 'Oribi Analytics', 'Outbrain Direct', 'Perl', 'QUIC', 'Qualtrics Site Intercept', 'Schema Plugin', 'Swiftype', 'Tealium', 'The Trade Desk Direct', 'TwentyThree', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Yahoo Image CDN', 'Yahoo Web Analytics']"
