domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
xn--80aeilixecdceey3d.xn--90ais,Прокат легковых прицепов в Минске | отличные цены и условия!,,,60,63,2026-08-23T14:56:48.868252603Z,"['AJAX Libraries API', 'Bulma', 'Fontello', 'GZIP Module', 'Google Cloud DNS', 'Nginx', 'UTF-8', 'Yandex Hosting', 'jQuery']"
moondanceadventures.com,"Moondance Adventures | Summer Camps, Trips & Travel for Teens",Moondance Adventures,,57,6106,2026-08-23T14:56:48.866215775Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Fancybox for WordPress', 'Favorites for WordPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'M247', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'Vimeo', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'Zendesk Guide', 'eLand', 'jQuery', 'jsDelivr']"
cielitevb.com,Central Illinois Elite,,USA,65,3727,2026-08-23T14:55:13.110327387Z,"['Adobe Creative Cloud WebFonts', 'Amazon S3 CDN', 'Bulma', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Pleroma', 'Storyblocks', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'jQuery']"
carradalegolf.com,Home - Carradale Golf Club,,,50,15219,2026-08-23T14:49:12.61942218Z,"['Bulma', 'Financial Services Guide', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Microsoft Azure', 'Nginx', 'QUIC', 'SMC', 'UTF-8', 'Visual Studio']"
rockporttravelguide.com,www.rockporttravelguide.com – Rockport Texas Travel Guide,,USA,70,67787,2026-08-23T14:49:12.612381646Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Bulma', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'SMC', 'Tailwind CSS', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
conservationmedicine.org,"Conservation Medicine - Local conservation, global health",Conservation Medicine,MYS,77,2757,2026-08-23T14:49:12.607301314Z,"['Alternate Protocol', 'Bulma', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'MonsterInsights', 'Nginx', 'PHP', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Uncode', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
keralabiketours.com,"kerala bike tours Deluxe bike tours and vacations in Kerala, Motorbike",,IND,77,468,2026-08-23T14:36:50.484811713Z,"['Alternate Protocol', 'Bulma', 'Facebook Embedded Posts', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fancybox for WordPress', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PayPal Adaptive Payments', 'QUIC', 'Subversion', 'Tailwind CSS', 'YouTube', 'jQuery']"
maltrans.com,Homepage | Maltrans group,,JOR,75,,2026-08-23T14:36:50.482785732Z,"['Add to Any', 'Backdrop', 'Better Lead Generation Services', 'Bulma', 'Content Delivery Network', 'Drupal', 'GZIP Module', 'GitHub Hosting', 'Instagram Follow Button', 'Nginx', 'PHP', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'jQuery', 'jsDelivr']"
cforim.site,المركز الافتراضي للتعليم عن بعد,,MRT,82,28999,2026-08-23T14:34:20.494989007Z,"['Bulma', 'Fastly', 'Font Awesome', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Totara', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr']"
nextdaykitchen.com,Next Day Kitchen | Kitchen in 5 days,,ROU,65,2510,2026-08-23T14:29:45.016245731Z,"['Apache', 'Better Lead Generation Services', 'Bulma', 'Contact Form Plugin', 'EmbedPress', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'PHP', 'PWA', 'QUIC', 'Responsive Lightbox', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCaptcha by BestWebSoft']"
