domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
gyoasis.com,Good Year Oasis Research is under construction,,,37,,2026-01-31T23:08:55.792916212Z,"['Apache', 'Bunny Fonts', 'Coming Soon Page', 'EmbedPress', 'PHP', 'UTF-8', 'WordPress']"
fullthrottlelift.com,"Scissor Lift Rental Los Angeles, Orange County, Riverside County",,USA,77,2352,2026-01-31T23:07:48.871681822Z,"['Alternate Protocol', 'Apache', 'Better Lead Generation Services', 'Bunny Fonts', 'DAV', 'Elementor', 'EmbedPress', 'Facebook Like', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'Perl', 'Pico CSS', 'QUIC', 'Salient', 'Theme In WP', 'UTF-8', 'Ultimate Social Media', 'WP Statistics', 'WPBakery', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'jQuery', 'reCAPTCHA']"
electricwizardmerch.com,Electric Wizard Shop ⚡️ Official Electric Wizard Merchandise Store,,,72,4320,2026-01-31T23:06:48.994228813Z,"['Bunny Fonts', 'BunnyCDN', 'BunnyCDN General', 'Express', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Clarity', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
blacklabelsocietymerch.shop,Black Label Society Shop - Official Black Label Society Merchandise Store,,CHN,87,4320,2026-01-31T23:06:48.993687088Z,"['Adult Content', 'Bunny Fonts', 'BunnyCDN', 'BunnyCDN General', 'Express', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
blackstonecherry.shop,Black Stone Cherry Shop - Official Black Stone Cherry Merchandise Store,,CHN,77,4320,2026-01-31T23:06:48.98456242Z,"['Bunny Fonts', 'BunnyCDN', 'BunnyCDN General', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
benedicts.org,"Benedicts Psychotherapy and Counselling in Westminster | Therapy for gay men in London | Counsellor & Psychotherapist for gay men in Westminster, London",,GBR,87,45781,2026-01-31T23:01:18.091727838Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Bunny Fonts', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Free Call', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'K2F', 'Line2', 'LiteSpeed', 'PHP', 'QUIC', 'QUIC.cloud', 'UTF-8', 'Vector Internet Services', 'WordPress', 'WordPress Multisite']"
elvismerch.com,Elvis Presley Store - Official Elvis Presley Merchandise Shop,,CHN,77,4320,2026-01-31T22:50:53.603796115Z,"['Apture Linking Platform', 'Bunny Fonts', 'BunnyCDN', 'BunnyCDN General', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'eLand', 'shadcn ui']"
taxikoc.at,Taxikoc is under construction,,,15,144,2026-01-31T22:50:53.553051594Z,"['Bunny Fonts', 'Coming Soon Page', 'EmbedPress', 'GZIP Module', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'UTF-8', 'WordPress']"
wickedcakesco.com,wickedcakesco,,,50,781,2026-01-31T22:40:48.879851191Z,"['Alternate Protocol', 'Astra Theme', 'Bunny Fonts', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Jeg Elementor Kit', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Pico CSS', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WP Portfolio Astra', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery', 'reCAPTCHA']"
spiritualalchemy.art,home - Spiritual Alchemy,Spiritual Alchemy,,72,625,2026-01-31T22:31:48.879598112Z,"['Alternate Protocol', 'Bunny Fonts', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Hello Elementor', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress PopUp', 'WordPress Stats', 'YouTube', 'jQuery']"
mysecretsantamerch.shop,My Secret Santa Shop ⚡️ Officially Licensed My Secret Santa Merch Store,,CHN,77,5068,2026-01-31T22:28:48.89094753Z,"['Bunny Fonts', 'BunnyCDN', 'BunnyCDN General', 'GZIP Module', 'GoAffPro', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'shadcn ui']"
zgtech.solutions,Transform Your Business with Innovative Tech Solutions | ZG Tech,,PAK,77,25774,2026-01-31T22:28:48.876282866Z,"['AWS WAF Challenge', 'Angular', 'Apture Linking Platform', 'Authorize.net', 'Bunny Fonts', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'ElementUI', 'Financial Services Guide', 'GetButton.io', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Nuxt.js', 'Pexels', 'QUIC', 'Subversion', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'Vector Internet Services', 'reCAPTCHA']"
dazzling-white.co.uk,Dazzling White,,,50,144,2026-01-31T22:25:48.874781309Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Bunny Fonts', 'Content Delivery Network', 'EmbedPress', 'Max Mega Menu', 'Nginx', 'PHP', 'Pagekit', 'Parallels Plesk Panel', 'Smush Image Optimization', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
