domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
moneyappicore.com,Moneyappi,,,47,7700,2026-02-04T22:24:13.819488899Z,"['AWS WAF Challenge', 'ButterCMS', 'Cloudflare', 'Cloudflare CDN', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'InitiativeS', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Styled Components', 'UTF-8']"
leonardo-reis.com,Leonardo Reis - Desenvolvedor Fullstack,,BRA,77,3828,2026-02-03T01:58:48.911269563Z,"['ButterCMS', 'Content Delivery Network', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Next.js', 'Nginx', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'Vercel']"
mkymkb.com,美卡羊毛快报 | Linktree,,,62,11820,2026-02-01T21:36:30.433279774Z,"['Alternate Protocol', 'Amazon CloudFront', 'ButterCMS', 'CloudFront', 'Content Delivery Network', 'Fastly', 'Federal Deposit Insurance Corporation', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Kitco', 'Linktree', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'Ntent', 'PWA', 'Pleroma', 'QUIC', 'Rakuten Affiliate', 'SiteW', 'Styled Components', 'Superfiliate', 'Tailwind CSS', 'UTF-8', 'WordPress', 'shadcn ui']"
benesse.co.uk,Home - Money Wellness,Money Wellness,GBR,77,22880,2026-02-01T09:31:48.879507919Z,"['ButterCMS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Feefo', 'Fireblade', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Pleroma', 'Twitter Ads', 'UTF-8', 'YouTube']"
essiedavisdaily.com,Essie Davis Daily – The latest news on Australian actress Essie Davis,,GBR,77,51835,2026-01-21T03:58:57.807388193Z,"['Alternate Protocol', 'Automattic', 'ButterCMS', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Google Customer Reviews', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Perl', 'SMC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
addyour.reviews,"Customer Testimonials, Automated | Review Software | Endorsal",,FIN,77,36786,2026-01-21T02:08:16.763592936Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'Automizy', 'Bulma', 'ButterCMS', 'CloudFront', 'Cloudinary', 'Endorsal', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FirstPromoter', 'Font Awesome', 'FullStory', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Inspectlet', 'Intercom', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Mixpanel', 'Nginx', 'PWA', 'Perl', 'Segment', 'Segment Consent Manager', 'Shopify', 'Twitter Ads', 'Twitter Analytics', 'Twitter Conversion Tracking', 'UTF-8', 'University or College', 'Woo Themes', 'Yelp Badge', 'YouTube', 'reCAPTCHA']"
flowersfromu.com,Flower Delivery - Send Flowers - FromYouFlowers,From You Flowers,USA,82,54324,2026-01-19T18:58:39.973810059Z,"['Amazon', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Amazon Widgets', 'Apture Linking Platform', 'Bulma', 'ButterCMS', 'CloudFront', 'Cloudflare', 'ContentBox', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'Fireblade', 'Foursixty', 'GZIP Module', 'Gambling Content', 'GitHub Hosting', 'Google Analytics', 'Google Flights Conversion Tracking', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'New Relic', 'OneTrust Domain Verification', 'QUIC', 'SearchSpring', 'Storyblocks', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube']"
selfhostyourself.com,SelfHostYourself - Self-hosted Alternatives to Popular Software,SelfHostYourself,,72,162586,2026-01-17T22:19:43.432248096Z,"['AdGuard', 'Agility CMS', 'Amazon API Gateway', 'Amazon Link Enchancer', 'Amazon Widgets', 'Apache', 'AppDynamics', 'Auth0', 'Better Stack', 'ButterCMS', 'Chatbase', 'Checkly', 'Cisco/Arrowpoint Content Service Switch', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contentful', 'Contentstack', 'Cosmic JS', 'Cronitor', 'Docusaurus', 'Figma', 'Fireblade', 'Format', 'Freshworks CRM', 'GitHub Hosting', 'Google My Business', 'Google Retail Product Discovery', 'Google Workspace', 'Heroku', 'Hugging Face Space', 'IBM Cloud', 'ImageKit.io', 'LandBot', 'Logz.io', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Power Platform', 'Next.js', 'Nginx', 'Notion', 'OpenAI', 'Paessler', 'Payload CMS', 'Pixieset', 'Pushbullet', 'Python', 'QUIC', 'Sanity', 'Sitelinks Search Box', 'Status.io', 'StatusCake', 'Swiftype', 'Tailwind CSS', 'Twitter Ads', 'Typesense', 'UTF-8', 'UptimeRobot', 'Vector Internet Services', 'Vercel', 'Visual Studio', 'Yandex Hosting', 'dotCMS']"
grimme-solutions.com,"GRIMME | potato, beet and vegetable technology",,DEU,77,86756,2026-01-16T01:48:58.882848107Z,"['Alternate Protocol', 'Apture Linking Platform', 'ButterCMS', 'Filestack', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Interchange', 'JAGGAER', 'Material-UI', 'Next.js', 'Ntent', 'On The Map', 'Perl', 'Pleroma', 'QUIC', 'Radix UI', 'Thank You', 'Twitter Ads', 'UTF-8', 'Underscores', 'YouTube', 'eLand', 'shadcn ui']"
trymdhearing.com,Shop the MDHearing® NEO XS - Tiny Rechargeable Hearing Aid,,USA,77,48095,2026-01-15T07:43:44.403568088Z,"['3 Products', 'Affirm', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'ButterCMS', 'CloudFront', 'Content Delivery Network', 'ConvertFlow', 'Criteo', 'Filestack', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Ntent', 'QUIC', 'RM Education', 'Swell Rewards', 'UTF-8', 'University or College', 'VWO Engage', 'Visual Website Optimizer', 'Wistia', 'Yotpo']"
mj4travel.com,MJ4Travel Inc,,CAN,57,1200,2026-01-08T17:04:14.599091257Z,"['ButterCMS', 'Content Delivery Network', 'DC74', 'Gambling Content', 'Instagram Follow Button', 'Sanity', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
newbridge.org.au,"Newbridge Victoria Inc. - Charity, Youth and Family",,SYC,87,34500,2026-01-03T20:42:01.88585301Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'ButterCMS', 'Express', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Investor Relations', 'Line2', 'PWA', 'PayPal Adaptive Payments', 'PayPal Button', 'PayPal Form', 'UTF-8', 'Wangsu', 'Website Tonight']"
phattwithkat.co.nz,Katrina Prossler Health Coach,,,60,512,2026-01-02T21:53:35.272583264Z,"['BunnyCDN Header', 'ButterCMS', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'NFOrce Internet', 'Perl', 'QUIC', 'Tailwind CSS', 'shadcn ui']"
votefromabroad.at,Vote from Abroad: Request Absentee Ballots for US Citizens,,,57,14761,2025-12-31T15:42:44.187383068Z,"['AWS WAF Challenge', 'About Cookies', 'Afiliados', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Atlassian Confluence', 'ButterCMS', 'Content Delivery Network', 'DAV', 'DoubleClick Bid Manager', 'Expedient', 'Express', 'Facebook Reseller', 'Fireblade', 'Google Analytics', 'Google Forms', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Intercom', 'JIRA', 'Line2', 'NFOrce Internet', 'NationBuilder', 'Netlify', 'Nuxt.js', 'PHP', 'Perl', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'USPS', 'UTF-8', 'University or College', 'YouTube', 'Zoom Video Conferencing', 'eLand']"
metricfire.com,Customizable Managed Grafana Dashboards | MetricFire,,USA,87,26118,2025-12-30T20:20:57.192661591Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Apture Linking Platform', 'ButterCMS', 'CDN JS', 'ClickCease', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Heroku', 'InitiativeS', 'Intercom', 'Microdata for Google Shopping', 'QUIC', 'Rewardful', 'Termly', 'Twitter Ads', 'VWO Engage', 'Visual Website Optimizer', 'YouTube', 'jQuery']"
explodingtopics.com,Exploding Topics - Discover the hottest new trends.,Exploding Topics,AUS,82,182741,2025-12-28T09:55:34.854705508Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Angular', 'Apture Linking Platform', 'Azure Edge', 'ButterCMS', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Community', 'DAV', 'Express', 'Gambling Content', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Grammarly', 'Hootsuite Badge', 'Instagram Follow Button', 'Interoute Communications', 'K2F', 'KAYAK', 'Medium', 'Microdata for Google Shopping', 'Microsoft Azure Verified CDN', 'Next.js', 'Ntent', 'OSS CDN', 'OpenAI', 'Oracle Cloud', 'Perl', 'QUIC', 'Rush', 'Semrush', 'Shutterstock', 'SiteW', 'SmarterHQ', 'TUNE', 'Tailwind CSS', 'Tint', 'UTF-8', 'Uberall', 'University or College', 'VWO Engage', 'Vector Internet Services', 'Visual Website Optimizer', 'YouTube', 'eLand']"
aberdeenfieldsports.com,play money | play games for money now!slots and casino for you! | play games for money,,FRA,82,80696,2025-12-27T21:34:38.334747531Z,"['Alibaba Cloud Object Storage Service', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon S3 CDN', 'Angular', 'App Store', 'Bankrate', 'BigCommerce', 'ButterCMS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudinary', 'Express', 'Fastly CDN', 'Fireblade', 'GOV.UK Design System', 'Gambling Content', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Ntent', 'PWA', 'QUIC', 'SMC', 'Storyblocks', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'WordPress', 'YouTube', 'eLand', 'shadcn ui']"
nbccf.org,Home | NBCC Foundation,,USA,77,36976,2025-12-25T21:31:38.333016144Z,"['AddSearch', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'ButterCMS', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Informz', 'Instagram Follow Button', 'Microsoft Ajax Content Delivery Network', 'Microsoft Azure', 'PWA', 'Research.net', 'Snowplow', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'Visual Studio', 'jQuery', 'jsDelivr']"
