domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
connectgoinfoware.com,Top IT Company in Bhavnagar | Web & Mobile App Development - ConnectGo Infoware,ConnectGo Infoware,IND,77,15468,2026-02-17T07:08:43.126718168Z,"['Bulma', 'CDN JS', 'CacheFly', 'CacheFly CDN', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Fancybox for WordPress', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Twitter Ads', 'UTF-8']"
supportaspenvalleyhealth.org,The Giving Foundation at Aspen Valley Health Foundation,,,67,142467,2026-02-16T17:54:09.068095201Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'AutoComplete', 'CDN JS', 'CacheFly', 'CacheFly CDN', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'EmbedPress', 'Event Tickets for Wordpress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'HealthStream', 'InitiativeS', 'Instagram Follow Button', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Authentication Library for JavaScript', 'OneCause', 'PHP', 'QUIC', 'SearchWP', 'TVSquared', 'Tailwind CSS', 'Thank You', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
teamhypeeview.com,Home - HypeeView,HypeeView,USA,72,14164,2026-02-13T05:25:20.29226855Z,"['Alternate Protocol', 'Better Lead Generation Services', 'CacheFly CDN', 'Complianz', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hello Elementor', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'Metform Elemento', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'W3 Total Cache', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
fehrl.org,Home,,,62,34068,2026-01-24T13:10:47.260874579Z,"['AWS WAF Challenge', 'Apache', 'CacheFly', 'CacheFly CDN', 'Fastly', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'PHP', 'Twitter Ads', 'UTF-8', 'YouTube', 'reCAPTCHA']"
fit.hu,Főoldal - FIT Számítástechnika Kft.,,,65,18507,2026-01-18T07:46:24.255209078Z,"['Bulma', 'CDN JS', 'CacheFly', 'CacheFly CDN', 'Cloudflare', 'Cloudflare CDN', 'Font Awesome', 'Google My Business', 'IcoMoon', 'Microsoft Azure', 'UTF-8', 'Visual Studio']"
apartmentkiosk.com,Kiosks | Multifamily Industry | Spherexx,Spherexx,USA,67,64458,2026-01-17T14:01:10.449325749Z,"['AJAX Libraries API', 'Better Lead Generation Services', 'CacheFly', 'CacheFly CDN', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'ILoveLeasing', 'IcoMoon', 'PWA', 'Prospective', 'Spherexx', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Wistia', 'jQuery']"
livehighstreetatlanta.com,Luxury Apartments at High Street Atlanta | Windsor Communities,High Street Atlanta,CAN,82,46584,2026-01-13T11:48:17.474984088Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'CacheFly CDN', 'CallRail', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DoubleClick Bid Manager', 'ElementUI', 'EmbedPress', 'Facebook Login', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'MeetElise', 'Microdata for Google Shopping', 'Nginx', 'OneTrust Domain Verification', 'PWA', 'Panoskin', 'Parcel', 'QUIC', 'Search and Filter Pro', 'Share Link', 'SightMap', 'Skypack', 'StackPath', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jsDelivr', 'reCAPTCHA', 'taggbox']"
mainsailhousing.com,Stay Sojo Corporate Housing | Furnished Corporate Housing,,USA,67,95809,2026-01-13T01:16:41.146278892Z,"['CacheFly', 'CacheFly CDN', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Pico CSS', 'QUIC', 'Spherexx', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'UTF-8', 'Vignette OpenText', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'reCAPTCHA']"
cdnplanet.com,CDN Planet: we help you select the right CDN,,PHL,72,58970,2026-01-12T15:21:34.641899814Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Aruba', 'BelugaCDN', 'BunnyCDN Header', 'CDNetworks DNS', 'CacheFly CDN', 'ChinaCache', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fastly CDN', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Imperva Bot Detection and Mitigation', 'LeaseWeb', 'Pleroma', 'QUIC', 'Tailwind CSS', 'Tencent Cloud', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand']"
waldenwoodsfla.com,Manufactured Home Communities - Sun Communities,,USA,77,192165,2026-01-10T22:39:14.780838527Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Angular', 'Apture Linking Platform', 'AutoComplete', 'CDN JS', 'CacheFly', 'CacheFly CDN', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Fontfabric', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Harbor', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Microsoft Ajax Content Delivery Network', 'Nginx', 'PHP', 'RM Education', 'Salesforce Hosted', 'Theme In WP', 'UTF-8', 'Vimeo', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
