domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
svmow.org,Home - St. Vincent Meals on Wheels,ST. Vincent Meals on Wheels,USA,75,8018,2026-04-23T17:57:44.883197317Z,"['Akismet', 'Alternate Protocol', 'Classy', 'Content Delivery Network', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Theme In WP', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'Underscores', 'WP jQuery Lightbox', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
artstudentsleague.org,Home | Art Students League,,,62,19387,2026-04-23T17:17:19.987624984Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Adult Content', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'ArvanCloud', 'CDN JS', 'Classy', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cornerstone', 'DAV', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Prospective', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
rrfb.org,Home - Roadrunner Food Bank,,USA,70,207006,2026-04-23T13:53:20.008499393Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'AddThis', 'AddThis for Wordpress', 'Alternate Protocol', 'Amazon WAF Blocked', 'BLR', 'CERVIS', 'Classy', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Event Tickets for Wordpress', 'FreeBSD', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'InitiativeS', 'Instagram Follow Button', 'KeyCDN', 'LiteSpeed', 'Material Design Icons', 'Microdata for Google Shopping', 'Nginx', 'Outreach Pro', 'PHP', 'Python', 'QUIC', 'Salesforce Hosted', 'Shopware', 'SiteW', 'Slider Revolution', 'The Events Calendar', 'Theme In WP', 'ThemeFusion', 'Tumblr', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'WP Engine', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'accessiBe', 'jQuery', 'reCAPTCHA', 'symfony PHP Framework']"
hsvcommunityofhope.org,Huntsville Community Of Hope,,,72,7429,2026-04-23T12:50:20.008409372Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Classy', 'Express', 'FormSubmit', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
everymilematters.org,GoFundMe | The #1 Crowdfunding and Fundraising Platform,,,62,129779,2026-04-23T10:53:19.980580221Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Aruba', 'Classy', 'CloudFront', 'Coming Soon Page', 'Content Delivery Network', 'Fastly', 'Fireblade', 'GZIP Module', 'Gambling Content', 'GoFundMe', 'Google', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'MemberDev', 'NFOrce Internet', 'Next.js', 'Nginx', 'Perl', 'Pleroma', 'QUIC', 'Share Link', 'SiteW', 'Thank You', 'ThreatMetrix', 'Twitter Ads', 'UTF-8', 'Umbler', 'Underscores', 'University or College', 'YouTube', 'eLand', 'reCAPTCHA']"
siliconvalleyathome.org,Home - SV@Home,SV@Home,USA,70,30088,2026-04-23T09:14:03.357076831Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Adult Content', 'Alternate Protocol', 'CDN JS', 'Classy', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
mnzoofnd.com,Minnesota Zoo Foundation,,,67,118261,2026-04-23T08:41:20.022081644Z,"['501c3 Status Nonprofit', 'Adobe Creative Cloud WebFonts', 'Aruba', 'ArvanCloud', 'Classy', 'Contento', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vimeo', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jsDelivr']"
rhthailand.org,Rapha International - HOME,Rapha International,USA,77,88813,2026-04-23T08:32:19.994444145Z,"['501c3 Status Nonprofit', 'AJAX Libraries API', 'Active Campaign', 'Adobe Creative Cloud WebFonts', 'Amazon CloudFront', 'Aruba', 'Charity Navigator', 'Classy', 'CloudFront', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery', 'reCAPTCHA']"
plataformaimpact.org,Plataforma Impact,,USA,72,31840,2026-04-23T08:23:20.011946354Z,"['AWS WAF Challenge', 'Classy', 'Content Delivery Network', 'Crypto.com', 'Headless UI', 'Instagram Follow Button', 'Mosyle', 'Next.js', 'Oracle Cloud', 'Pleroma', 'RM Education', 'Tailwind CSS', 'Typeform', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
unitedhelpukraine.store,United Help Ukraine: Supporting Ukraine Since 2014,United Help Ukraine,UKR,77,15349,2026-04-23T08:08:19.9797326Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Ametys', 'Apache', 'Classy', 'Contact Form Plugin', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gtranslate for Wordpress', 'InitiativeS', 'Instagram Follow Button', 'Investor Relations', 'Jetpack', 'Kitco', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Popup Maker for Wordpress', 'Site Kit', 'Theme In WP', 'UTF-8', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'reCAPTCHA']"
