domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mending.co.nz,"Men's Relationship Coaching, Mens Counselling | Mending | Wellington, New Zealand",Mending,NZL,77,148981,2026-02-09T17:51:03.431022012Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'ClickUp', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
bluesky-estate.com,Recursos para compradores,Alexandra Gregorcic,USA,77,20476,2026-02-09T15:56:26.187061848Z,"['AutoComplete', 'Bulma', 'ClickUp', 'Coming Soon Page', 'DAV', 'ETranslate', 'ElementUI', 'Fireblade', 'Flat Icon', 'Font Awesome', 'GTranslate', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'Ntent', 'Parcel', 'QUIC', 'UTF-8', 'WhatsApp Sharing', 'reCAPTCHA']"
blackwingprocess.com,"Blackwing, The place for process excellence | business process",,,77,129677,2026-02-09T10:26:03.481519236Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'ClickUp', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GZIP Module', 'GitHub Hosting', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'Pico CSS', 'QUIC', 'RM Education', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'Trello', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'WordPress Related Posts', 'eLand', 'mlcom', 'monday.com']"
b2butmost.co,Home - Utmost Agency,,NLD,65,14166,2026-02-09T03:22:21.245956422Z,"['Alternate Protocol', 'Apache', 'Apture Linking Platform', 'CDN JS', 'ClickUp', 'Cloudflare', 'Cloudflare CDN', 'Cybot', 'ElementUI', 'EmbedPress', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Instantly', 'Microdata for Google Shopping', 'OpenAI', 'PHP', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WP Responsive Menu', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
deydrehome4sale.com,Deydre Garcia,DEYDRE GARCIA MONTALVAN PA,USA,72,18857,2026-02-08T00:15:20.997237145Z,"['Amazon CloudFront', 'Apache', 'AutoComplete', 'Bulma', 'ClickUp', 'CloudFront', 'DAV', 'ElementUI', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Great Schools', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Ntent', 'QUIC', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'UserWay', 'WhatsApp Sharing', 'YouTube', 'reCAPTCHA']"
ienroll.ca,"iENROLL – PSP Enrolment, Simplified.",,CAN,70,18625,2026-02-06T12:31:52.894294095Z,"['Alternate Protocol', 'ClickUp', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Jeg Elementor Kit', 'LiteSpeed', 'PHP', 'QUIC', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
adsplicit.com,AdSplicit | Performance Creative Ad Agency,,NLD,72,31320,2026-02-06T01:43:48.861889263Z,"['Alternate Protocol', 'ClickUp', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Framer Sites', 'Google', 'Google Cloud CDN', 'Instagram Follow Button', 'KVH', 'Ntent', 'Onlinesucces', 'Twitter Ads', 'Yandex Hosting', 'YouTube', 'Zeald']"
foundryinteriors.co,Foundry Interiors,,,35,25484,2026-02-05T11:10:48.860630347Z,"['Aruba', 'ClickUp', 'Coming Soon Page', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
bostonsocialmediamanager.com,"Marketing Agency, Website Design, Social Media Marketing | Blue Seven Studio",,NZL,77,164704,2026-02-05T06:49:48.877176367Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'Bing Cashback', 'Bing Conversion Tracking', 'ClickUp', 'ClientSuccess', 'Content Delivery Network', 'Contento', 'DAV', 'DC74', 'Envoy', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Fastly CDN', 'Financial Services Guide', 'Fireblade', 'FormSubmit', 'GZIP Module', 'Google Conversion Tracking', 'Google Related Website Sites', 'Instagram Follow Button', 'Marketing Pro', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'No-Q', 'POWr', 'PWA', 'Pico CSS', 'QUIC', 'SMC', 'Sentry', 'Shopify', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'Yelp Badge', 'YouTube', 'eLand', 'mlcom']"
flagrun.io,flagrun. Performance Marketing on Horsepower,,,62,24820,2026-02-05T05:55:48.860058174Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alternate Protocol', 'ClickUp', 'Framer Sites', 'Free Call', 'Google', 'Google Cloud CDN', 'Ntent', 'Python', 'QUIC', 'Subversion', 'Yandex Hosting', 'Zeald']"
saueo.co.za,Home - (SA)UEO,(SA)UEO,,60,42798,2026-02-04T23:22:27.042302023Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Automattic', 'ClickUp', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Federal Deposit Insurance Corporation', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Jetpack', 'K2F', 'KVH', 'Kitco', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ninja Forms', 'O2MC Dimml', 'Popup Maker for Wordpress', 'QUIC', 'SMC', 'Sign In With Google', 'StackPath', 'Table Addons for Elementor', 'UTF-8', 'Vector Internet Services', 'WP Rocket', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'YouTube', 'reCAPTCHA']"
capstoneretreats.ca,Muskoka Cottage Management - Vacation Rental Management - Air Bnb,Muskoka Cottage Management,,77,79613,2026-02-04T21:45:21.98264566Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'ClickUp', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
sparostudio.com.au,"Custom branding, strategy & UX website design - Sparo Studios",,,67,9881,2026-02-04T20:28:42.552795691Z,"['Adobe Creative Cloud WebFonts', 'Calendly', 'ClickUp', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Hello Elementor', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Klaviyo', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Perfmatters', 'PixelYourSite', 'Premium Addons for Elementor', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
