domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
katelandetecounselling.com.au,Kate Landete Counselling | Explore Support—Feel Better Today,,AUS,87,120156,2026-03-08T16:42:33.807482188Z,"['AWS WAF Challenge', 'Aruba', 'Cliniko', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
thecentreofosteopathy.co.uk,"The Centre of Osteopathy & Sports Medicine – Greenwich | Osteopath, Sports Massage, Deep Tissue Massage and Shockwave Therapy in Deptford, South East London.",,GBR,72,22329,2026-03-08T15:27:46.828824259Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'Bunny Fonts', 'Cliniko', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'EmbedPress', 'Google Cloud DNS', 'Google My Business', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'PHP', 'QUIC', 'QUIC.cloud', 'Subversion', 'UTF-8', 'University or College', 'Vector Internet Services', 'WordPress', 'WordPress Multisite']"
pilatespro.se,Sibyllans Osteopatklinik | Kvalitativ och personlig vård för återgång till normal aktivitet,,SWE,55,769,2026-03-08T14:25:43.381457527Z,"['Alternate Protocol', 'Cliniko', 'CookieConsent', 'Divi', 'Elegant Themes', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Nginx', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
bodyaware.com.au,Sports Physio Sydney CBD | Bodyaware Physiotherapy | Australia,,AUS,77,139689,2026-03-08T11:57:30.179797952Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cliniko', 'Content Delivery Network', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Interchange', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
morleyosteopathy.co.uk,Osteopath | Harlow Essex / Aylesford Kent | Rebecca Morley Osteopathy,,,67,140689,2026-03-08T11:15:38.254274605Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Clinic Sites', 'Cliniko', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'mlcom']"
ontrackmassage.com.au,Ontrack Soft Tissue Massage can help you. Canberra,,,77,17928,2026-03-08T10:06:16.192275631Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Cliniko', 'CloudFront', 'Commoninja', 'Duda', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Tailwind CSS', 'UTF-8']"
rick-smith.com,Dr. Rick - HK's leading performance psychologist,,,77,23144,2026-03-08T08:42:32.904026524Z,"['3D FlipBook', 'AWS WAF Challenge', 'Alternate Protocol', 'Cliniko', 'Framer Sites', 'Google Analytics', 'Google Tag Manager', 'Ntent', 'University or College', 'Yandex Hosting', 'Zeald']"
gkconnect.com.au,GK Connect: Physiotherapy and Chronic Pain Management,,,67,105516,2026-03-08T08:24:25.93844142Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Cliniko', 'Contento', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
healthymove.com.au,Healthy Move,,,67,79961,2026-03-08T04:41:01.327352548Z,"['Accordion Blocks', 'Aruba', 'Cliniko', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
excellentfootclinic.co.uk,Excellent Foot Clinic | Specialist Chiropodist | Podiatrists,,GBR,92,18682,2026-03-08T00:49:09.811215094Z,"['Alternate Protocol', 'Astra Theme', 'Brevo', 'Cliniko', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Fireblade', 'GenerateBlocks', 'Google Analytics', 'Google Customer Reviews', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'QUIC.cloud', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube']"
