domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
n11.nl,"content, pr & marketing - Buro N11",Buro N11,DEU,77,18170,2026-03-14T15:22:04.143597148Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Contact Form Plugin', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Fancybox for WordPress', 'Fonts Plugin', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'SVG Support', 'Tailwind CSS', 'Theme In WP', 'UK Cookie Consent', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
fbindustrial.com,Custom CNC Machining & Die Casting Manufacturer in China | HMaking,Custom High Precision CNC Parts Manufacturer in China - HM,CHN,77,37676,2026-03-14T15:01:35.552800381Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Astra Theme', 'Azion', 'Chatbase', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Content Delivery Network', 'EmbedPress', 'Express', 'Fastly', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'Jetpack', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Microsoft Clarity', 'PHP', 'QUIC', 'SiteW', 'TermsFeed', 'Thank You', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'Yandex Hosting', 'YouTube', 'jQuery', 'jQuery Pin It Button for Images']"
pyramidclub.com,"Pyramid Club | Philadelphia, PA | Invited",,USA,77,86785,2026-03-14T15:01:35.55224182Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Corporate Governance and Regulatory Compliance', 'Episerver Search Navigation', 'Express', 'FormSubmit', 'GZIP Module', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Oracle Cloud', 'Oracle Content Management', 'Perl', 'Pico CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'WordPress SEO Structured Data Schema Plugin', 'reCAPTCHA', 'shadcn ui']"
mjpayne.com,Mark J. Payne - Concierge Coaching and Case Management - Mark J. Payne,,USA,82,16748,2026-03-14T14:53:31.88537745Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'Sitelinks Search Box', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
seamaticsurplus.com,Seamatic Surplus: Marine & Industrial Equipment Deals,Seamatic Surplus,,57,9845,2026-03-14T14:53:31.871615276Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Anti-spam for WordPress', 'Apache', 'Apture Linking Platform', 'Automattic', 'Cisco/Arrowpoint Content Service Switch', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Fireblade', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'Sitelinks Search Box', 'Slider Revolution', 'Smart Coupons for WooCommerce', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'reCAPTCHA']"
madewithlove.love,"Olivier Coste, Winemaker, Sud de France",,,72,18176,2026-03-14T14:48:20.179140554Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Contact Form Plugin', 'EmbedPress', 'Fontello', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'PHP', 'Parcel', 'Polylang', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
centralcollective.work,Private Office Space in Montana | Central Collective,,,72,45847,2026-03-14T14:24:54.52883321Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Contact Form Plugin', 'Content Delivery Network', 'Content ad', 'Contento', 'EmbedPress', 'Fancybox for WordPress', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'PHP', 'Pico CSS', 'QUIC', 'Thank You', 'Theme In WP', 'Twenty Nineteen', 'UTF-8', 'UserWay', 'WP Engine', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
wildflowerclub.com,"Wildflower Country Club | Temple, TX | Invited",,USA,77,86785,2026-03-14T14:12:05.109695904Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Episerver Search Navigation', 'Express', 'FormSubmit', 'GZIP Module', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Oracle Cloud', 'Oracle Content Management', 'Perl', 'Pico CSS', 'QUIC', 'UTF-8', 'Visual Studio', 'WordPress SEO Structured Data Schema Plugin', 'reCAPTCHA', 'shadcn ui']"
fmsb.com,FMSB | Dedicated to Fair and Effective Markets,Financial Markets Standards Board,GBR,92,19826,2026-03-14T13:58:11.885202104Z,"['AWS WAF Challenge', 'Ajax Search Pro for Wordpress', 'Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Complianz', 'Content Delivery Network', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'MailChimp for WordPress', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'Pico CSS', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'qTranslate', 'reCAPTCHA']"
findbusinessclass.com,Find Business Class | Premium Flights at Unbeatable Rates,,USA,82,17400,2026-03-14T13:47:12.725392234Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'DoubleClick Bid Manager', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
