domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
gladtek.com,"Gladtek - Java, Jahia CMS, Vaadin & JRules Experts",Gladtek,FRA,82,54036,2026-04-13T12:47:19.982422642Z,"['AWS WAF Challenge', 'Astro', 'Bound', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'Content Delivery Network', 'ElementUI', 'Friendly Captcha', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'InitiativeS', 'KVH', 'Microdata for Google Shopping', 'Netlify', 'Tailwind CSS', 'Twitter Ads', 'Vercel', 'YouTube', 'jsDelivr', 'shadcn ui']"
michalkonopka.pl,Michal Konopka,,,62,2980,2026-04-13T11:59:20.0187476Z,"['Astro', 'Cloudflare', 'Cloudflare Workers', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'LiteSpeed', 'QUIC', 'University or College', 'Vercel']"
mnppi.org,The MNPPI Group — Technology Consulting & SaaS Platforms,MNPPI Group LLC,,72,15300,2026-04-13T10:14:19.99584275Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'Content Delivery Network', 'Microdata for Google Shopping', 'Pico CSS', 'Tailwind CSS']"
chrisciokler.com,Chris Ciokler | Software Developer,,,67,34540,2026-04-13T09:53:59.670435773Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Workers', 'Cloudinary', 'Content Delivery Network', 'Express', 'Fireblade', 'GitHub Hosting', 'Next.js', 'Pleroma', 'QUIC', 'Twitter Ads', 'UTF-8', 'Vercel', 'shadcn ui']"
muniter.xyz,Javier López - Software Engineer,,,57,60,2026-04-13T09:14:20.001599023Z,"['Apache', 'Astro', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'Content Delivery Network', 'GitHub Hosting', 'GoatCounter', 'Microdata for Google Shopping', 'Python', 'Tailwind CSS']"
narno.mx,Repository of Experiments,,,45,260,2026-04-13T06:19:20.80317314Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'GZIP Module', 'QUIC', 'UTF-8']"
mozart409.com,Mozart409,,,40,144,2026-04-13T06:11:19.978051685Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'GitHub Hosting', 'Tailwind CSS', 'Twitter Ads', 'Unsplash']"
sandcastle-ai.eu,Sandcastle - Stop building AI infrastructure. Start shipping AI products.,,,67,9732,2026-04-13T04:14:19.986114592Z,"['Alternate Protocol', 'Apache', 'Cloudflare', 'Cloudflare Workers', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Ntent', 'PagerDuty', 'Python', 'RawGit', 'Tailwind CSS', 'Vector Internet Services', 'Vercel']"
nargila.net,Best Blacklinks Site - Free KeyWords Blacklinks website,,,40,312,2026-04-12T18:29:19.990721492Z,"['AliExpress', 'ArvanCloud', 'Baidu Ads', 'Baidu Cloud', 'Bing Cashback', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cloudflare Workers', 'Express', 'GitHub Hosting', 'Google My Business', 'Semantic UI', 'UTF-8', 'Yandex Hosting', 'jQuery', 'jsDelivr']"
s18i.dev,s18i - Sebastian Szczepański - Software Architect & Technical Leader,,,67,15300,2026-04-12T14:08:19.993708848Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Workers', 'Express', 'Fireblade', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nuxt.js', 'UTF-8']"
