domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
cookunitycore.com,CookUnity: Save 50% Off 1st Week | Chef-Crafted Meal Delivery,CookUnity,CHL,77,10358,2026-05-11T16:02:19.983141719Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apple Auto Link Maker', 'CloudFront', 'Content Delivery Network', 'Contentful', 'DAV', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Imgix', 'Instagram Follow Button', 'Next.js', 'Pico CSS', 'Pleroma', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'shadcn ui']"
shopatalitrade.com,Home - Atali Trade Shop,,,57,14767,2026-05-11T13:38:19.981924444Z,"['AWS WAF Challenge', 'Angular', 'Angular Material', 'Apture Linking Platform', 'Azure Edge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contentful', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Imgix', 'Instagram Follow Button', 'Line2', 'Microsoft 365', 'Microsoft Azure', 'Perl', 'QUIC', 'Report URI', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Umbler', 'Vimeo', 'YouTube', 'reCAPTCHA', 'shadcn ui']"
newiberiaanimalhospital.org,Homepage | Spanish Trail Animal Hospital,,,62,250728,2026-05-11T12:59:19.994510422Z,"['AdRoll', 'Amazon', 'Amazon CloudFront', 'Amplitude', 'Angelcam', 'AudioEye', 'Authorize.net', 'Azure Edge', 'BambooHR', 'Birdeye', 'Bunny Fonts', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Constant Contact', 'Contentful', 'Contentstack', 'Demandforce', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Form.IO', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Intercom', 'JotForm', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Next.js', 'Ntent', 'Paycor', 'Perl', 'Pleroma', 'QUIC', 'RM Education', 'SMC', 'Salesforce Experience Cloud', 'Schema Plugin', 'Storyblocks', 'Stripe', 'Styled Components', 'Thank You', 'Timely', 'UTF-8', 'Vimeo', 'Weglot', 'YouTube']"
blueridgevets.com,"Veterinary Care in Purcellville, VA | Blue Ridge Veterinary Associates",,,62,313728,2026-05-11T12:14:47.252932278Z,"['AdRoll', 'Amazon', 'Amazon CloudFront', 'Amplitude', 'Angelcam', 'AudioEye', 'Authorize.net', 'Avature', 'Azure Edge', 'BambooHR', 'Birdeye', 'Bunny Fonts', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Community', 'Constant Contact', 'Contentful', 'Contentstack', 'Demandforce', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Form.IO', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Intercom', 'JotForm', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Next.js', 'Ntent', 'Paycor', 'Perl', 'Pleroma', 'QUIC', 'RM Education', 'SMC', 'Salesforce Experience Cloud', 'Schema Plugin', 'Storyblocks', 'Stripe', 'Styled Components', 'Thank You', 'Timely', 'UTF-8', 'Vimeo', 'Weglot', 'YouTube']"
ttdeducation.com,TTD Education,,THA,67,7308,2026-05-11T12:02:19.99506067Z,"['Ant Design Vue', 'Content Delivery Network', 'Contentful', 'Google', 'Google Cloud CDN', 'Google My Business', 'Next.js', 'Pleroma', 'Styled Components', 'UTF-8', 'University or College', 'Vercel', 'WordPress']"
nativecloser.com,"Whop: Start a Business, Learn a New Skill, & Build a Network | Whop",,,47,40314,2026-05-11T11:17:19.983282438Z,"['1Password', 'AWS WAF Challenge', 'Adult Content', 'Amazon', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'ByteDance', 'Coinbase', 'Coming Soon Page', 'Content Delivery Network', 'Contentful', 'Federal Deposit Insurance Corporation', 'Financial Services Guide', 'Fireblade', 'Gambling Content', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Hotmart', 'Instagram Follow Button', 'KVH', 'Line2', 'Microdata for Google Shopping', 'New Relic', 'Next.js', 'No-Q', 'Perl', 'QUIC', 'SMC', 'Sardine', 'Share Link', 'Smart App Banner', 'Square', 'Subversion', 'Tailwind CSS', 'Thank You', 'TikTok Conversion Tracking Pixel', 'TradingView', 'UTF-8', 'Underscores', 'University or College', 'Vercel', 'YouTube', 'shadcn ui']"
dijana-pavlovic.se,UX Designer | Dijana Pavlovic Portfolio,,,57,1983,2026-05-11T08:02:19.979301376Z,"['Angular', 'Content Delivery Network', 'Contentful', 'Fastly', 'FreeBSD', 'Gatsby JS', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'KeyCDN', 'Netlify', 'Python', 'Shopware', 'Styled Components', 'UTF-8', 'University or College', 'Vector Internet Services', 'Yandex Hosting']"
2harborstreet.net,2 Harbor | Beacon Capital Partners,,,62,12336,2026-05-11T06:59:20.007039677Z,"['Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Contentful', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'Netlify', 'Next.js', 'PWA', 'Perl', 'Pleroma', 'UTF-8', 'University or College', 'jsDelivr']"
forhvigolf.com,Sandbox VR | Immersive Virtual Reality Experience,Sandbox VR,USA,72,45787,2026-05-11T06:56:19.98440319Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'CCSI', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Contentful', 'DAV', 'Express', 'Imgix', 'Instagram Follow Button', 'PWA', 'Pico CSS', 'Squid', 'Styled Components', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube', 'eLand', 'shadcn ui']"
soldotnavet.com,Homepage | Soldotna Animal Hospital,,,62,290728,2026-05-11T05:26:19.999149746Z,"['AdRoll', 'Amazon', 'Amazon CloudFront', 'Amplitude', 'Angelcam', 'AudioEye', 'Authorize.net', 'Azure Edge', 'BambooHR', 'Birdeye', 'Bunny Fonts', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Constant Contact', 'Contentful', 'Contentstack', 'Demandforce', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Form.IO', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Intercom', 'JotForm', 'Microdata for Google Shopping', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Next.js', 'Ntent', 'ON24', 'Paycor', 'Perl', 'Pleroma', 'RM Education', 'SMC', 'Salesforce Experience Cloud', 'Schema Plugin', 'Storyblocks', 'Stripe', 'Styled Components', 'Thank You', 'Timely', 'UTF-8', 'Vimeo', 'Weglot', 'YouTube']"
4kpromoprint.com,Home - 4K Promo & Print,,,62,50839,2026-05-11T02:59:20.02895453Z,"['Angular', 'Angular Material', 'Apture Linking Platform', 'Azure Edge', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Contentful', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Microsoft 365', 'Microsoft Azure', 'QUIC', 'Report URI', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube', 'reCAPTCHA', 'shadcn ui']"
peterkroyer.com,Peter Kroyer | Freelance web developer,,,62,6084,2026-05-11T00:47:19.995195948Z,"['Amazon Link Enchancer', 'Amazon Widgets', 'Content Delivery Network', 'Contentful', 'Netlify', 'Next.js', 'Pleroma', 'QUIC', 'Sanity', 'Styled Components', 'UTF-8']"
johan-mouchet.com,Johan Mouchet — Design System Architect,,AUS,72,173680,2026-05-11T00:34:31.916357294Z,"['Better Lead Generation Services', 'Carta', 'Content Delivery Network', 'Contentful', 'Figma', 'GitHub Hosting', 'Google My Business', 'Headless UI', 'Heroku', 'InitiativeS', 'Instagram Follow Button', 'NFOrce Internet', 'Netlify', 'Next.js', 'PWA', 'Parcel', 'Perl', 'Pleroma', 'Propps', 'SDL Tridion', 'Split', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube']"
ucb-hk.com,UCB Hong Kong,,,40,5000,2026-05-11T00:26:20.000970212Z,"['Content Delivery Network', 'Contentful', 'Google Analytics', 'Google Tag Manager', 'Next.js', 'Perl', 'Siteimprove', 'Tailwind CSS', 'UTF-8', 'Vercel']"
privilege4dassaultaviation.com,Europcar: Rental Cars - Car Rental & Van Rental,Europcar,,47,111428,2026-05-10T22:26:19.984969216Z,"['Alternate Protocol', 'Amazon', 'App Store', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'Contentful', 'Didomi', 'Fireblade', 'GZIP Module', 'GetResponse', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Play', 'LaunchDarkly', 'Line2', 'Nginx', 'Nuxt.js', 'Perl', 'QUIC', 'Sentry', 'Subversion', 'UTF-8', 'Workday']"
strive-se.com,Strive,,,35,9200,2026-05-10T21:38:20.003946369Z,"['Content Delivery Network', 'Contentful', 'Express', 'Fireblade', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'NFOrce Internet', 'Next.js', 'PWA', 'Perl', 'UTF-8', 'Vector Internet Services', 'Vercel']"
