domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
151storage.com,"The Space Store / Xtra Storage | Columbus, Fall River, Waterloo & Marshal Wisconsin",,,67,14349,2026-05-15T20:05:19.995879988Z,"['Alternate Protocol', 'Amazon CloudFront', 'Authorize.net', 'CloudFront', 'Content Delivery Network', 'ConvertBox', 'Elfsight', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'Onyx Internet', 'UTF-8', 'Unsplash']"
signatureblindsandshutters.co.uk,Signature Blinds & Shutters | Blinds and Shutters Surrey,Signature Blinds and Awnings Surrey,CAN,77,3299,2026-05-15T17:54:08.841285357Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'ConvertBox', 'EmbedPress', 'Essential Grid', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'Ntent', 'PHP', 'Perfmatters', 'QUIC', 'Sitelinks Search Box', 'Smart Slider 3', 'Tawk', 'Theme In WP', 'ThemeFusion', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'W3 Total Cache', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
workwithconnect.com,Connect Assistant Resource | Executive Assistant Recruiters,Connect Assistant Resource,USA,82,5080,2026-05-15T16:41:13.214240825Z,"['Active Campaign', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'BatCache', 'Content Delivery Network', 'ConvertBox', 'EmbedPress', 'Fastly', 'Google Analytics', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'Instagram Follow Button', 'Kadence WP', 'LearnDash', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
picklepop.club,PicklePop | Philadelphia [ Book now ],PicklePop,USA,77,278520,2026-05-15T16:35:19.977765182Z,"['ADFOX', 'AdRoll', 'Amazon', 'Amplitude', 'Attentive', 'Bing Cashback', 'Bing Conversion Tracking', 'Brevo', 'Bunny Fonts', 'ByteDance', 'CallRail', 'ClickCease', 'Content Square', 'ConvertBox', 'Convertful', 'DoubleClick Bid Manager', 'Facebook Reseller', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Inspectlet', 'Instagram Follow Button', 'LaunchDarkly', 'Mapp', 'Metricool', 'Microsoft Azure', 'Microsoft Clarity', 'Next.js', 'Ntent', 'PayPal Adaptive Payments', 'Pleroma', 'Poper', 'Popupsmart', 'QUIC', 'Quantcast Direct', 'Quantum Metric', 'Secure Privacy', 'Share Link', 'ShopBack', 'Sleeknote', 'Square', 'Storyblocks', 'Stripe', 'Taboola Direct', 'Taboola Reseller', 'Tagembed', 'Tailwind CSS', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'University or College', 'UserWay', 'Way', 'Yahoo Image CDN', 'Yahoo Web Analytics', 'Yandex Hosting', 'jsDelivr', 'shadcn ui']"
midnightmusic.com,Simplifying Technology for Music Teachers | Midnight Music,,,67,45353,2026-05-15T08:26:20.014614427Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Ametys', 'ConvertBox', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Make Column Clickable Elementor', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Ontraport', 'Perfmatters', 'PixelYourSite', 'Prospective', 'QUIC', 'SVG Support', 'Social Warfare', 'Thank You', 'The Events Calendar', 'ThemeFusion', 'Twitter Ads', 'UTF-8', 'WP Rocket', 'WP jQuery Lightbox', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'reCAPTCHA']"
bewellmi.com,Balanced Health & Wellness | Be Well MI Berkley,,,67,26304,2026-05-15T07:53:19.972065196Z,"['ConvertBox', 'GZIP Module', 'Google Cloud DNS', 'Google Cloud Storage', 'Google My Business', 'Instagram Follow Button', 'K2F', 'Microdata for Google Shopping', 'OpenResty', 'PWA', 'Placehold IT', 'Tailwind CSS', 'UTF-8', 'Weblium', 'YouTube']"
beyondub.com,"beyondUB | ebooks, ecourses and bundles",,,60,45551,2026-05-15T03:53:19.976407942Z,"['Alternate Protocol', 'Cart.com', 'Content Delivery Network', 'ConvertBox', 'Divi', 'Elegant Themes', 'EmbedPress', 'Express', 'Google Cloud DNS', 'Google Font API', 'HurryTimer', 'LiteSpeed', 'Metricool', 'PHP', 'QUIC', 'SMC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
fairgameretro.com,Retro Game Store Sacramento - Fair Game Video Games,,USA,75,86229,2026-05-15T01:32:19.984644087Z,"['Adult Content', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'ConvertBox', 'Daily Deals', 'Express', 'Fastly CDN', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'PhoneWagon', 'SMC', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
redefiningmom.shop,Redefining Mom® Shop- Smarter Life Tools for Modern Motherhood,,USA,77,31197,2026-05-14T22:20:20.046479191Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'ConvertBox', 'Express', 'Fastly', 'GoAffPro', 'Instagram Follow Button', 'Loop Returns', 'Microdata for Google Shopping', 'NFOrce Internet', 'Oddle', 'PayPal', 'QUIC', 'Shopify', 'Shopify Collabs', 'Thank You', 'UTF-8', 'Zipify', 'hCaptcha', 'reCAPTCHA', 'shadcn ui']"
katiedevlin.com,Katie Devlin - Laser Business Mentor,,,55,758,2026-05-14T20:39:31.691419651Z,"['AJAX Libraries API', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'ConvertBox', 'DAV', 'ElementUI', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Tally', 'UTF-8', 'WP Engine', 'YouTube', 'jQuery']"
