domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
rosevillecouplescounseling.com,"Marriage Counseling & Couples Therapy Roseville & Fair Oaks, CA",Relationship Therapy Center,FRA,77,37178,2026-08-12T15:45:53.458858312Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'ConvertKit', 'DAV', 'Divi', 'DoubleClick Bid Manager', 'Easy Fancybox', 'Elegant Themes', 'EmbedPress', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'PHP', 'StackPath', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'UserWay', 'WP Rocket', 'Wangsu', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
mackenziegroup.com.au,Mackenzie Group – Exceptional Bookkeeping Services For Growing Businesses,,AUS,65,2331,2026-08-12T14:06:55.947277327Z,"['Alternate Protocol', 'ConvertKit for Wordpress', 'Elementor', 'EmbedPress', 'Everest Forms', 'GeneratePress Company', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Parcel', 'QUIC', 'Royal Elementor Addons', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
tawnmoore.com,Illustration For Products • Art Licensing & Commissions • Tawn Moore,,,72,2475,2026-08-12T12:36:48.820352526Z,"['Alternate Protocol', 'Apache', 'ConvertKit for Wordpress', 'CookieYes', 'Debian', 'Elementor', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'PHP', 'QUIC', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
livingvoicemedicine.com,Home - Living Voice Medicine,,,67,41046,2026-08-12T12:27:36.517229076Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Automattic', 'Column Shortcodes', 'Contento', 'ConvertKit for Wordpress', 'EmbedPress', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Jetpack', 'Kriesi.at', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Share Link', 'Thank You', 'Theme In WP', 'UTF-8', 'WP Super Cache', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
crack-the-clarity-code.com,Crack the Clarity Code and communicate with irresistible clarity,,DEU,77,3267,2026-08-12T11:43:00.057236048Z,"['Alternate Protocol', 'Astra Theme', 'ConvertKit for Wordpress', 'Elementor', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Instagram Follow Button', 'Jetpack', 'Lazy Load for WordPress', 'LinkedIn Insights', 'LinkedIn Pixel', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Tally', 'Theme In WP', 'UTF-8', 'Vimeo', 'WP Rocket', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats', 'YouTube', 'jQuery']"
solidwize.com,SolidWize – Online SolidWorks Training - Take Control of Your Cad,,,67,68058,2026-08-12T11:16:26.024716719Z,"['AJAX Libraries API', 'All in One SEO Pack', 'Alternate Protocol', 'Content Delivery Network', 'ConvertKit for Wordpress', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Gravity', 'Hello Bar', 'HitTail - Long Tail Keyword Marketing', 'Mixpanel', 'Nginx', 'Optimizely Recommendations', 'PHP', 'Paid Memberships Pro', 'Popup Maker for Wordpress', 'QUIC', 'Subversion', 'Theme In WP', 'Theme My Login', 'UTF-8', 'Vimeo', 'WP Engine', 'WordPress', 'WordPress Multisite', 'Zendesk Embeddables', 'jQuery']"
podlifechallenge.com,Podlife Challenge - BRANDS ON BRANDS,,,60,856,2026-08-12T09:55:36.895698486Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'ConvertKit for Wordpress', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Neve', 'PHP', 'Sapper', 'ScoreApp', 'Theme In WP', 'UTF-8', 'Vantage', 'W3 Total Cache', 'WP Featherlight', 'WordPress', 'WordPress Multisite', 'YouTube', 'YouTube Advanced by Embed Plus', 'jQuery']"
rethinkinglibraries.net,ReThinking Libraries - Library Consulting,,,62,91537,2026-08-12T09:23:32.148170174Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Amazon WAF Blocked', 'Aruba', 'ConvertKit', 'Express', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
austenjewellers.com,Austen Jewellers | Okotoks Jewellery Store | Engagement Rings & Wedding Bands,AUSTEN JEWELLERS,,82,77737,2026-08-12T06:46:48.177190156Z,"['Adobe Creative Cloud WebFonts', 'Amazon WAF Blocked', 'Aruba', 'ConvertKit', 'Ethy', 'Express', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
briskadvisors.net,Brisk M&A Advisors,,,40,,2026-08-12T03:44:23.757208685Z,"['Alternate Protocol', 'ConvertKit for Wordpress', 'Elementor', 'EmbedPress', 'Hello Elementor', 'LiteSpeed', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
