domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mettlerchiro.com,"Family Chiropractor in Spring Valley, MN | Top-Rated | Contact Us",,USA,77,3184,2026-08-01T11:13:54.734010376Z,"['Agoda', 'Alternate Protocol', 'Anti-spam for WordPress', 'CleanTalk Spam Protect', 'Content Delivery Network', 'CrazyEgg', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'QUIC', 'QUIC.cloud', 'Salient', 'UTF-8', 'UserWay', 'WPBakery', 'WordPress', 'WordPress Multisite']"
frontiervetexpress.com,"Veterinarians in Abilene, TX | Frontier Vet Express",,USA,92,19622,2026-08-01T10:05:44.858178511Z,"['AWS WAF Challenge', 'CDN JS', 'CallRail', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CrazyEgg', 'Elfsight', 'EmbedPress', 'Express', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WordPress']"
johnsonsjunk.com,Junk Removal Snohomish WA | Same-Day Pickup | Johnson's Junk Removal,Johnson's Junk Removal,USA,87,23187,2026-08-01T08:41:47.013939931Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'ClickCease', 'Cloudflare', 'Content Delivery Network', 'ContentViews', 'CrazyEgg', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'PHP', 'Pagekit', 'QUIC', 'Smush Image Optimization', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WP Engine', 'WP Rocket', 'WordPress', 'jQuery']"
bluecollarbackoffice.com,Accounting Services in New Jersey | Blue Collar Back Office,Blue Collar Back Office,NOR,92,22007,2026-08-01T06:46:01.835352797Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Calendly', 'CrazyEgg', 'Creative Mail by Constant Contact', 'Custom Facebook Feed', 'DAV', 'Divi', 'Elegant Themes', 'EmbedPress', 'Express', 'Facebook CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Jetpack', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Clarity', 'Nginx', 'Ntent', 'PHP', 'Perl', 'QUIC', 'Thank You', 'Theme In WP', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
bestpass.com,Bestpass Home - Bestpass by Fleetworthy,Bestpass,,67,139615,2026-08-01T05:44:48.020160684Z,"['AddThis', 'AddThis for Wordpress', 'Alternate Protocol', 'Apache', 'Bing Cashback', 'Bing Conversion Tracking', 'CookieYes', 'CrazyEgg', 'Drift', 'Elementor', 'EmbedPress', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Juicer', 'Juicer DMP', 'LinkedIn Insights', 'LinkedIn Pixel', 'Marketo', 'Microdata for Google Shopping', 'Microsoft Azure', 'PHP', 'Qualified', 'Sitelinks Search Box', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YooTheme', 'YouTube', 'jQuery']"
interiorflow.co,InteriorFlow | AI Interior Design Software,,,72,15132,2026-08-01T05:44:48.011862863Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'CrazyEgg', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Tag Manager', 'Microsoft Clarity', 'Plausible Analytics', 'QUIC', 'RM Education', 'Tailwind CSS', 'Typeform', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'YouForm']"
kennesawvet.com,"Veterinarian in Kennesaw, GA | Animal Hospital",,ZAF,92,24050,2026-08-01T03:56:01.071114351Z,"['AWS WAF Challenge', 'CDN JS', 'CallRail', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CrazyEgg', 'Elfsight', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'PetDesk', 'Plausible Analytics', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Vetsource', 'WordPress']"
eastcoasttreefellersllc.com,"Best Emergency Tree Services | East Coast Tree Fellers | Taunton, MA | Berkley MA",East coast tree fellers,USA,82,17460,2026-08-01T03:07:44.496394905Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Better Lead Generation Services', 'CloudFront', 'CrazyEgg', 'DAV', 'Duda', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nginx', 'Perl', 'QUIC', 'Tailwind CSS', 'TrustIndex', 'UTF-8']"
michaeltselepis.com,Trusted Orthodontist in Brisbane | SmileStyle Orthodontics,Smile Style Orthodontics,AUS,77,15243,2026-08-01T01:55:26.277516787Z,"['AdRoll', 'Apache', 'Baidu Cloud', 'CrazyEgg', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Form.IO', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'LiveChat', 'LiveChat Monitoring', 'Microdata for Google Shopping', 'PHP', 'Tailwind CSS', 'UTF-8', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery']"
318injurylawyer.com,"Your Trusted Lawyer in Minden, LA - Yocom Law Firm, LLC",Yocom Law Firm LLC,USA,77,29376,2026-08-01T01:52:34.560009882Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'CrazyEgg', 'Duda', 'GZIP Module', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'RM Education', 'Tailwind CSS', 'UTF-8', 'YouTube']"
