domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
paynesunwear.com,"Payne Glasses | Affordable Prescription Eyewear Online for Men, Women & Kids.",Payne Glasses,,72,526297,2026-02-14T10:57:46.589132907Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Adult Content', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Amazon Widgets', 'AppNexus Direct', 'Apture Linking Platform', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'ByteDance', 'CDN JS', 'Cart.com', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'ConvertCart', 'Criteo', 'Criteo Reseller', 'DemDex', 'DoubleClick Bid Manager', 'ElementUI', 'Express', 'Fast Simon', 'Fastly', 'Fireblade', 'Font Awesome', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Improve Digital Direct', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Klarna', 'Klaviyo', 'Login and Pay with Amazon', 'Magento', 'Magento Enterprise', 'Media.net', 'Media.net Reseller', 'Microdata for Google Shopping', 'New Relic', 'Ntent', 'Oddle', 'OpenX Direct', 'Outbrain Direct', 'PayPal Adaptive Payments', 'Perl', 'Pico CSS', 'Pixabay', 'Pubmatic', 'QUIC', 'SmartAdServer Direct', 'SpringServe Direct', 'StickyAds TV', 'StockSnap', 'Stripe', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Thank You', 'Triple Lift Direct', 'Trustpilot Reviews for WordPress', 'Turn', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vector Internet Services', 'Vercel', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'YouTube', 'adingo', 'eLand', 'iAdvize', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
xlboutfit.com,Home,,,57,29719,2026-02-14T10:47:28.646082513Z,"['Alexa Certified Site Metrics', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Angular', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Content Delivery Network', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'Ember.js', 'Express', 'Facebook CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'Iterable', 'MailChimp', 'Microdata for Google Shopping', 'Mouseflow', 'NFOrce Internet', 'OpenResty', 'QUIC', 'Seflow Italy', 'Sentry', 'Shopify', 'Shopline', 'Subversion', 'Sumo', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'Yahoo Image CDN', 'iZooto']"
mcdanielhomeinspection.com,McDaniel Home Inspection – Home Inspection,,,67,18547,2026-02-14T10:26:42.884609228Z,"['Alternate Protocol', 'Amazon Associates Affiliate Shop', 'AppNexus Direct', 'Automattic', 'BatCache', 'BidSwitch Direct', 'CoBlocks', 'Content Delivery Network', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'EmbedPress', 'Fastly', 'Fireblade', 'GDPR Consent Management Platform', 'GoDaddy', 'Google Reseller', 'IponWeb BidSwitch', 'Jetpack', 'Jetpack Site Accelerator', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'PubMatic Direct', 'Pubmatic', 'Schema Plugin', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats']"
meetvividitaly.com,Get the most out of your business with the perfect business account,,NLD,72,284467,2026-02-14T08:53:34.471273542Z,"['AWS WAF Challenge', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'App Store', 'AppNexus Direct', 'Apture Linking Platform', 'Aruba', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Bug Bounty', 'Builder', 'ByteDance', 'CDN JS', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Coming Soon Page', 'Criteo', 'DemDex', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'Fireblade', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Play', 'Google Tag Manager', 'ID Services', 'Improve Digital Direct', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Media.net', 'Media.net Reseller', 'Mediavine Publisher', 'Microsoft Clarity', 'NFOrce Internet', 'Ntent', 'Outbrain Direct', 'PWA', 'Perl', 'Pubmatic', 'QUIC', 'RM Education', 'Sentry', 'SmartAdServer Direct', 'Snitcher', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Thank You', 'Triple Lift Direct', 'Twitter Ads', 'Twitter Analytics', 'Typeform', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vine Embed', 'Webflow', 'Wolters Kluwer', 'Yandex Hosting', 'Yieldlab', 'Yieldlab Direct', 'Yieldmo Direct', 'YouTube', 'eLand', 'easybill', 'shadcn ui']"
dengyi.com.tw,"登義DengYi網路商店-漢方茶,藥膳,香料",,,72,79862,2026-02-14T08:48:51.599209358Z,"['Alexa Certified Site Metrics', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Angular', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Content Delivery Network', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'Express', 'Facebook CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'Iterable', 'MailChimp', 'Microdata for Google Shopping', 'Mouseflow', 'NFOrce Internet', 'OpenResty', 'QUIC', 'Seflow Italy', 'Sentry', 'Shopify', 'Shopline', 'Subversion', 'Sumo', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Yahoo Image CDN', 'iZooto', 'reCAPTCHA']"
zezegood.tw,日日居 ZEZEGOOD :: 良好睡眠的提供者,,,72,76442,2026-02-14T08:48:51.598557605Z,"['Alexa Certified Site Metrics', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon WAF Blocked', 'Angular', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Content Delivery Network', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'Express', 'Facebook CDN', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Giphy', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'Iterable', 'MailChimp', 'Microdata for Google Shopping', 'Mouseflow', 'OpenResty', 'QUIC', 'Seflow Italy', 'Sentry', 'Shopify', 'Shopline', 'Subversion', 'Sumo', 'Swell Rewards', 'Tailwind CSS', 'UTF-8', 'Vimeo', 'Yahoo Image CDN', 'YouTube', 'iZooto']"
plutustradebase.com,PTB | Plutus Trade Base - Funding Accounts For Traders,Plutus Trade Base,,67,33103,2026-02-14T08:18:20.386606004Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Alibaba Cloud CDN', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'BunnyCDN', 'BunnyCDN General', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Criteo', 'Discord', 'Elementor', 'EmbedPress', 'Express', 'Fastly', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Related Website Sites', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'New Relic', 'PHP', 'Pico CSS', 'Premium Addons for Elementor', 'QUIC', 'Sitelinks Search Box', 'Theme In WP', 'TradingView', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'WP Mobile Menu', 'Woo Themes', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'jQuery', 'jsDelivr']"
gloucesterdems.com,Ciattarelli demands Sherrill ‘come clean’ after Naval Academy cheating scandal resurfaces | Fox News Video,,USA,87,13228,2026-02-14T05:42:53.553209252Z,"['Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon WAF Blocked', 'AppNexus Direct', 'Apture Linking Platform', 'Content Delivery Network', 'Criteo', 'DoubleClick Bid Manager', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Media.net', 'Nuxt.js', 'Oddle', 'OpenX Direct', 'Prebid', 'Pubmatic', 'Sitelinks Search Box', 'TrustX Reseller', 'Twitter Ads', 'UTF-8', 'Yahoo Image CDN', 'YouTube', 'eLand']"
lerjunwrites.com,Sng Ler Jun – Pen For Hire,,USA,87,1867,2026-02-14T03:26:25.544783349Z,"['Alternate Protocol', 'Amazon Associates Affiliate Shop', 'AppNexus Direct', 'Automattic', 'BidSwitch Direct', 'Criteo', 'Criteo Reseller', 'DoubleClick Bid Manager', 'EmbedPress', 'GDPR Consent Management Platform', 'GoDaddy', 'Google Customer Reviews', 'Google Related Website Sites', 'Google Reseller', 'Gutenberg', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Jetpack', 'Jetpack Site Accelerator', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'PubMatic Direct', 'Pubmatic', 'Schema Plugin', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
www.mrsjeweljohnson.com,Unoplay: Link Login Situs Slot Terpercaya Gampang Menang,,IDN,92,85507,2026-02-13T22:50:14.16242312Z,"['AdRoll', 'Alternate Protocol', 'Amazon WAF Blocked', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Criteo', 'Criteo Reseller', 'DAV', 'DoubleClick Bid Manager', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google My Business', 'Google Play', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Ntent', 'Omniture TouchClarity', 'PHP', 'PWA', 'Perl', 'QUIC', 'RTB House Direct', 'Schema Plugin', 'Tailwind CSS', 'Telegram', 'Thank You', 'Twitter Ads', 'UTF-8', 'YouTube', 'shadcn ui']"
