domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
throughthewormhole.com,Through the Wormhole – A Wargamer's Tale,,GBR,65,89,2026-04-01T21:50:20.010761721Z,"['Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Apache', 'DailyMotion Video', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'OpenSSL', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Unix', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
theeyesiteopticians.com,The Eye Site Opticians - See Beautifully +44 1534 720084,,FRA,82,19097,2026-04-01T21:31:00.305867674Z,"['Alternate Protocol', 'Boxzilla', 'Cookie Accept', 'Cookie Notice', 'Cutomizr', 'DAV', 'DailyMotion Video', 'DuracellTomi Google Tag Manager for WordPress', 'Easy Fancybox', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Jetpack', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Pagekit', 'Parallels Plesk Panel', 'SiteOrigin', 'SiteOrigin Panels', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WP GDPR Compliance', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery', 'jQuery Pin It Button for Images']"
les3tomates.com,Home | Domaine St Eugène,DOMAINE DE SAINT EUGENE,,72,17640,2026-04-01T20:13:41.560407016Z,"['Alternate Protocol', 'DailyMotion Video', 'Express', 'Fireblade', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'QUIC', 'Twitter Ads', 'UTF-8', 'Vimeo', 'YouTube']"
geatel-telecom.com,GEATEL - telecom,,PRI,72,5738,2026-04-01T19:38:19.987592218Z,"['Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DailyMotion Video', 'Dailymotion Reseller', 'ElementUI', 'Financial Services Guide', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Idaq', 'Instagram Follow Button', 'No-Q', 'Subversion', 'Tailwind CSS', 'Ubuntu', 'WordPress', 'YouTube', 'jsDelivr', 'shadcn ui']"
neoeconomy.fr,YANN LE FLOCH,,FRA,60,21563,2026-04-01T18:44:20.028749411Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'DailyMotion Video', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'IPFS', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8', 'YouTube']"
the396matrix.com,The 396 Matrix,,,57,60,2026-04-01T17:05:24.140200187Z,"['DailyMotion Video', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'YouTube']"
disabilitiesunitedassociation.org,Disabilities United Assocation,Disabilities United Assocation,,72,1288,2026-04-01T16:59:19.984765524Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'DailyMotion Video', 'EmbedPress', 'Google My Business', 'Koko Analytics', 'Microdata for Google Shopping', 'Nginx', 'SiteGround Optimizer', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'University or College', 'Vine Embed', 'WordPress', 'WordPress Multisite', 'YouTube', 'reCAPTCHA']"
konversaitional.com,Build Conversational AI Agents Effortlessly | konversaitional,,,62,2628,2026-04-01T16:29:19.996040381Z,"['DailyMotion Video', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'Plausible Analytics', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube']"
lebienetre.ca,Wellness,,,62,42400,2026-04-01T15:57:24.167508719Z,"['AWS WAF Challenge', 'DailyMotion Video', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'K2F', 'Nginx', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'shadcn ui']"
familiarmountains.com,Home | Familiar Mountains,,USA,70,87108,2026-04-01T15:17:20.024280734Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DailyMotion Video', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
