domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
meetwithleadscience.com,Digital Marketing & High-Converting Websites | Lead Science,Lead Science,PHL,77,40966,2026-04-26T11:29:20.000055239Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apollo IO', 'Apture Linking Platform', 'Better Lead Generation Services', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'DealerOn', 'EmbedPress', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Site Kit', 'Termly', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WordPress', 'WordPress Multisite', 'accessiBe', 'jQuery']"
thesotolawgroup.com,Newport Beach Estate Planning Attorney | The Soto Law Group,,GBR,92,55997,2026-04-26T09:58:58.782183477Z,"['Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Elegant Themes', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Tailwind CSS', 'TrustIndex', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube', 'jsDelivr']"
cavtool.com,High-Quality Tolerance Products Manufacturer in USA: CAV Tool Co.,CAV Tool Company,ZAF,77,38348,2026-04-26T08:41:20.019826031Z,"['Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio']"
baycountrycontractors.com,Asphalt Paving Services in VA & MD | Bay Country Contractors,,USA,77,37880,2026-04-26T08:26:40.659243422Z,"['Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio']"
colandreapontiacbuickinc.com,"Colandrea Buick GMC | Newburgh, NY, Buick & GMC Dealership",,USA,77,269770,2026-04-26T05:43:18.880775739Z,"['Adobe Analytics', 'Adobe Creative Cloud WebFonts', 'Adobe Marketing Cloud', 'Better Lead Generation Services', 'Call to Visit', 'Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'No-Q', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Struts', 'Tailwind CSS', 'UTF-8', 'University or College', 'Visual Studio', 'eLand', 'iPerceptions', 'jsDelivr']"
dirtwerxllc.com,Excavation & Land Clearing Company in Eastern PA | Dirt Werx,Dirt Werx,USA,77,38936,2026-04-25T13:41:19.99122822Z,"['Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Customer Reviews', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'TrustIndex', 'UTF-8', 'University or College', 'Visual Studio', 'Yelp Badge']"
powersurgeplus.com,PowerSurge Plus | Full-Service Asphalt Maintenance Contractors in PA & Tri-State Area,,USA,77,68468,2026-04-24T18:14:19.993307841Z,"['Better Lead Generation Services', 'Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'The Fresh', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'Yelp Badge']"
voshallconstruction.com,Remodeling Construction Contractors - Voshall Construction Inc.,,USA,77,38468,2026-04-24T17:53:19.993546927Z,"['Content Delivery Network', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'TrustIndex', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio']"
richmond-honda.com,"Honda Dealership | Richmond, KY | Gates Honda",,USA,77,62112,2026-04-24T17:08:20.019975941Z,"['Call to Visit', 'CarGurus', 'Content Delivery Network', 'CrazyEgg', 'DAV', 'DealerOn', 'ETranslate', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'Nginx', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'Tailwind CSS', 'TradePending', 'Twitter Ads', 'UTF-8', 'University or College', 'VWO Engage', 'Visual Studio', 'Visual Website Optimizer', 'YouTube', 'eLand']"
joinbergstrom.com,Careers,,USA,72,102799,2026-04-24T06:47:20.003995642Z,"['Adobe Creative Cloud WebFonts', 'Content Delivery Network', 'Cornerstone', 'DAV', 'DealerOn', 'ETranslate', 'Fastly', 'Fastly CDN', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'InitiativeS', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'QUIC', 'SiteW', 'Sitelinks Search Box', 'TVSquared', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Upstart', 'YouTube', 'jsDelivr']"
