domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
patient-live.uk,PatientLive – Fast custom insights from patients in Europe and North America,,,60,12892,2026-08-26T14:00:03.4022071Z,"['Alternate Protocol', 'Apache', 'Column Shortcodes', 'Contento', 'Didomi', 'DuracellTomi Google Tag Manager for WordPress', 'GDPR Consent Management Platform', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Kriesi.at', 'Kylos', 'PHP', 'QUIC', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
classicmercedesmag.co.uk,Subscribe to Classic Mercedes | Kelsey Media Shop,,GBR,92,19226,2026-08-26T13:20:57.90058168Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Didomi', 'Font Awesome', 'GDPR Consent Management Platform', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Kinsta', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'Pleroma', 'Shopware', 'Show.co', 'UTF-8', 'Underscores', 'WordPress SEO Structured Data Schema Plugin']"
doro.uk,Home page,,,37,5616,2026-08-26T10:11:56.838304954Z,"['Alternate Protocol', 'Didomi', 'GDPR Consent Management Platform', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'MailChimp', 'Microsoft Azure', 'Microsoft IIS', 'PWA', 'Pleroma', 'QUIC', 'Trustpilot Reviews for WordPress', 'UTF-8', 'Visual Studio', 'YouTube', 'eLand']"
agrobiothers.com,"Agrobiothers – Your animal partner, a leading and long-standing player in the PETCARE market",,FRA,65,8190,2026-08-26T10:01:54.6211386Z,"['Alternate Protocol', 'Apache', 'Astra Theme', 'Didomi', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'GDPR Consent Management Platform', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'NFOrce Internet', 'PHP', 'Photo Gallery for WordPress', 'Polylang', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
lamaisonduchocolat.fr,La Maison du Chocolat USA - Luxury Chocolates and Macarons,,CHN,82,439198,2026-08-26T05:31:07.316960201Z,"['A8.net', 'AWS WAF Challenge', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Adyen', 'Algolia', 'Alternate Protocol', 'Amazon', 'AppNexus Direct', 'Avis Verifies', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'ByteDance', 'Content Delivery Network', 'DemDex', 'Didomi', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'Fireblade', 'Font Awesome', 'GDPR Consent Management Platform', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Improve Digital Direct', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Magento Enterprise', 'Media.net', 'Media.net Reseller', 'Mediavine Publisher', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'Newsletter for Wordpress', 'Ntent', 'Outbrain Direct', 'PayPal Adaptive Payments', 'Prismic', 'Pubmatic', 'Report URI', 'Schema Plugin', 'Skeepers', 'SmartAdServer Direct', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Thank You', 'TradeDoubler', 'TradeTracker', 'Triple Lift Direct', 'UTF-8', 'Unsplash', 'Vimeo', 'Vimeo CDN', 'Vine Embed', 'Way', 'Wirecard', 'Yieldlab', 'Yieldlab Direct', 'YouTube', 'Zendesk Embeddables', 'eLand', 'reCAPTCHA', 'shadcn ui']"
michelinman.com,"Explore Michelin Tires, Products & More | Michelin USA",Michelin,JPN,82,143194,2026-08-25T23:59:38.104303058Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Amazon Widgets', 'Astro', 'Azure Edge', 'Bazaarvoice', 'Bazaarvoice Curations', 'Cloudimage', 'Content Delivery Network', 'DAV', 'Didomi', 'DoubleClick Bid Manager', 'Financial Services Guide', 'GDPR Consent Management Platform', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'Microsoft Azure Verified CDN', 'Mouseflow', 'NFOrce Internet', 'No-Q', 'PWA', 'Qualtrics Site Intercept', 'Seflow Italy', 'Site.pro', 'Subversion', 'Svelte', 'The Trade Desk Direct', 'US Privacy User Signal Mechanism', 'YouTube']"
barcelomayacolonial.com,Barceló Maya Colonial | Family hotel in Riviera Maya| From 170$,Barceló Hotel Group,PHL,87,874917,2026-08-25T19:26:29.022536397Z,"['Adobe Analytics', 'Adobe CQ', 'Adobe Experience Manager', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apache', 'Aruba', 'CoreUI', 'Didomi', 'Fireblade', 'Google Maps', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Parcel', 'QUIC', 'Salesforce Hosted', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'Vello', 'YouTube', 'arsys.es', 'eLand', 'jQuery', 'shadcn ui']"
polycom.si,Polycom - Integrated Polymer and Mould Solutions,Polycom,,82,23975,2026-08-25T14:24:22.359874591Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'CookieYes', 'Didomi', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Nginx', 'PHP', 'Perl', 'Placehold IT', 'Polylang', 'QUIC', 'Sitelinks Search Box', 'The SEO Framework', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
lebelluneparis.com,4-star hotel Paris 15th | LE BELLUNE,,FRA,82,16457,2026-08-25T10:29:45.000697006Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'Book Direct', 'Booking Affiliate', 'CloudFront', 'DC74', 'Didomi', 'Font Awesome', 'GDPR Consent Management Platform', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8']"
barcelosantodomingo.com,Barceló Santo Domingo ➡️ Hotel in the Dominican Republic| From 59$,Barceló Hotel Group,DOM,87,864667,2026-08-25T10:13:42.655771316Z,"['Adobe Analytics', 'Adobe CQ', 'Adobe Experience Manager', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apache', 'Aruba', 'CoreUI', 'DC74', 'Didomi', 'Gambling Content', 'Google Maps', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Parcel', 'Salesforce Hosted', 'Schema Plugin', 'Tailwind CSS', 'UTF-8', 'YouTube', 'arsys.es', 'eLand', 'jQuery', 'shadcn ui']"
