domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
pinktopia.xyz,Join Pinktopia for Creative Fun and Community Connection | Pinktopia,,,82,17470,2026-03-04T12:23:07.817186703Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Content Delivery Network', 'Discord', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'OpenResty', 'Thank You', 'Twitter Ads', 'YouTube', 'Zyro']"
bunnydev.dev,Portfolio of Isabella - Software Developer,,,57,34098,2026-03-04T11:51:46.385370123Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Discord', 'Express', 'Fireblade', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'IPFS', 'K2F', 'KVH', 'Next.js', 'Nginx', 'No-Q', 'Pleroma', 'QUIC', 'SMC', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'shadcn ui']"
rcxfinearts.com,RCX Fine Arts | arts,RCX Fine Arts,USA,82,111567,2026-03-04T10:42:29.208466353Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Commoninja', 'Content Delivery Network', 'CoolText', 'DAV', 'DC74', 'Discord', 'Express', 'Fastly', 'Fastly CDN', 'Financial Services Guide', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure', 'NFOrce Internet', 'Netlify', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'Subversion', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'Visual Studio', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
ilustrasee.com,ILUSTRASEE - Jadilah Ilustrator Profesional,,IDN,72,78773,2026-03-04T03:41:21.926372798Z,"['Adobe Creative Cloud WebFonts', 'Aruba', 'Discord', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
lanilogic.com,Welcome - Lanilogic Technology Solutions Ltd,,,77,5479,2026-03-04T02:37:02.286536485Z,"['Discord', 'Font Awesome', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'YouTube']"
chamburr.com,Han Cen,,,32,,2026-03-04T02:06:45.767546471Z,"['Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Discord', 'GitHub Hosting', 'Instagram Follow Button', 'Nuxt.js']"
htctoken.org,HTML5 game | Heart Games | 대한민국,Heart Games,PRK,67,110828,2026-03-04T01:15:02.530933745Z,"['Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DC74', 'Discord', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'On The Map', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Telegram', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
thewickeddays.com,The Wicked Days,,,42,,2026-03-04T00:16:43.917571206Z,"['Discord', 'GZIP Module', 'Material Design Icons', 'Nginx', 'Twitter Ads', 'UTF-8', 'YouTube']"
ahalabmatrixfieldhub.com,Aha (aha.inc) — Your 24/7 AI Employee for Influencer Marketing,,,62,19850,2026-03-03T23:48:44.553846852Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Ant Design Vue', 'CloudFront', 'Content Delivery Network', 'Discord', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'YouTube', 'shadcn ui']"
wolvesofaltstreet.net,Wolves of Alt Street 🐺,,,55,21563,2026-03-03T22:36:15.91156126Z,"['Apache', 'Apture Linking Platform', 'ClickOn', 'Discord', 'Express', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
