domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
lifccoan.org,LIVING FOR CHRIST CHURCH OF ALL NATIONS – 2 Corinthians 5:15,,,60,162,2026-04-24T01:38:19.998465203Z,"['Alternate Protocol', 'Bunny Fonts', 'Contact Form Plugin', 'Content Delivery Network', 'Discourse', 'Elementor', 'EmbedPress', 'Font Awesome', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
kimayaashram.com,Kimaya - Beyond Enlightenment,,IND,70,16240,2026-04-21T06:05:19.993997466Z,"['CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Discourse', 'Fireblade', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'InitiativeS', 'Instagram Follow Button', 'Nginx', 'Perl', 'WhatsApp Sharing', 'YouTube']"
fatimashrinejaffna.com,"Shrine of Our Lady of Fatima – Pandatharippu ,Sri Lanka",,,50,599,2026-04-11T12:47:19.983183818Z,"['Alternate Protocol', 'Apache', 'Bunny Fonts', 'Contact Form Plugin', 'Discourse', 'Elementor', 'EmbedPress', 'Font Awesome', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
swamidhamjyotirlingsanstha.org,Home | Swamidham,,,67,88470,2026-03-10T12:44:00.560809002Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Discourse', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'eLand', 'mlcom']"
bristowinstitute.org,The Bristow Center for Faith & Theology,Bristow Institute of Theology,,67,85887,2026-02-03T00:58:48.880039546Z,"['Aruba', 'Coming Soon Page', 'Discourse', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
shastavortex.com,Shasta Vortex Adventures |,,ZAF,65,1622,2026-01-27T07:07:43.43787871Z,"['Alternate Protocol', 'Discourse', 'Divi', 'Elegant Themes', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Nginx', 'PHP', 'SiteOrigin', 'SiteOrigin Panels', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
scforumsqa.com,ScoutBook QA Forum - This group is ScoutBook users within the BSA.,,,47,1209,2025-12-28T13:55:38.312496483Z,"['Discourse', 'Express', 'GitHub Hosting', 'Google Calendar', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'Perl', 'Python', 'QUIC', 'Sitelinks Search Box', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress SEO Structured Data Schema Plugin', 'Zendesk Embeddables', 'jsDelivr']"
lshanmugasundaram.com,Home -,lshanmugasundaram.com,,62,1711,2025-12-25T04:10:38.337589131Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'Discourse', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
talking-hope.org,IMAGINE TOMORROW. THEN CHANGE TODAY.,Talking Hope gUG,USA,77,36648,2025-11-23T20:18:19.451753959Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Complianz', 'Discourse', 'EmbedPress', 'Express', 'Fireblade', 'GZIP Module', 'GenerateBlocks', 'GeneratePress Company', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Jetpack', 'Matomo', 'Matomo Tag Manager', 'Medium', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Popup Maker for Wordpress', 'SVG Support', 'Theme In WP', 'TranslatePress', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
shivkalibodh.in,ShivKaliBodh & Kundalini Yoga,ShivKaliBodh Foundation,IND,77,31507,2025-11-21T19:18:19.449884077Z,"['Alternate Protocol', 'Automattic', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contento', 'Discourse', 'Django Language', 'DuracellTomi Google Tag Manager for WordPress', 'ETranslate', 'Elementor', 'EmbedPress', 'GTranslate', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Gtranslate for Wordpress', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'LayerSlider Responsive', 'Microdata for Google Shopping', 'Muffin Group', 'PHP', 'Perl', 'QUIC', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
