domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
dentalinfo.ru,"Стоматология на Таганке - стоматологическая клиника в Москве: лечение зубов и имплантация, отбеливание и протезирование зубов. Метро Таганская, Марксистская",,MCO,72,15440,2026-04-23T10:02:19.993299071Z,"['ADFOX', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Django', 'Fancybox for WordPress', 'GZIP Module', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Instagram Follow Button', 'Kylos', 'Tailwind CSS', 'Telegram', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'Yandex Hosting', 'Yandex Metrika', 'reCAPTCHA']"
bluelakesearch.com,Blue Lake Search | Home | Grand Rapids IT Staffing Services,,,57,708,2026-04-23T08:05:58.789111001Z,"['B12', 'DAV', 'Django', 'GZIP Module', 'GitHub Hosting', 'Google My Business', 'Perl', 'QUIC', 'reCAPTCHA']"
talentcookbook.io,talent cookbook - Home,,USA,60,711,2026-04-22T23:47:19.988737513Z,"['B12', 'DAV', 'Django', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Perl', 'Twitter Ads', 'University or College', 'reCAPTCHA']"
novaspinplus.com,NovaSpinPlus: Your Ultimate Guide to Online Casino Reviews,,USA,77,22756,2026-04-22T21:32:20.005749126Z,"['AWS WAF Challenge', 'Angular', 'Bulma', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Django', 'Gambling Content', 'IcoMoon', 'Krypt Technologies', 'Matomo', 'Matomo Tag Manager', 'Ntent', 'QUIC', 'Tailwind CSS', 'UTF-8', 'jQuery']"
ardmoreglass.com,Ardmore Glass Company - Residential & Commercial Glass Services,,,52,708,2026-04-22T21:27:03.113241882Z,"['B12', 'DAV', 'Django', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'QUIC']"
pjgrandview.com,"P.J. Grandview | Financial Advisor Ladysmith, BC",,,62,17268,2026-04-22T21:11:20.021188584Z,"['B12', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Django', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Perl', 'QUIC', 'reCAPTCHA']"
claimsroom.org,Construction Management - ClaimsRoom - Home,,USA,77,1108,2026-04-22T17:32:20.027384938Z,"['B12', 'DAV', 'Django', 'Fancybox for WordPress', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'QUIC']"
pretautofacile.ca,Car Loan Brokers Ottawa & Gatineau - Easy Car Loan,,CAN,77,17308,2026-04-22T17:02:19.996884023Z,"['AWS WAF Challenge', 'B12', 'DAV', 'Django', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Perl', 'Twitter Ads', 'University or College', 'reCAPTCHA']"
amyandnitesh.com,Amy & Nitesh - Home,,USA,62,2268,2026-04-22T13:14:19.994541296Z,"['B12', 'DAV', 'Django', 'GZIP Module', 'GitHub Hosting', 'Google My Business', 'Perl', 'QUIC', 'University or College', 'reCAPTCHA']"
catapultsgi.com,Catapult Solutions Group Inc - Home,,USA,77,16127,2026-04-22T12:25:38.929366099Z,"['AWS WAF Challenge', 'B12', 'Cornerstone', 'DAV', 'Django', 'Fancybox for WordPress', 'GZIP Module', 'GitHub Hosting', 'Google My Business', 'QUIC', 'University or College']"
