domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
purcellforchariho.com,Purcell for Chariho,,GBR,72,65540,2026-04-29T19:44:43.810886937Z,"['AWS WAF Challenge', 'Apache', 'Donorbox', 'Express', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Instagram Follow Button', 'SMC']"
ensembleerf.com,Ensemble Emergency Relief Fund,,,55,6901,2026-04-29T18:38:20.021382583Z,"['501c3 Status Nonprofit', 'Bulma', 'Donorbox', 'ETranslate', 'GTranslate', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Qualtrics Site Intercept', 'Tailwind CSS', 'UTF-8', 'UserWay', 'Visual Studio', 'Way', 'Zendesk Guide', 'jQuery', 'jsDelivr']"
laurenhusting.com,"Lauren Husting, trombone – Inspired Performance, Dedicated Instruction",,USA,77,39747,2026-04-29T18:17:19.997886433Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'Automattic', 'CloudFront', 'CoBlocks', 'Content Delivery Network', 'Donorbox', 'EmbedPress', 'Express', 'Google Maps', 'Google My Business', 'Instagram API', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'KVH', 'Microdata for Google Shopping', 'Microsoft 365', 'Nginx', 'Perl', 'Pico CSS', 'Schema Plugin', 'Tailwind CSS', 'Thank You', 'Twenty Seventeen', 'Twitter Ads', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube']"
breathofalmighty.org,BREATH OF THE ALMIGHTY MINISTRIES,,,55,25484,2026-04-29T17:59:19.998319743Z,"['Aruba', 'Donorbox', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
iwcharity.com,HOME - iwcharity.com,iwcharity.com,UGA,77,20298,2026-04-29T17:50:20.01681951Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Astra Theme', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Donorbox', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Express', 'GiveWP', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Qi Addons For Elementor', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'WP Responsive Recent Post Slider', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
mvoceanacademy.net,Martha's Vineyard Ocean Academy,Martha's Vineyard Ocean Academy,,67,109653,2026-04-29T16:50:39.895461456Z,"['501c3 Status Nonprofit', 'AJAX Libraries API', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Donorbox', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'University or College', 'Vector Internet Services', 'Vimeo', 'WordPress SEO Structured Data Schema Plugin', 'eLand', 'jQuery']"
vogriepogrie.com,Vogrie Pogrie: 11 - 14 SEPT 2026,,GBR,70,87423,2026-04-29T16:47:20.011574506Z,"['Accordion Blocks', 'Adobe Creative Cloud WebFonts', 'Aruba', 'Donorbox', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Thank You', 'Ticket Tailor', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
vbsenate.com,Virgil Bierschwale for U.S. Senate - Put Texans First,,BEL,60,,2026-04-29T16:35:19.997792755Z,"['Donorbox', 'Google Analytics', 'Google Tag Manager', 'LiteSpeed', 'QUIC', 'Share Link', 'University or College', 'YouTube']"
mc4a.org,mc4a.org | We're Leveling the Playing Field,,,62,83913,2026-04-29T16:02:19.997239313Z,"['501c3 Status Nonprofit', 'Aruba', 'Donorbox', 'Express', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
thisgenerationconnect.com,Home,The Connect Center,USA,65,153155,2026-04-29T15:55:25.829846743Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'DC74', 'Donorbox', 'Express', 'Facebook Embedded Posts', 'Fastly', 'Fastly CDN', 'Financial Services Guide', 'GZIP Module', 'Google Calendar', 'Google My Business', 'Instagram Follow Button', 'K2F', 'KVH', 'Linktree', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'PayPal Adaptive Payments', 'Perl', 'QUIC', 'Qualtrics Site Intercept', 'SMC', 'Sentry', 'Share Link', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'YouTube', 'mlcom']"
