domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
woodland.on.ca,Home :: Woodland Christian High School,,,55,1344,2026-01-31T17:55:35.207034786Z,"['Apache', 'Bunny Fonts', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Concrete CMS', 'Donor Perfect', 'GZIP Module', 'Google Analytics', 'Google Calendar', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube', 'jQuery', 'jsDelivr']"
schooner-adventure.org,Schooner Adventure Gloucester Massachusetts,,USA,82,114341,2026-01-31T10:34:12.717902009Z,"['501c3 Status Nonprofit', 'Aruba', 'Constant Contact', 'Contento', 'Donor Perfect', 'Express', 'FareHarbor', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Harbor', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'Starboard Suite', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
providentcharterschool.org,Home - Provident Charter Schools,Provident Charter Schools,GBR,77,51352,2026-01-30T21:43:48.861282582Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Autoptimize', 'Content Delivery Network', 'Contento', 'Donor Perfect', 'Embed Any Document', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Gtranslate for Wordpress', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'Nginx', 'QUIC', 'Twenty Seventeen', 'UTF-8', 'Ultimate Social Media', 'Vector Internet Services', 'Visual Composer Ultimate Addons', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'jQuery', 'reCAPTCHA']"
stanthonyschoolfoundation.org,"SAS Foundation – Supporting St. Anthony's Tri-Parish Catholic School in Casper, Wyoming",,,55,2288,2026-01-30T13:07:48.863185221Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Content Delivery Network', 'DAV', 'Donor Perfect', 'Elementor', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Hello Elementor', 'NFOrce Internet', 'PHP', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
rclfriends.org,"Friends of the Ramsey County Libraries – A non-profit organization dedicated to supporting the libraries in making information, books, music, and programs available to the public.",,GBR,65,8692,2026-01-28T13:58:43.437224095Z,"['Alternate Protocol', 'Automattic', 'Constant Contact', 'Constant Contact Wordpress Forms', 'Donor Perfect', 'ETranslate', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'GTranslate', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Instagram Follow Button', 'Jetpack', 'Nginx', 'PHP', 'Thank You', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Ultimate Social Media', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery', 'reCAPTCHA']"
thechildrenscentersc.org,Quality Childcare and Early Education | The Children's Center,The Children's Center,GBR,82,9784,2026-01-26T01:14:33.321977766Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Boxzilla', 'Content Delivery Network', 'Custom Facebook Feed', 'Donor Perfect', 'EmbedPress', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Jetpack', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'StudioPress', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'Vector Internet Services', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery']"
mammothlakesfoundation.net,Higher Education & Cultural Enrichment | Mammoth Lakes Foundation,Mammoth Lakes Foundation,ITA,77,213808,2026-01-25T19:07:43.429070247Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Constant Contact', 'Content Delivery Network', 'DAV', 'Donor Perfect', 'Express', 'Fastly', 'Fastly CDN', 'Financial Services Guide', 'GZIP Module', 'Google Related Website Sites', 'HigherEducation', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'NFOrce Internet', 'No-Q', 'POWr', 'PWA', 'QUIC', 'SMC', 'SiteW', 'Social Intents', 'Subversion', 'Thank You', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'mlcom']"
thecolonialtheatre.com,"The Colonial Theatre, Phoenixville, PAThe Colonial Theatre",The Colonial Theatre,GBR,77,4248,2026-01-25T06:33:32.961532895Z,"['501c3 Status Nonprofit', 'Akismet', 'Alternate Protocol', 'Apache', 'Apture Linking Platform', 'Aruba', 'Donor Perfect', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Perl', 'Silverlight', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
ng3.org,NG3,,,62,7193,2026-01-24T23:40:43.427446473Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Donor Perfect', 'Express', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'QUIC', 'Squarespace', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
crc4me.org,Kentucky | Community Response Coalition of Kentucky | CRC | CRCKY,CRCKY,USA,77,108988,2026-01-24T22:58:43.428523909Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Constant Contact', 'Content Delivery Network', 'Donor Perfect', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'QUIC', 'SMC', 'SiteW', 'UTF-8', 'Vector Internet Services', 'Weglot', 'Wix', 'Wix Media', 'WordPress', 'eLand', 'mlcom']"
