domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
somashome.de,Home With AJAX - SomasHome.de - in Raten zahlen,SomasHome.de - in Raten zahlen,AUS,77,18822,2026-04-23T20:10:22.371562498Z,"['Alternate Protocol', 'Amazon Widgets', 'Angular', 'Apache', 'Contact Form Plugin', 'Cookie Accept', 'Cookie Notice', 'DAV', 'Doofinder', 'Elementor', 'EmbedPress', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Martfury', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Thank You', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
creativevinyl.uk,Creative Vinyl UK,,JPN,67,18828,2026-04-23T19:22:59.715953355Z,"['AWS WAF Challenge', 'Amazon', 'Doofinder', 'Material Design Icons', 'Nginx', 'PHP', 'PrestaShop', 'Tailwind CSS', 'UTF-8']"
elkaylabs.co.uk,The New Home Of SciQuip & Elkay,,,55,148312,2026-04-23T17:08:19.987760536Z,"['AdRoll', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Advertising.com', 'Algolia', 'Amazon WAF Blocked', 'AppNexus Direct', 'Apture Linking Platform', 'Authorize.net', 'Better Lead Generation Services', 'BidSwitch Direct', 'Bing Cashback', 'Bing Conversion Tracking', 'Braintree', 'Bunny Fonts', 'Cloud IQ', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'DemDex', 'Doofinder', 'DoubleClick Bid Manager', 'Express', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Feefo', 'Font Awesome', 'FormSubmit', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'IponWeb BidSwitch', 'Iubenda', 'Klarna', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'New Relic', 'Oath Reseller', 'OpenX Direct', 'Outbrain Direct', 'PHP', 'PayPal Adaptive Payments', 'Perl', 'Pubmatic', 'Pure Chat', 'QUIC', 'Rechat', 'Salesfire', 'Schema Plugin', 'Stripe', 'Swell Rewards', 'Taboola Direct', 'Taboola Reseller', 'Tailwind CSS', 'Triple Lift Direct', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'Unsplash', 'Vector Internet Services', 'Vimeo', 'Vimeo CDN', 'Way', 'Wirecard', 'Yahoo Web Analytics', 'YouTube', 'eLand', 'jsDelivr', 'reCAPTCHA', 'shadcn ui']"
arkflowers.ie,"Ark Flowers, your florist in Mitchelstown. Same day flower delivery available across Cork!",,GBR,77,34885,2026-04-23T15:44:20.012276914Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bulma', 'BunnyCDN General', 'Canva Websites', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cognito Forms', 'Constant Contact', 'Content Delivery Network', 'Curator', 'Doofinder', 'DoubleClick Bid Manager', 'Ecologi', 'Font Awesome', 'Freshdesk Support', 'Freshworks CRM', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lightwidget', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Application Insights', 'Microsoft Authentication Library for JavaScript', 'Microsoft Azure', 'Microsoft Clarity', 'MyLiveChat', 'Ntent', 'POWr', 'PayPal Adaptive Payments', 'Paysafe', 'Privy', 'QUIC', 'RM Education', 'SafeBuy', 'Schema Plugin', 'Stripe', 'Thank You', 'TrustIndex', 'TrustSpot', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'Way', 'Wild Apricot', 'YouTube', 'jsDelivr']"
juliasflorist.co.uk,Home | Julias Florist | Wibsey | Bradford,,GBR,72,31885,2026-04-23T14:56:20.014415448Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bulma', 'BunnyCDN General', 'Canva Websites', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cognito Forms', 'Constant Contact', 'Content Delivery Network', 'Curator', 'Doofinder', 'DoubleClick Bid Manager', 'Ecologi', 'Font Awesome', 'Freshdesk Support', 'Freshworks CRM', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lightwidget', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Application Insights', 'Microsoft Authentication Library for JavaScript', 'Microsoft Clarity', 'MyLiveChat', 'Ntent', 'POWr', 'PayPal Adaptive Payments', 'Privy', 'RM Education', 'SafeBuy', 'Stripe', 'TrustIndex', 'TrustSpot', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'Way', 'Wild Apricot', 'YouTube', 'jsDelivr']"
lostkeys.co.uk,Banham | Experts in Security Services Since 1926,,GBR,77,439917,2026-04-23T13:04:38.444265234Z,"['AWS WAF Challenge', 'Adobe Analytics', 'Adobe Marketing Cloud', 'Alternate Protocol', 'Amazon', 'Apture Linking Platform', 'Bing Cashback', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Crowdsignal', 'Cybot', 'DemDex', 'Doofinder', 'DoubleClick Bid Manager', 'Express', 'Facebook Reseller', 'Fastly', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Klarna', 'LinkedIn Pixel', 'Magento', 'Magento Enterprise', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft Clarity', 'NFOrce Internet', 'New Relic', 'Ntent', 'Oribi Analytics', 'PayPal Adaptive Payments', 'RM Education', 'Smooch', 'Storyblocks', 'Stripe', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'Unsplash', 'VWO Engage', 'Vimeo', 'Vimeo CDN', 'Visual Website Optimizer', 'Way', 'YouTube', 'Zendesk Embeddables', 'reCAPTCHA', 'shadcn ui']"
truetone.ca,Trutone Electronics | High-End Audio & Home Theater,,CAN,77,4824,2026-04-23T10:38:20.024564826Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Doofinder', 'Express', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'TinyIMG', 'To Top', 'UTF-8', 'YouTube', 'hCaptcha', 'reCAPTCHA']"
wellworking.co.uk,Wellworking | Contemporary Furniture for Home & Office,,GBR,82,42240,2026-04-23T08:17:19.984004562Z,"['Alternate Protocol', 'Apps4BigCommerce', 'BigCommerce', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Doofinder', 'Express', 'Fireblade', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hotjar', 'IcoMoon', 'Instagram Follow Button', 'Klarna', 'Klaviyo', 'LiveChat Monitoring', 'Microdata for Google Shopping', 'Perl', 'Pinterest Conversion Tracking', 'QUIC', 'Rocket Chat', 'Salesfire', 'Sweet Analytics', 'Tailwind CSS', 'Trustpilot Reviews for WordPress', 'UTF-8', 'YouTube']"
alpinekb.com.au,"Kitchen Cabinets, Bathroom Vanities, Shower Screens Perth – Alpine Kitchens & Bathrooms",Alpine Building Products,AUS,77,19902,2026-04-23T01:38:30.778942945Z,"['AWS WAF Challenge', 'Accordion Blocks', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Doofinder', 'EmbedPress', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'Instagram Follow Button', 'Kadence WP', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'UTF-8', 'WP Rocket', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'YouTube']"
coinguide.com,"Buy Gold, Silver, and Platinum Bullion at the Guaranteed Lowest Price",,USA,77,27098,2026-04-23T00:50:20.002944648Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Doofinder', 'DuracellTomi Google Tag Manager for WordPress', 'ETranslate', 'Elegant Themes', 'EmbedPress', 'Font Awesome', 'GTranslate', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Line2', 'MailChimp', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'PHP', 'Perl', 'Rate my Post', 'Shopper Approved', 'Theme In WP', 'TradingView', 'Twitter Ads', 'UTF-8', 'WP Engine', 'WP PageNavi', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
