domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
yrc.tours,Yellowstone Recreation Company | Guided Yellowstone Tours,Yellowstone Recreation Co.,ZAF,82,4542,2026-04-17T17:08:19.980092448Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'Drip', 'Elementor', 'EmbedPress', 'FareHarbor', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'KAYAK', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'QUIC', 'QUIC.cloud', 'UTF-8', 'WordPress', 'WordPress Multisite']"
microbalancecre.com,Micro-Balance Commercial Real Estate Bridge Loan,,USA,77,121377,2026-04-17T13:26:19.997613185Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Apture Linking Platform', 'Aruba', 'Better Lead Generation Services', 'Contento', 'Drip', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Pinterest Conversion Tracking', 'QUIC', 'Say what', 'Segment', 'Segment Consent Manager', 'SiteW', 'Squarespace', 'Twitter Ads', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
glensidegroup.net,Office Fit Out & Design Company Reading | Glenside UK,Glenside Commercial Interiors,GBR,77,30075,2026-04-17T12:35:19.979966018Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon CloudFront', 'CDN JS', 'Call to Visit', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Drip', 'Duda', 'Ethy', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'Hubspot', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Perl', 'Pexels', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'Unsplash', 'YouTube']"
319photo.com,Unique Photography Workshops | 319 Photography,,,57,26853,2026-04-17T11:35:19.986562166Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Drip', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
hairgivers.com,"Hairgivers® | Your hair, our care - Hair growth products and advice",Hairgivers,NLD,82,41047,2026-04-17T06:14:19.980729842Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Drip', 'Ethy', 'FormSubmit', 'Global Privacy Control', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Perl', 'RevenueHunt', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Thank You', 'Trustpilot Reviews for WordPress', 'UTF-8', 'VWO Engage', 'Visual Website Optimizer', 'Webwinkel Keurmerk', 'eLand', 'hCaptcha', 'reCAPTCHA']"
thomas-oldham-seo.co.uk,"SEO Consultant London, a Lukasz Zelezny Service - SEO.London",,GBR,87,34167,2026-04-17T05:27:31.711152365Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Ametys', 'Apture Linking Platform', 'Better Lead Generation Services', 'CDN JS', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Cornerstone', 'Cybot', 'Drip', 'EmbedPress', 'Express', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'NitroPack', 'PHP', 'Page scroll to id', 'Perl', 'Prospective', 'QUIC', 'StackPath', 'Theme In WP', 'TranslatePress', 'Trustpilot Reviews for WordPress', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube']"
landingcube.com,Amazon Landing Page Generator - Easily Create Coupon Landing Pages,LandingCube,,72,3556,2026-04-17T05:08:19.977194426Z,"['Alternate Protocol', 'AnyChat', 'Apture Linking Platform', 'Content Delivery Network', 'Drip', 'EmbedPress', 'Genesis Blocks', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'LiteSpeed', 'Microdata for Google Shopping', 'OneSignal', 'PHP', 'Social Warfare', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'W3 Total Cache', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
terptown.ca,"Terp Town Collective – If We Won’t Smoke It, We Won’t Sell It.",,GBR,70,16359,2026-04-17T03:47:20.003133645Z,"['AWS WAF Challenge', 'Age Gate', 'Alternate Protocol', 'Content Delivery Network', 'DAV', 'Drip', 'EmbedPress', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'Uncode', 'WPBakery', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
gorvingmanitoba.com,"Manitoba Association of Campgrounds & Parks, Manitoba, Canada | MACAP",,,62,9692,2026-04-17T03:29:19.995327399Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Divi', 'Drip', 'Elegant Themes', 'Elementor', 'EmbedPress', 'Fastly', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'Kinsta', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Premium Addons for Elementor', 'Responsive Lightbox', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'Vimeo', 'WP Google Maps', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
surfsearch.org,Life Sciences Recruiters and Executive Search Specialists | Surf Search,Surf Search,USA,82,31623,2026-04-17T03:05:05.018662439Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Add to Any', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Cisco/Arrowpoint Content Service Switch', 'Drip', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Analytics Dashboard for WordPress', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'Monster', 'OptinMonster', 'PHP', 'StackPath', 'Thank You', 'Theme In WP', 'UTF-8', 'WP PageNavi', 'WP Rocket', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
savagepatchkids.app,Savage Patch Kids App,,USA,65,21904,2026-04-17T00:18:02.164233964Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Drip', 'ElementUI', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'jsDelivr']"
ai-pythons.com,AI bees | B2B Marketing Powered by AI,AI bees,USA,77,159416,2026-04-16T23:59:19.980742667Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Animate It', 'Apture Linking Platform', 'Better Lead Generation Services', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Drip', 'GZIP Module', 'Gleap', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Clarity', 'Perl', 'Salesforce Hosted', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WF Cookie Consent', 'YouTube']"
glazebase.com,Glazebase,,,52,12453,2026-04-16T20:54:16.748158248Z,"['AJAX Libraries API', 'AdRoll', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bold Commerce', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Drip', 'Express', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'MailMunch', 'Mapp', 'Microdata for Google Shopping', 'QUIC', 'Secomapp', 'Share Link', 'Shopify', 'Shopify Collabs', 'Snowplow', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
thewoolqueen.ca,The Wool Queen,,,62,14102,2026-04-16T20:10:57.822500572Z,"['Apture Linking Platform', 'Bold Commerce', 'Cloudflare', 'Cloudflare CDN', 'Drip', 'Google My Business', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'Interchange', 'MailChimp', 'Microdata for Google Shopping', 'No-Q', 'QUIC', 'Share Link', 'Shopify', 'Shopify Collabs', 'Smile IO', 'Twitter Ads', 'UTF-8', 'hCaptcha', 'reCAPTCHA']"
nrthrnmusic.com,NRTHRN — Progressive / Post-Rock – nrthrnmusic,nrthrnmusic,,72,9912,2026-04-16T20:00:18.310570966Z,"['Apture Linking Platform', 'ArvanCloud', 'Cloudflare', 'Cloudflare CDN', 'Drip', 'Fastly', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'PayPal', 'Shopify', 'Shopify Collabs', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'Zipify', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
greenqueengolf.com,GREEN QUEEN GOLF,,,62,4916,2026-04-16T19:08:19.998665803Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'DAV', 'Drip', 'Express', 'FormSubmit', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'Pico CSS', 'QUIC', 'Share Link', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
juneaukayak.com,Alaska Boat & Kayak Rental | Juneau Kayaking on Auke Bay,,IMN,82,4606,2026-04-16T14:41:20.016004436Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'Drip', 'EmbedPress', 'FareHarbor', 'Google Analytics', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'Jupiter', 'KAYAK', 'Microdata for Google Shopping', 'No-Q', 'PHP', 'QUIC', 'Rezdy', 'Tailwind CSS', 'Theme In WP', 'UTF-8', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
