domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
vidhyashish-hatkargha.com,Home | Vidhyashish हथकरघा,,,55,99,2026-04-21T13:20:20.009899732Z,"['Alternate Protocol', 'Backdrop', 'Bulma', 'Content Delivery Network', 'Drupal', 'Font Awesome', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery']"
bouldersbdc.com,Boulder | Small Business Development Center,,USA,65,15449,2026-04-21T13:17:19.988335737Z,"['Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Backdrop', 'CloudFront', 'Constant Contact', 'Content Delivery Network', 'Drupal', 'Font Awesome', 'GZIP Module', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Nginx', 'PHP', 'QUIC', 'Siteimprove', 'Tailwind CSS', 'UTF-8', 'University or College', 'jQuery']"
actionctr.org,"Home - The Disability Action Center, Serving 9 Northern CA Counties",,USA,82,32537,2026-04-21T13:14:05.390502164Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Backdrop', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Drupal', 'Easy Pie Chart', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UTF-8', 'UserWay', 'YouTube', 'jQuery']"
polo-platform.nl,POLO.,,GBR,62,2440,2026-04-21T13:08:19.998931938Z,"['Add to Any', 'Alternate Protocol', 'Apache', 'Backdrop', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Drupal', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'UTF-8', 'University or College', 'jQuery', 'jsDelivr']"
transperfectgames.com,TransPerfect Games | The Language of Global Games,,,62,21532,2026-04-21T12:59:20.015420887Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Bulma', 'CDN JS', 'CleanTalk Spam Protect', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Drupal', 'Express', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Tag Manager', 'IcoMoon', 'PHP', 'Pico CSS', 'QUIC', 'StackPath', 'Tailwind CSS', 'UTF-8', 'Yandex Hosting', 'jQuery', 'reCAPTCHA']"
cosmolegend197.info,Germany: Newsroom,,DEU,67,16350,2026-04-21T12:57:31.89449126Z,"['Alternate Protocol', 'Content Delivery Network', 'Drupal', 'Fireblade', 'GZIP Module', 'GitHub Hosting', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'No-Q', 'QUIC', 'Sucuri Cloudproxy', 'UTF-8', 'YouTube']"
soloplafond.com,"Béton ciré, pose de parquet et plus au Luxembourg",,LUX,72,3199,2026-04-21T12:47:16.724046016Z,"['Alternate Protocol', 'Apache', 'ArvanCloud', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Drupal', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'PHP', 'UTF-8', 'jQuery', 'jsDelivr']"
gulfislandsartisanhomes.com,Gulf Islands Artisan Homes | Unique homes built by Dave Dandeneau,,CAN,72,4132,2026-04-21T12:44:19.977420037Z,"['AJAX Libraries API', 'AutoComplete', 'CleanTalk Spam Protect', 'Content Delivery Network', 'DAV', 'Drupal', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Homes.com CMS', 'IcoMoon', 'Nginx', 'PHP', 'Subversion', 'UTF-8', 'jQuery']"
qifeijiasuapp.com,Welcome to QifeiVPN | QifeiVPN,QifeiVPN,,67,15039,2026-04-21T12:38:01.695302793Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Drupal', 'Fireblade', 'Google Analytics', 'Google Tag Manager', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
mwendokasi.co.uk,HOME - Mwendo Kasi Zanzibar Street Food,Mwendo Kasi Zanzibar Street Food,GBR,72,680,2026-04-21T12:26:20.007497324Z,"['Alternate Protocol', 'Content Delivery Network', 'Drupal', 'Font Awesome', 'Fonts Plugin', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'PHP', 'Pleroma', 'QUIC', 'UTF-8', 'Vimeo CDN', 'WordPress', 'YouTube', 'jQuery']"
tinkerlabs.si,TinkerLabs |,,SVN,67,30720,2026-04-21T12:26:20.002661431Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Drupal', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'UTF-8', 'YouTube', 'jQuery']"
sparknyc.org,SPARK Design Professionals,,,57,3,2026-04-21T12:14:19.987330974Z,"['Apache', 'Backdrop', 'Content Delivery Network', 'Drupal', 'GZIP Module', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'PHP', 'UTF-8', 'jQuery']"
amates.ai,Amates - Empower Your Web3 Experience with AI Assistants,Amates,,67,4440,2026-04-21T12:01:59.687825356Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Drupal', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'Gravity Forms', 'Hello Elementor', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Metricool', 'Microdata for Google Shopping', 'Pagekit', 'Sitelinks Search Box', 'Telegram', 'To Top', 'Twitter Ads', 'UTF-8', 'Vimeo', 'WordPress', 'WordPress Multisite', 'jQuery']"
