domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
kerneelsrossouw.co.za,Kerneels Rossouw | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-30T09:50:12.775876573Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney', 'shadcn ui']"
neelsstander.co.za,Neels Stander | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-27T00:41:52.985309866Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
moniquejohnson.co.za,Monique Johnson | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-26T18:23:04.672049831Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
jasonschroder.co.za,Jason Schroder | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-26T11:10:54.058861314Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
ziaanhattingh.co.za,Ziaan Hattingh | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-26T09:51:01.969105225Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
duanenienaber.co.za,Duane Nienaber | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-26T08:59:05.885363521Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
neilmuller.co.za,Neil Muller | attooh! Your Wealth Solution,,AUS,77,23960,2026-01-26T05:54:31.305184633Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
paynefinancialservices.com,"Homepage - PAYNE FINANCIAL STRATEGIES, INC. - Osage City, KS",,USA,65,138373,2026-01-25T07:13:43.433507518Z,"['501c3 Status Nonprofit', 'AWS WAF Challenge', 'Akamai Global Host', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Azure Edge', 'Brightcove', 'CDN JS', 'Calendly', 'Canva Websites', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Corporate Governance and Regulatory Compliance', 'DAV', 'DoubleClick Bid Manager', 'ElementUI', 'Facebook Reseller', 'Financial Industry Regulatory Authority', 'Fireblade', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Line2', 'LinkedIn Pixel', 'Microsoft Azure', 'Microsoft Azure Blob Storage', 'Microsoft Azure Verified CDN', 'Nuxt.js', 'OneTrust Domain Verification', 'Perl', 'Prospective', 'QUIC', 'RM Education', 'SMC', 'Storyblocks', 'Subversion', 'The Trade Desk Direct', 'Twitter Ads', 'UTF-8', 'University or College', 'YouTube', 'eMoney', 'jsDelivr']"
jurieodendaal.co.za,Jurie Odendaal | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-25T01:34:46.429382927Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
schanevanzijl.co.za,Schané van Zijl | attooh! Your Wealth Solution,,AUS,67,23960,2026-01-24T02:29:12.992028234Z,"['Amazon S3 CDN', 'Apture Linking Platform', 'Authorize.net', 'Cloudflare', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Financial Services Guide', 'Fireblade', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Nuxt.js', 'QUIC', 'Storyblocks', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'eMoney']"
