domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
optionsmembers.com,Options Members,,AUS,65,27256,2026-03-02T09:13:20.8238641Z,"['AJAX Libraries API', 'Alternate Protocol', 'Authorize.net', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Everflow', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'Vidalytics', 'WP Engine', 'WPFront Scroll Top', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
vaxaid.it,VaxAid®: Vacuum ED Pumps for Erectile Dysfunction,VaxAid,USA,77,173694,2026-03-02T08:54:59.005158264Z,"['AJAX Libraries API', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'BunnyCDN General', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Everflow', 'Financial Services Guide', 'Fireblade', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'Gorgias', 'HHVM', 'Hotjar', 'Intelligems', 'K2F', 'KVH', 'Klaviyo', 'Loop Returns', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'O2MC Dimml', 'OptiMonk', 'QUIC', 'SMC', 'ShareASale', 'Shopify', 'Shopify Collabs', 'Subversion', 'Thank You', 'UTF-8', 'Unix', 'YouTube', 'Zipify', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
rocktamers.com,Mudflap Systems | Off-Road Gear | Rock Tamers Official,Rock Tamers,GBR,67,60986,2026-03-01T21:31:14.442475885Z,"['AWS WAF Challenge', 'Advanced Woo Search', 'Akismet', 'Alternate Protocol', 'Astra Theme', 'ByteDance', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'EmbedPress', 'Everflow', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Gravity Forms', 'Instagram Follow Button', 'MailChimp', 'Microdata for Google Shopping', 'Monster', 'Newsletter for Wordpress', 'Nginx', 'OptinMonster', 'PHP', 'QUIC', 'Shipping Rates Calculator', 'Side Cart Woocommerce', 'Site Kit', 'Theme In WP', 'TikTok Conversion Tracking Pixel', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'accessiBe', 'jQuery']"
zivebypfc3.com,ZIVE 7 – ShopZive.com,ShopZive.com,,57,9746,2026-02-28T19:16:07.667181221Z,"['AWS WAF Challenge', 'Amazon', 'Apture Linking Platform', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Customer Fields', 'DAV', 'Everflow', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Instagram Follow Button', 'Klaviyo', 'Microdata for Google Shopping', 'Perl', 'QUIC', 'Shopify', 'Shopify Collabs', 'UTF-8', 'Vercel', 'Vimeo', 'Weglot', 'eLand', 'hCaptcha', 'reCAPTCHA']"
delphinusworld.com,Swim with dolphins in Mexico | Delphinus,,MEX,72,41988,2026-02-28T15:43:06.29860701Z,"['AdRoll', 'Alternate Protocol', 'Ant Design Vue', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Everflow', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Hubspot Knowledge Base', 'IcoMoon', 'Instagram Follow Button', 'RM Education', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'WhatsApp Sharing', 'YouTube']"
dmlearninglab.com,"Dr. Marion's Learning Lab – Achieving High Level Comprehension for Success in Testing, School and Life",,USA,87,40485,2026-02-28T13:22:20.559456713Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Everflow', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Gutenberg', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'MemberPress', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'Table Addons for Elementor', 'Thank You', 'Theme In WP', 'Twenty Twenty', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
alosimteams.com,aloSIM | Download eSIMs for travel data in 200+ countries,aloSIM,PHL,77,152511,2026-02-27T12:23:57.765339091Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'CCSI', 'Cloudflare', 'Content Delivery Network', 'Cybot', 'EmbedPress', 'Everflow', 'Fancybox for WordPress', 'Flying Pages by WP Speed Matters', 'Free Call', 'Google', 'Google Cloud DNS', 'Google Font API', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'IPFS', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'PHP', 'Perl', 'QUIC', 'SMC', 'Sassy Social Share', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Engine', 'WPML Multilingual', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zendesk Guide', 'eLand', 'jQuery']"
rockdrummingsystem.com,Drumming System | Drumeo,,CAN,80,23699,2026-02-27T05:52:07.165149401Z,"['Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'App Store', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Everflow', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Help Scout', 'Instagram Follow Button', 'PWA', 'Parcel', 'Storyblocks', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vimeo', 'YouTube', 'jQuery', 'jsDelivr', 'shadcn ui']"
rest.com,Rest® | Best Cooling Bedding for Hot Sleepers,Rest,USA,82,71624,2026-02-26T09:37:38.294167923Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Everflow', 'Fastly', 'Favorites for WordPress', 'Fireblade', 'GoAffPro', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Related Website Sites', 'Instagram Follow Button', 'Intelligems', 'Klaviyo', 'Microdata for Google Shopping', 'Microsoft Authentication Library for JavaScript', 'Ntent', 'Parcel', 'ParcelPanel Order Tracking', 'Rivo Loyalty', 'Share Link', 'Shopify', 'Shopify Collabs', 'Storyblocks', 'Taboola Direct', 'UTF-8', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
villacoco.dk,VILLA COCO - Legetøj og børneinteriør til børnefamilien,,GBR,72,24143,2026-02-24T23:07:21.91831007Z,"['3 Products', 'AJAX Libraries API', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Everflow', 'Express', 'Google Cloud DNS', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'Newsletter for Wordpress', 'QUIC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'UTF-8', 'hCaptcha', 'jQuery', 'reCAPTCHA']"
