domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
finsightic.com,Expert Accounting & CFO Support for Startups | Finsightic,,,72,30326,2026-04-26T00:26:20.003916526Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Carta', 'Content Delivery Network', 'Expensify', 'Express', 'Google', 'Google Cloud DNS', 'Google Font API', 'Gusto', 'Microdata for Google Shopping', 'OpenResty', 'Pexels', 'QUIC', 'Shopify', 'Thank You', 'Zyro']"
expensivepie.com,Expensive Pie Inc.,,,35,135,2026-04-25T18:20:20.013907786Z,"['Amazon CloudFront', 'Aruba', 'Baidu Cloud', 'CDN JS', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Expensify', 'GZIP Module', 'Google Analytics', 'Microdata for Google Shopping', 'OpenResty', 'Perl', 'Twitter Ads', 'UTF-8', 'eLand', 'jQuery', 'reCAPTCHA']"
bootstrapperweekly.com,Bootstrapper Weekly | The Indie Hacker's Digest,,,57,46148,2026-04-18T09:32:19.989940904Z,"['Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Content Delivery Network', 'Docebo', 'Drata', 'Expensify', 'Instapage', 'Next.js', 'PagerDuty', 'Python', 'QUIC', 'Sage Intacct', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'Vercel', 'shadcn ui']"
better-bookkeeping-solutions.co.uk,Better Bookkeeping Solutions - Home,,GBR,72,17396,2026-04-14T21:38:20.001499164Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Apache', 'Bulma', 'Dext', 'Expensify', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'GoCardLess', 'Google Analytics', 'Google Calendar', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'Xero', 'YouTube', 'jQuery']"
caelian.ai,Caelian — The Central Intelligence Platform,,USA,70,435115,2026-04-14T01:38:20.011852508Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apollo IO', 'Apture Linking Platform', 'Clearbit', 'Cloudflare', 'Coming Soon Page', 'Content Delivery Network', 'Expensify', 'Federal Deposit Insurance Corporation', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Workspace', 'Interchange', 'Klue Enablement', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'QUIC', 'Sage Intacct', 'SalesLoft', 'Salesforce', 'Salesforce Experience Cloud', 'Salesforce Hosted', 'Share Link', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
infinite.red,Infinite Red: Experts in all things React Native,,,67,6136,2026-04-11T19:02:19.997333423Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Cloudflare', 'Content Delivery Network', 'Expensify', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'Instagram Follow Button', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'YouTube', 'jsDelivr']"
truenorthern.com,Truenorthern Solutions Group,"TrueNorthern Solutions Group, LLC",NZL,77,135144,2026-04-07T09:53:19.980214961Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Expensify', 'Express', 'Fireblade', 'Font Awesome', 'FormSubmit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Line2', 'Microdata for Google Shopping', 'Netsuite Site Builder', 'QUIC', 'Squarespace', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
reisesupermarkt.org,"Search Flights, Hotels & Rental Cars | KAYAK",Kayak,USA,77,532545,2026-04-02T08:44:19.993250234Z,"['Adjust', 'Affirm', 'Agoda', 'Alternate Protocol', 'Amadeus e-Retail', 'Amazon WAF Blocked', 'Apache', 'App Store', 'Book Direct', 'Booking Affiliate', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'Coming Soon Page', 'Content Delivery Network', 'Cornerstone', 'Efilli', 'Expensify', 'Express', 'Fastly', 'Financial Services Guide', 'Fireblade', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'Harbor', 'HotelsCombined', 'Instagram Follow Button', 'JUST', 'K2F', 'KAYAK', 'KVH', 'Microdata for Google Shopping', 'Microsoft 365', 'Neighborhoods', 'No-Q', 'Ntent', 'Oddle', 'Parcel', 'Perl', 'QUIC', 'RM Education', 'SMC', 'Salesforce Hosted', 'Share Link', 'SiteW', 'UTF-8', 'University or College', 'Visx', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
hotelscombined.ca,HotelsCombined | Find Deals on Travel Accommodations,HotelsCombined,IND,77,533826,2026-03-15T02:20:48.012988785Z,"['Adjust', 'Affirm', 'Agoda', 'Alternate Protocol', 'Amadeus e-Retail', 'Amazon WAF Blocked', 'Apache', 'App Store', 'Book Direct', 'Booking Affiliate', 'Calendly', 'Coming Soon Page', 'Content Delivery Network', 'DAV', 'DC74', 'Efilli', 'Expensify', 'Express', 'Fastly', 'Financial Services Guide', 'Fireblade', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'HotelsCombined', 'Instagram Follow Button', 'JUST', 'K2F', 'KAYAK', 'Landis Holdings', 'Microdata for Google Shopping', 'Microsoft 365', 'NFOrce Internet', 'Neighborhoods', 'No-Q', 'Ntent', 'Oddle', 'Parcel', 'Perl', 'QUIC', 'RM Education', 'SMC', 'Salesforce Hosted', 'Share Link', 'UTF-8', 'University or College', 'Visx', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
hotelscombined.co.uk,HotelsCombined | Find Deals on Travel Accommodations,HotelsCombined,ITA,77,510186,2026-03-14T18:30:20.284552972Z,"['Adjust', 'Affirm', 'Agoda', 'Alternate Protocol', 'Amadeus e-Retail', 'Amazon WAF Blocked', 'Apache', 'App Store', 'Azion', 'Book Direct', 'Booking Affiliate', 'Calendly', 'Coming Soon Page', 'Content Delivery Network', 'Efilli', 'Expensify', 'Express', 'Fastly', 'Financial Services Guide', 'Fireblade', 'Gambling Content', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Related Website Sites', 'Google Tag Manager', 'HotelsCombined', 'Instagram Follow Button', 'JUST', 'K2F', 'KAYAK', 'Microdata for Google Shopping', 'Microsoft 365', 'NFOrce Internet', 'Neighborhoods', 'No-Q', 'Ntent', 'Oddle', 'Parcel', 'Perl', 'QUIC', 'RM Education', 'SMC', 'Salesforce Hosted', 'Share Link', 'SiteW', 'UTF-8', 'University or College', 'Visx', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
