domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
brijcreations.com,Nitin Brijwasi | Senior Graphic Designer & Motion Designer,,IND,82,4507,2026-04-14T12:11:20.006327283Z,"['Coming Soon Page', 'Content Delivery Network', 'Firebase', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Netlify', 'QUIC', 'UTF-8', 'YouTube', 'jsDelivr']"
cropshopindia.com,Pro Kissan Online Shopping | Pro Kissan Ecommerce,,MMR,65,6970,2026-04-14T12:08:19.999701699Z,"['Firebase', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'MGID', 'No-Q', 'PHP', 'PWA', 'QUIC', 'StackPath', 'Tailwind CSS', 'UTF-8']"
eduxpand.com,Online education platform for Grade 1 to 12 students,Eduxpand,USA,77,7329,2026-04-14T12:01:26.651196191Z,"['Aruba', 'Contact Form Plugin', 'ElementUI', 'Elementor', 'EmbedPress', 'Firebase', 'Font Awesome', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'PHP', 'Pico CSS', 'Python', 'QUIC', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
booyahcentral.in,Free Fire Tournaments India | Win Real Cash in Custom Matches - Booyah Central,,IND,77,21679,2026-04-14T11:59:20.020575175Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Fastly', 'Firebase', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'PWA', 'QUIC', 'Tailwind CSS', 'UTF-8']"
honestybox.uk,Honesty Box - Local Farm Directory,,,40,663,2026-04-14T11:41:20.023659403Z,"['Content Delivery Network', 'Fastly', 'Firebase', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'QUIC', 'UTF-8']"
fieldsync.com.au,FieldSync - Transform Your Field Service Business,,AUS,67,6679,2026-04-14T11:38:19.982312383Z,"['Coming Soon Page', 'Content Delivery Network', 'Fastly', 'Firebase', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'UTF-8']"
lifltrain.com,LIFL Training,,TUR,72,6640,2026-04-14T11:26:32.454617886Z,"['Content Delivery Network', 'Fastly', 'Firebase', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Tailwind CSS', 'UTF-8', 'WhatsApp Sharing', 'YouTube', 'jsDelivr']"
justlegal.co.jp,Just Search Group | Japan’s Specialist Legal Recruitment Agency,,JPN,77,5580,2026-04-14T11:26:19.982544864Z,"['Amazon CloudFront', 'CloudFront', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Duda', 'Firebase', 'Font Awesome', 'FormSubmit', 'Formspree', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'IcoMoon', 'Microdata for Google Shopping', 'Nginx', 'QUIC', 'Tailwind CSS', 'Thank You', 'UTF-8', 'University or College']"
chatslam.com,Question Box from Chatslam,,,50,660,2026-04-14T11:23:19.984268791Z,"['App Store', 'Content Delivery Network', 'Fastly', 'Firebase', 'Google', 'Google Cloud CDN', 'Google My Business', 'Google Play', 'PWA', 'UTF-8']"
shobhi.com,"Shobhi Home - Artistic Furniture, Real sustainable hardwood",Shobhi.com,IND,60,869,2026-04-14T11:15:20.741719272Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Elegant Themes', 'ElementUI', 'Elementor', 'EmbedPress', 'Firebase', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Graphy', 'Gravity Forms', 'Instagram Follow Button', 'MailPoet', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ninja Forms', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Soledad', 'Theme In WP', 'UTF-8', 'Ubuntu', 'WPForms', 'WhatsApp Sharing', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'bbPress', 'jQuery']"
opdig.com,Opdig AR Interface,,,45,663,2026-04-14T11:15:20.717616944Z,"['AJAX Libraries API', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Fastly', 'Firebase', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google My Business', 'Google Tag Manager', 'UTF-8', 'jQuery']"
nivasacapital.in,Home Loans & Balance Transfers | Nivasa Capital,,IND,70,4524,2026-04-14T11:11:20.031694504Z,"['Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Firebase', 'Google', 'Google Cloud CDN', 'Netlify', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Web3Forms']"
