domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
livethecrest.com,Home | The Crest,,GBR,72,20912,2026-05-28T17:30:29.226444925Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'CDN JS', 'Canva Websites', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'Follow Up Boss', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Heroku', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'QUIC', 'ResMan', 'SightMap', 'Silicon Valley Web Hosting', 'UTF-8']"
grant-team.com,Southwest Florida Real Estate - Homes for Sale in Southwest Florida,,USA,67,43574,2026-05-26T20:19:22.364832327Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apture Linking Platform', 'Azure Edge', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Fello', 'Follow Up Boss', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Harbor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Microsoft Azure Verified CDN', 'QUIC', 'Sierra Interactive', 'Sign In With Google', 'Thank You', 'UTF-8', 'UserWay', 'Yandex Hosting', 'YouTube', 'reCAPTCHA']"
cynthiacomer55places.com,Retirement Communities | 55+ Communities | 55places,55places.com,,67,27350,2026-05-26T02:54:06.834508304Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon S3 CDN', 'Apache', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Cornerstone', 'Crowdsignal', 'DAV', 'Express', 'Follow Up Boss', 'Gambling Content', 'GetResponse', 'Google Analytics', 'Google Tag Manager', 'Harbor', 'IcoMoon', 'InitiativeS', 'Investor Relations', 'Kitco', 'Microdata for Google Shopping', 'Nationwide Mortgage Licensing System and Registry', 'Neighborhoods', 'New Relic', 'Ntent', 'PWA', 'Perl', 'Prospective', 'QUIC', 'Schema Plugin', 'Share Link', 'Storyblocks', 'Thank You', 'UTF-8', 'University or College', 'Way', 'YouTube', 'eLand']"
massaxis.com,MassAxis,,USA,72,190791,2026-05-25T21:09:53.622200806Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Ant Design Vue', 'Apture Linking Platform', 'Better Lead Generation Services', 'Calendly', 'Call to Visit', 'Coming Soon Page', 'Efilli', 'Express', 'Fastly', 'Fireblade', 'Follow Up Boss', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Investor Relations', 'NFOrce Internet', 'Next.js', 'Nginx', 'Perl', 'Pleroma', 'QUIC', 'Salesforce Hosted', 'Tailwind CSS', 'Tawk', 'UTF-8', 'Ubuntu', 'YouTube', 'shadcn ui']"
550living.com,Home | 550 Ultra Lofts,,USA,77,23392,2026-05-25T18:01:32.120811539Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'AppFolio', 'Cloudflare', 'DAV', 'Follow Up Boss', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Heroku', 'Homes.com CMS', 'Microdata for Google Shopping', 'NFOrce Internet', 'Silicon Valley Web Hosting', 'Thank You', 'UTF-8']"
myplusleads.com,"Expired, FSBO & Neighborhood Data | my +plus leads",my +plus leads,USA,77,64766,2026-05-24T13:24:04.935150202Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Better Lead Generation Services', 'CINC', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Easy Fancybox', 'EmbedPress', 'Follow Up Boss', 'GA Connector', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'HighLevel', 'Jetpack', 'Lofty', 'Microdata for Google Shopping', 'OSS CDN', 'PHP', 'Real Geeks', 'Sierra Interactive', 'Slider Revolution', 'Tailwind CSS', 'Theme In WP', 'To Top', 'Twitter Ads', 'UTF-8', 'W3 Total Cache', 'WordPress', 'WordPress Multisite', 'jQuery', 'jQuery Pin It Button for Images', 'reCAPTCHA']"
ibislandinghomesfl.com,Ibis Landing - Southwest Florida,,USA,77,25771,2026-05-24T07:05:18.948362951Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'CloudFront', 'Follow Up Boss', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microsoft Azure', 'Microsoft IIS', 'OSS CDN', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Visual Studio', 'WPForms', 'YouTube', 'jQuery']"
trustyourlender.com,NEO Home Loans,,USA,62,75059,2026-05-23T20:11:38.665037444Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Better Lead Generation Services', 'Builder', 'CloudFront', 'Content Delivery Network', 'DoubleClick Bid Manager', 'Express', 'Fireblade', 'Follow Up Boss', 'Font Awesome', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Recommendations AI', 'Google Tag Manager', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'OSS CDN', 'Perl', 'Plaid', 'Pleroma', 'QUIC', 'Qualaroo', 'RM Education', 'Thank You', 'The Trade Desk Direct', 'Typeform', 'UTF-8', 'University or College', 'UserWay', 'Vimeo', 'Way', 'YouTube', 'cstate', 'jsDelivr']"
drake.realtor,"Real Estate Agent | Dwayne Drake | Campbell, CA",,CAN,77,57927,2026-05-23T15:41:19.981755203Z,"['Alternate Protocol', 'Amazon CloudFront', 'AudioEye', 'Calendly', 'CloudFront', 'Coming Soon Page', 'Duda', 'Follow Up Boss', 'FormSubmit', 'GZIP Module', 'Get.realtor', 'Google Analytics', 'Google Tag Manager', 'IDX Broker', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Neighborhoods', 'Nginx', 'OSS CDN', 'Perl', 'QUIC', 'SMC', 'Styled Components', 'Tailwind CSS', 'Thank You', 'UTF-8', 'YouTube']"
asteriebasketball.com,Youth Basketball Club - develop your passion for basketball,Club de Basketball Les Astéries,CAN,77,75880,2026-05-23T13:17:19.973669279Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apache', 'Bing Cashback', 'CloudFront', 'Coming Soon Page', 'Content Delivery Network', 'Debian', 'ETranslate', 'Express', 'Fireblade', 'Follow Up Boss', 'Font Awesome', 'GZIP Module', 'GoDaddy', 'Google My Business', 'Google Retail Product Discovery', 'Google Tag Manager', 'Impact', 'Investor Relations', 'KVH', 'Mailjet Widget', 'Microdata for Google Shopping', 'OSS CDN', 'PHP', 'PWA', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Underscores', 'YouTube']"
