domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
speaker.travel,Super-simple conference speaker travel booking,,SWE,57,99,2026-03-24T23:05:08.878763104Z,"['Font Awesome', 'GZIP Module', 'Nginx', 'PWA', 'Piwik PRO', 'Twitter Ads']"
learn-with-hozaifa.live,Home,,EGY,65,2539,2026-03-24T23:05:08.87473386Z,"['AJAX Libraries API', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'Tailwind CSS', 'UTF-8', 'University or College', 'jQuery', 'jsDelivr', 'shadcn ui']"
salonsuccesssecretschallenge.com,Sample #3,,,57,8342,2026-03-24T23:05:08.871584459Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Animate It', 'Apture Linking Platform', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Turnstile', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Font Awesome', 'GetResponse', 'Google Cloud DNS', 'Google Font API', 'Honeybadger', 'New Relic', 'QUIC', 'UTF-8', 'YouTube', 'jQuery', 'jsDelivr']"
sandbachlaw.net,"Sandbach Law | Valdosta, Georgia",Sandbach Law,USA,65,16473,2026-03-24T23:05:08.869316155Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Contact Form Plugin', 'DAV', 'EmbedPress', 'Font Awesome', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Microdata for Google Shopping', 'PHP', 'Schema Plugin', 'SiteOrigin', 'SiteOrigin Panels', 'Subversion', 'Theme In WP', 'UTF-8', 'Vantage', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
bullionvault.co.uk,"Buy Gold, Silver and Platinum Bullion Online | BullionVault",BullionVault,GBR,92,3749,2026-03-24T23:05:08.867008481Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'App Store', 'Apture Linking Platform', 'Call to Visit', 'CloudFront', 'Content Delivery Network', 'DAV', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'Smart App Banner', 'Tailwind CSS', 'UTF-8', 'YouTube', 'eLand']"
hexissup.com,Hexis Support Services LTD - Confidence in Every Guard,,GBR,72,15717,2026-03-24T23:05:08.862732665Z,"['Alternate Protocol', 'Content Delivery Network', 'EmbedPress', 'Fireblade', 'Font Awesome', 'IcoMoon', 'LiteSpeed', 'PHP', 'ThemeFusion', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
codiexpress.com,Miami Printing Services - Miami Printing and Signs - Codiexpress,,USA,52,258,2026-03-24T23:05:08.862304781Z,"['Alternate Protocol', 'Apache', 'Express', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'PHP', 'QUIC', 'Tailwind CSS', 'Thank You', 'UTF-8']"
omtpartners.com,Welcome to OMT Partners,,USA,55,99,2026-03-24T23:05:08.857625057Z,"['Font Awesome', 'Google My Business', 'Google Related Website Sites', 'LiteSpeed', 'PHP', 'UTF-8', 'jQuery']"
pawsthatprotect.com,Paws That Protect,,,62,22618,2026-03-24T23:05:08.846369005Z,"['501c3 Status Nonprofit', 'AJAX Libraries API', 'AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'App Store', 'CloudFront', 'Cloudflare', 'Cognito Forms', 'Coming Soon Page', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'InitiativeS', 'Instagram API', 'Instagram Follow Button', 'NFOrce Internet', 'QUIC', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent']"
counterpartteam.com,Custom Software Development Firm in Indianapolis | Counterpart,Counterpart,USA,77,20182,2026-03-24T23:05:08.845892217Z,"['ASP.NET Core', 'AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Apache', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cornerstone', 'EmbedPress', 'Font Awesome', 'Formidable Pro Form', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'MonsterInsights', 'Nginx', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Studio', 'WP Engine', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
fmprivatecredit.ca,Navigate Private Yield Fund - Fraser Mackenzie Private Credit,,,50,102,2026-03-24T23:05:08.845677775Z,"['Alternate Protocol', 'Elementor', 'Elementor Custom Skin', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'UTF-8', 'WP Fastest Cache', 'WordPress', 'WordPress Multisite']"
