domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
legendsautoaz.com,Legends Auto Az,,USA,50,542,2026-05-29T23:05:37.238976739Z,"['Add to Any', 'Alternate Protocol', 'Apache', 'Coming Soon Page', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'Fontello', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'NFOrce Internet', 'PHP', 'SiteW', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
rosebarlongevity.com,RoseBar - Longevity Clinic at Six Senses Ibiza,RoseBar,ESP,82,28249,2026-05-29T22:34:09.903594236Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Animate It', 'Aruba', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elegant Themes', 'Elementor', 'Elementor Custom Skin', 'Elfsight', 'EmbedPress', 'Fontello', 'Google', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HandL UTM Grabber', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'MailChimp', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'MonsterInsights', 'NFOrce Internet', 'PHP', 'Pagekit', 'PixelYourSite', 'Premium Addons for Elementor', 'Share Link', 'Smush Image Optimization', 'Streamable', 'TI WooCommerce Wishlist', 'Theme In WP', 'UTF-8', 'Ultimate Blocks', 'Vector Internet Services', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Real Cookie Banner', 'eLand', 'jQuery']"
mj-construction.ca,MJ Quality Construction – Home Building,,USA,65,27866,2026-05-29T22:29:55.890734568Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Essential Grid', 'Fontello', 'Google', 'Google Cloud DNS', 'Google Font API', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Schema Plugin', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WP Job Manager', 'WPBakery', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery']"
chikita.be,Chikita Padelschool – Padel Training for Every Level,,BEL,80,10974,2026-05-29T22:29:55.864936879Z,"['Advanced Popups', 'Alternate Protocol', 'Animate It', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fastly', 'Fontello', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'NFOrce Internet', 'PHP', 'Slider Revolution', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Vector Internet Services', 'WP GDPR Compliance', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
moonshinetheband.com,The Best Advertising and Design Agency in San Francisco and Marin County California : Brainblaze - Brainblaze Advertising + Design,Brainblaze : Fine Advertising + Web + Design,VEN,77,14982,2026-05-29T22:20:19.972371762Z,"['Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Animate It', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Line2', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Premium Addons for Elementor', 'QUIC', 'Site Kit', 'TI WooCommerce Wishlist', 'Theme In WP', 'UTF-8', 'University or College', 'Vector Internet Services', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'reCAPTCHA']"
iringgit.my,iringgit.my – Islamic Personal Financing and Financial Education,,IND,65,15857,2026-05-29T21:57:52.870525615Z,"['Alternate Protocol', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Endis', 'FastClick', 'Fontello', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'IcoMoon', 'LiteSpeed', 'Material-UI', 'Newsletter for Wordpress', 'PHP', 'QUIC', 'Tailwind CSS', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'jQuery']"
frostgullyviolins.com,Frost Gully Violins | Maine's #1 Stringed Instrument Store | Brunsiwick ME.,,,67,305,2026-05-29T21:52:56.537722978Z,"['Alternate Protocol', 'CheryFramework', 'Contact Form Plugin', 'Cornerstone', 'EmbedPress', 'Essential Grid', 'Fontello', 'Google My Business', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'Yelp Badge', 'jQuery', 'shadcn ui']"
stilbein.com,Stilbein Solutions,,,55,5059,2026-05-29T21:48:05.157100739Z,"['CodeIgniter', 'Fontello', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'IcoMoon', 'PrestaShop', 'Prospective', 'RM Education', 'Tailwind CSS', 'jQuery']"
alsidralandscaping.com,alsidralandscaping,,IND,65,19247,2026-05-29T21:38:40.956966041Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fontello', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'LiteSpeed', 'NFOrce Internet', 'Ntent', 'PHP', 'Prime Slide for Elementor', 'QUIC', 'Qi Addons For Elementor', 'Sign In With Google', 'Site Kit', 'Theme In WP', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
nexcommmedia.com,Home - Nex Comm Media,Nex Comm Media,,75,35388,2026-05-29T21:24:22.617717649Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Better Lead Generation Services', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Discord', 'Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Font Awesome', 'Fontello', 'GoDaddy', 'Google', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Site Kit', 'Tawk', 'Thank You', 'Theme In WP', 'UTF-8', 'WPForms', 'Wangsu', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
