domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
esupportworld.com,eSupportWorld,,IND,65,15617,2026-01-31T07:02:45.288101977Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Engintron', 'Foxit', 'GZIP Module', 'Google Maps', 'Google My Business', 'IcoMoon', 'Nginx', 'Twitter Ads', 'jQuery']"
adoptearthsaviour.com,adoptearthsaviour,,IND,60,61324,2026-01-30T09:20:38.736782615Z,"['Affilae', 'Alternate Protocol', 'Bitrix', 'Camp', 'Community', 'Doctor.com', 'DokuWiki', 'Eatery Theme', 'Ektron', 'EmbedPress', 'Foxit', 'GZIP Module', 'Gambling Content', 'JustClick', 'Netcraft', 'Nginx', 'PHP', 'Parallels Plesk Panel', 'Perl', 'Pubmatic', 'RM Education', 'Resengo', 'Rich Relevance', 'SMC', 'Savoy Systems', 'Show.co', 'SmartAdServer Direct', 'StickyAds TV', 'TUNE', 'Tapatalk', 'Turn', 'UPS', 'UTF-8', 'University or College', 'Vine Embed', 'WordPress', 'WordPress Multisite', 'eLand']"
crematoriu-uman.ro,Phoenix Cremation Services,,ROU,77,2242,2026-01-24T15:55:43.45280639Z,"['Apache', 'Azion', 'Cybot', 'Foxit', 'FreeCSSTemplates', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'ISO/IEC 8859', 'IcoMoon', 'Tailwind CSS']"
roulettestrategy.cfd,what is the most successful roulette strategy?,,USA,72,92345,2026-01-22T14:01:43.435636613Z,"['Alternate Protocol', 'Bitrix', 'Builder', 'DAV', 'Eatery Theme', 'Ektron', 'EmbedPress', 'Facebook Reseller', 'Foxit', 'Gambling Content', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Custom Search', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Heroku', 'Instagram Follow Button', 'Nginx', 'PWA', 'Pleroma', 'SMC', 'Show.co', 'SiteW', 'Twitter Ads', 'UTF-8', 'Ubuntu', 'Unix', 'WordPress', 'Workplace from Meta', 'Yellow Book', 'YouTube']"
snovesslan.se,T�nndalens Vesseltrafik Sn�vesslan - Sn�vesslan.se,,,57,142,2026-01-21T11:25:43.431308188Z,"['AJAX Libraries API', 'Apache', 'DAV', 'Foxit', 'Google Cloud DNS', 'Google Font API', 'ISO/IEC 8859', 'jQuery']"
trudate.info,Home - TruDate.info,,FLK,65,15481,2025-12-28T19:10:38.343217779Z,"['AWS WAF Challenge', 'Bunny Fonts', 'Calendly', 'DAV', 'Foxit', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'LiteSpeed', 'PHP', 'Parcel', 'QUIC', 'Telegram', 'UPS', 'UTF-8', 'Verified Profile', 'YouTube']"
8889577a.com,8889577a,,IND,60,70550,2025-12-26T12:16:38.337054321Z,"['AWS WAF Challenge', 'Adobe GoLive', 'Adult Content', 'Affilae', 'Alternate Protocol', 'Apture Linking Platform', 'Azion', 'Bitrix', 'Bitrix24', 'Booker', 'CM Commerce', 'Crypto.com', 'DAV', 'Doctor.com', 'Eatery Theme', 'EmbedPress', 'EmpathyBroker', 'Express', 'Famly', 'FormSubmit', 'Foxit', 'GZIP Module', 'Homes.com CMS', 'JustClick', 'K2F', 'Monster', 'Netcraft', 'Nginx', 'OLO', 'Oracle Cloud', 'PHP', 'Parallels Plesk Panel', 'Planer', 'Pubmatic', 'QUIC', 'RM Education', 'Riddle', 'SMC', 'SearchForce', 'SecuredVisit', 'Sextracker Money Tree', 'Show.co', 'StickyAds TV', 'Subversion', 'TUNE', 'Tapatalk', 'Turn', 'Twitter Ads', 'UTF-8', 'Universe', 'University or College', 'WordPress', 'WordPress Multisite', 'Yellow Book', 'Zope', 'eLand', 'route']"
compassresearch.net.au,Compass Research | Economy | Economic and Market Research } Cairns | Far North Queensland | Regional,,AUS,77,585,2025-12-15T20:43:59.499155901Z,"['AJAX Libraries API', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'ElementUI', 'Foxit', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'LiteSpeed', 'Material Design Icons', 'QUIC', 'Research.net', 'University or College', 'W3.CSS', 'YouTube', 'eLand', 'jQuery']"
kofc1214.org,"Knights of Columbus: Council 1214, Fort Collins, CO",,USA,75,1548,2025-12-09T06:59:15.85380665Z,"['Alternate Protocol', 'Apache', 'Coming Soon Page', 'Eventbrite', 'Facebook Embedded Posts', 'Foxit', 'GZIP Module', 'Google Analytics', 'Google My Business', 'SignUpGenius', 'UTF-8', 'University or College', 'Yahoo Image CDN', 'jQuery']"
foxitsoftware.com,PDF Software & Tools Tailored to Your Business | Foxit,,USA,72,474023,2025-12-06T14:03:46.378155411Z,"['AWS WAF Challenge', 'AdRoll', 'Amazon', 'Amazon Associates Affiliate Shop', 'Amazon CloudFront', 'Amazon Route 53', 'Apture Linking Platform', 'Better Lead Generation Services', 'Bing Cashback', 'Bing Conversion Tracking', 'Chili Piper', 'Citrix', 'Clickagy', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'CookieYes', 'DAV', 'DoubleClick Bid Manager', 'Drift', 'ElementUI', 'Express', 'Facebook Reseller', 'Fastly', 'Financial Industry Regulatory Authority', 'Fireblade', 'Font Awesome', 'Foxit', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Matched Content', 'Google My Business', 'Google Recommendations AI', 'Google Reseller', 'Google Tag Manager', 'LinkedIn Pixel', 'Microsoft Clarity', 'NFOrce Internet', 'Next.js', 'Oracle Cloud', 'Outbrain Direct', 'Pardot', 'PayPal Adaptive Payments', 'Perl', 'Pleroma', 'ProfitWell', 'Python', 'QUIC', 'SalesLoft', 'Salesforce Hosted', 'Salesforce Marketing Cloud Personalisation', 'Smooch', 'Stripe', 'Swiftype', 'Tailwind CSS', 'Thank You', 'ThreatMetrix', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'University or College', 'VWO Engage', 'Visa Checkout', 'Visual Website Optimizer', 'YouTube', 'Zendesk Embeddables', 'shadcn ui']"
koumeiseki.com,koumeiseki,,IND,60,56769,2025-11-27T04:54:54.140543749Z,"['AdCenter', 'Affilae', 'Alternate Protocol', 'Azion', 'Bitrix', 'Bitrix24', 'Blockchain', 'CM Commerce', 'Cisco/Arrowpoint Content Service Switch', 'DAV', 'DokuWiki', 'Eatery Theme', 'Ektron', 'EmbedPress', 'FormSite', 'Foxit', 'GZIP Module', 'Gambling Content', 'Homes.com CMS', 'JustClick', 'Keller Williams Realty', 'Medium', 'Motive', 'Nginx', 'OLO', 'Oracle Cloud', 'PHP', 'Parallels Plesk Panel', 'Planer', 'Pollster', 'Pubmatic', 'QUIC', 'RM Education', 'Rich Relevance', 'Riddle', 'SMC', 'Sextracker Money Tree', 'Show.co', 'Subversion', 'Turn', 'Twenty Thirteen', 'UPS', 'UTF-8', 'University or College', 'Vine Embed', 'WORKetc', 'Way', 'WordPress', 'WordPress Multisite', 'eLand', 'iDevAffiliate', 'nopCommerce']"
