domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
northampton-academy.org,Northampton Academy > Home,,CAN,62,118647,2026-03-03T15:12:54.14566549Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Booking Affiliate', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'DAV', 'DNN Software', 'ETranslate', 'Font Awesome', 'FreeCSSTemplates', 'Freshdesk Support', 'GTranslate', 'GZIP Module', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'KVH', 'Microsoft 365', 'Microsoft Azure', 'Pico CSS', 'QUIC', 'SMC', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'iPromote', 'jQuery']"
mvotesystems.com,"Electronic Voting Systems for Governments, Associations, and Councils",,FRA,77,26458,2026-03-03T09:02:43.425195687Z,"['AJAX Libraries API', 'AWS WAF Challenge', 'Alternate Protocol', 'ArvanCloud', 'Better Lead Generation Services', 'Bing Cashback', 'Bing Conversion Tracking', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'CrazyEgg', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'FormSubmit', 'FreeCSSTemplates', 'Freshdesk Support', 'GeneratePress Company', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Instagram Follow Button', 'LinkedIn Insights', 'LinkedIn Pixel', 'LiveChat', 'LiveChat Monitoring', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PHP', 'Perl', 'QUIC', 'Rocket Chat', 'Sapper', 'Schema Plugin', 'Simple Download Monitor', 'Simple Lightbox', 'Stripe', 'TablePress', 'Theme In WP', 'Twitter Ads', 'Twitter Analytics', 'UTF-8', 'University or College', 'Visual Composer Ultimate Addons', 'WPBakery', 'WoWonder', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WordPress', 'WordPress Multisite', 'YouTube', 'Zoho CRM', 'eLand', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
creativemasters.com.au,Leading IT Solutions Provider in Australia - Creative Masters,,AUS,62,1096,2026-03-03T08:57:06.904921229Z,"['Freshdesk Support', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'PHP', 'QUIC', 'UTF-8', 'jQuery']"
shandonflowers.com,Florist Cork | Flowers Cork City | Flower Delivery Cork | Flowers County Cork | Shandon Flowers,,IRL,77,31885,2026-03-03T08:14:41.532714232Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Bing Cashback', 'Bulma', 'BunnyCDN General', 'Canva Websites', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Cognito Forms', 'Constant Contact', 'Content Delivery Network', 'Curator', 'Doofinder', 'DoubleClick Bid Manager', 'Ecologi', 'Font Awesome', 'Freshdesk Support', 'Freshworks CRM', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'Lightwidget', 'MailChimp', 'Microdata for Google Shopping', 'Microsoft 365', 'Microsoft Application Insights', 'Microsoft Authentication Library for JavaScript', 'Microsoft Clarity', 'MyLiveChat', 'Ntent', 'POWr', 'PayPal Adaptive Payments', 'Privy', 'RM Education', 'SafeBuy', 'Schema Plugin', 'Stripe', 'Thank You', 'TrustIndex', 'TrustSpot', 'Trusted Shops', 'Twitter Ads', 'UTF-8', 'WF Cookie Consent', 'Way', 'Wild Apricot', 'YouTube', 'eLand', 'jsDelivr']"
pageclickdomains.com,Home,,,55,21623,2026-03-03T04:35:38.714405257Z,"['Amazon', 'Apache', 'Apture Linking Platform', 'ClickOn', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Freshdesk Support', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Recommendations AI', 'Google Related Website Sites', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8']"
rosevilleponybaseball.com,Roseville PONY Baseball,,,62,27828,2026-03-03T03:55:46.977667068Z,"['Amazon', 'Amazon CloudFront', 'Bulma', 'CloudFront', 'DAV', 'Freshdesk Support', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Microsoft Azure', 'Microsoft IIS', 'On The Map', 'Perl', 'QUIC', 'TeamSideline', 'Twitter Ads', 'UTF-8', 'Visual Studio']"
devize.cloud,Devize — Business OS for Indian SMBs,,,67,1056,2026-03-03T01:50:39.192478976Z,"['Content Delivery Network', 'DAV', 'Freshdesk Support', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Netlify', 'Next.js', 'Ntent', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
adfl.org.uk,Aldershot & District Football League,,,67,16235,2026-03-03T01:25:19.917075082Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Content Delivery Network', 'EmbedPress', 'Freshdesk Support', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Jetpack', 'Jetpack Site Accelerator', 'Nginx', 'Perl', 'QUIC', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'WordPress Stats']"
terraliving.in,Terra Living - Official Online Store,Terra Living || Worldwide,IND,87,44895,2026-03-03T01:25:19.906000012Z,"['Amazon WAF Blocked', 'Cloudflare', 'Cloudinary', 'Content Delivery Network', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Freshdesk Support', 'Fynd Platform', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'Sentry', 'UTF-8', 'W3 Total Cache', 'iomart']"
freshmarketer.us,Staycation,,JAM,65,4492,2026-03-02T23:22:20.571144127Z,"['Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Freshdesk Support', 'Freshmarketer', 'Freshworks CRM', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Netlify', 'Tailwind CSS', 'UTF-8']"
