domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
turnkey-ips.com,Turnkey IPS Insolvency | Global Software For Managing Insolvency,Turnkey IPS,GBR,82,42287,2026-02-11T04:27:39.70599085Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Complianz', 'Content Delivery Network', 'Content ad', 'Divi', 'Elegant Themes', 'EmbedPress', 'Font Awesome', 'Freshsales', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Microdata for Google Shopping', 'PHP', 'Pagekit', 'Perl', 'Smush Image Optimization', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Video PopUp for Wordpress', 'WP Engine', 'Woo Themes', 'WordPress', 'WordPress Download Manager', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
syrasoft.com,Self Storage Software - Syrasoft,Syrasoft - Self Storage Software,,60,18428,2026-02-06T02:22:48.872105778Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CallRail', 'CheryFramework', 'CloudFront', 'Contact Form Plugin', 'Content Delivery Network', 'Contento', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fireblade', 'Freshsales', 'Google Analytics', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'HubSpot Conversations', 'HubSpot WordPress Plugin', 'Hubspot', 'Impreza', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Perl', 'Popup Maker for Wordpress', 'Smart Slider 3', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'Visual Composer Ultimate Addons', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
giantmediaonline.com,Wholesale Sign Boards & Banners USA | B2B Custom Printing – Giant Media,Giant Media Online,USA,77,211692,2026-02-05T23:43:01.464653005Z,"['Adobe Analytics', 'Adobe Marketing Cloud', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'CloudFront', 'DAV', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Freshsales', 'Freshworks Bot', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google Analytics with Ad Tracking', 'Google Related Website Sites', 'Google Tag Manager', 'Klaviyo', 'Microdata for Google Shopping', 'New Relic', 'PHP', 'PWA', 'QUIC', 'Subversion', 'Tailwind CSS', 'Twitter Ads', 'UTF-8']"
ecomscotland.com,Trusted Partners in Digital Learning and Assessment | eCom,eCom Learning Solutions,USA,87,28972,2026-02-02T21:55:37.711399021Z,"['AddThis for Wordpress', 'Alternate Protocol', 'Bulma', 'Freshsales', 'Freshworks CRM', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'M247', 'Material Design Icons', 'Microdata for Google Shopping', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jsDelivr']"
britishpassportsuk.co.uk,"Apply for Same Day British Passport Renewal, Second Passport UK - BritishPassportsUK",,GBR,77,67867,2026-01-31T17:10:48.87127666Z,"['AJAX Libraries API', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'CrazyEgg', 'DAV', 'DoubleClick Bid Manager', 'Fancybox for WordPress', 'Font Awesome', 'Freshsales', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Flights Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'Optimizely Recommendations', 'Oracle Cloud', 'QUIC', 'Schema Plugin', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'jQuery']"
mets.edu.au,METS Training Services - Best RTO & Smart and Skilled provider,METS,,67,70357,2026-01-25T19:13:14.418711555Z,"['Alternate Protocol', 'Apture Linking Platform', 'Apyl', 'DAV', 'Elementor', 'Elfsight', 'EmbedPress', 'Financial Services Guide', 'Fireblade', 'Formilla', 'Freshsales', 'Google Analytics', 'Google Tag Manager', 'HHVM', 'Hello Elementor', 'Instagram Follow Button', 'JetElements', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'SMC', 'Simple Banner for Wordpress', 'Sitelinks Search Box', 'Subversion', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'Zope', 'jQuery']"
zenshots.co.uk,Zen Shots Studio Photography | newborn photographer,,GBR,77,229459,2026-01-21T01:13:43.43953313Z,"['123FormBuilder', 'AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Content Square', 'DAV', 'DC74', 'Express', 'Fastly', 'Fastly CDN', 'Fireblade', 'Freshsales', 'GZIP Module', 'GoCardLess', 'Google Analytics', 'Google Customer Reviews', 'Google Related Website Sites', 'Google Tag Manager', 'Hotjar', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Oddle', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Share Link', 'SiteW', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'iPlayerHD', 'mlcom']"
pss.ie,Positive Retail | Point of Sale | Retail Technology,Positive Retail,IRL,87,20243,2026-01-17T04:02:08.502045134Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Calendly', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Freshsales', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Metform Elemento', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Pagekit', 'Perl', 'QUIC', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery']"
secondukpassport.com,Second Passport UK | Corporate & Frequent Traveler Services,Rapid Passports,SGP,82,129709,2026-01-15T10:54:35.358539159Z,"['AWS WAF Challenge', 'Active Passport', 'Alternate Protocol', 'Apture Linking Platform', 'CCSI', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Elementor', 'EmbedPress', 'Express', 'Font Awesome', 'Freshsales', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Idaq', 'Investor Relations', 'K2F', 'Line2', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'No-Q', 'PHP', 'Perl', 'Phew', 'QUIC', 'SMC', 'Sitelinks Search Box', 'Subversion', 'Table Addons for Elementor', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite']"
myinhouselawyer.uk,Top Inhouse Lawyers working flexibly with ambitious businesses - My Inhouse Lawyer,My Inhouse Lawyer,GBR,82,24958,2026-01-12T20:43:52.326859467Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Cybot', 'DAV', 'EmbedPress', 'Freshmarketer', 'Freshsales', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Gravity', 'Gravity Forms', 'IcoMoon', 'Matomo', 'Matomo Tag Manager', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'Nginx', 'PHP', 'QUIC', 'Salient', 'Sitelinks Search Box', 'Theme In WP', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'WP Engine', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
joopio.com,"The Product Marketing Agency, Crowdfunding & Tech Marketing | Joopio.com",,GBR,77,11649,2026-01-10T15:33:38.532736252Z,"['Add to Any', 'Alternate Protocol', 'Amazon CloudFront', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Better Lead Generation Services', 'CDN JS', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'ElementUI', 'EmbedPress', 'Font Awesome', 'FooBox', 'Freshsales', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LayerSlider Responsive', 'Lazy Load for WordPress', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Page scroll to id', 'Pagekit', 'Photo Gallery by FooGallery', 'QUIC', 'Qi Addons For Elementor', 'Slider Revolution', 'StackPath', 'Startit', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPBakery', 'WordPress', 'WordPress Multisite', 'YouTube', 'eLand', 'jQuery']"
switchaid.org,"SwitchAid - Compare & Save on Energy, Mobiles & Broadband",SwitchAid,,82,5155,2026-01-07T10:08:12.502735466Z,"['Agoda', 'Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Contact Form Plugin', 'Content Delivery Network', 'DAV', 'Drag and Drop Multiple File Upload', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Flatsome', 'Freshsales', 'Google Analytics', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'IcoMoon', 'Instagram Follow Button', 'LiteSpeed', 'MailChimp', 'Microdata for Google Shopping', 'PHP', 'QUIC', 'Sitelinks Search Box', 'Tawk', 'Twitter Ads', 'UTF-8', 'WordPress', 'WordPress Multisite', 'reCAPTCHA']"
