domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
aqalite.co.nz,Aqa Lite | Aqa lite,,NZL,42,,2026-05-05T22:44:20.007462606Z,"['Content Delivery Network', 'Gatsby JS', 'Google Analytics', 'Google Tag Manager', 'Netlify', 'Sanity', 'UTF-8', 'shadcn ui']"
maquette.dev,Maquette Development | Home | Maquette Software Services,,,47,,2026-05-05T22:27:57.272165961Z,"['Content Delivery Network', 'Gatsby JS', 'UTF-8', 'Vercel']"
mymathscloud.com,"11+, GCSE, A Level, IB, AP and university maths revision, resources and past exam papers",MyMathsCloud,CAN,77,93227,2026-05-05T22:20:20.000350227Z,"['AWS WAF Challenge', 'Contento', 'DAV', 'DatoCMS', 'Digital Ocean Spaces', 'Express', 'GZIP Module', 'Gatsby JS', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Nginx', 'QUIC', 'SMC', 'Tailwind CSS', 'Tally', 'UTF-8', 'University or College', 'WhatsApp Sharing', 'WordPress SEO Structured Data Schema Plugin']"
cheapestdodgeparts.net,"Sherman Dodge Chrysler Jeep Ram in Skokie, IL | Near Chicago",,,62,3170,2026-05-05T22:20:19.996094287Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Amazon WAF Blocked', 'CloudFront', 'Content Delivery Network', 'GZIP Module', 'Gatsby JS', 'GitHub Hosting', 'Google My Business', 'Google Related Website Sites', 'Mopar', 'QUIC', 'Tailwind CSS', 'WordPress']"
ramonak.io,Home Page - Ramonak.io,,,62,4536,2026-05-05T22:02:19.977573699Z,"['Alternate Protocol', 'Atlassian Bitbucket', 'Content Delivery Network', 'Fastly', 'Gatsby JS', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Heroku', 'IcoMoon', 'Netlify', 'Twitter Ads', 'UTF-8']"
pragribesas.com,Inicio | Pragribe,,COL,57,10000,2026-05-05T21:50:20.007683451Z,"['Gatsby JS', 'GitHub Hosting', 'LiteSpeed', 'QUIC', 'SAS', 'Tailwind CSS', 'YouTube', 'shadcn ui']"
rowantran.com,Home | Rowan Tran,,,32,603,2026-05-05T21:45:25.241968302Z,"['Content Delivery Network', 'Fastly', 'GZIP Module', 'Gatsby JS', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'PHP', 'UTF-8']"
sellciusnetworks.com,Home | Sellcius Networks: Marketing Properties & Analytics,,,52,26248,2026-05-05T21:35:40.475128955Z,"['Alternate Protocol', 'Aruba', 'Better Lead Generation Services', 'CCSI', 'Content Delivery Network', 'Express', 'FreeBSD', 'Gatsby JS', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Idaq', 'KVH', 'KeyCDN', 'Netlify', 'Nginx', 'Python', 'SMC', 'UTF-8', 'University or College', 'Yandex Hosting', 'eLand']"
goldentecnologia.ind.br,Golden | Tecnologia em construção,,BRA,62,2868,2026-05-05T21:35:20.000196159Z,"['Agoda', 'Apache', 'DAV', 'Fastly', 'GZIP Module', 'Gatsby JS', 'GitHub Hosting', 'IcoMoon', 'Instagram Follow Button', 'Subversion', 'Tailwind CSS', 'Unix']"
betahills.com,Home | betahills,,RWA,72,268,2026-05-05T21:32:19.99963307Z,"['Appium', 'Content Delivery Network', 'Gatsby JS', 'GitHub Hosting', 'Google Cloud DNS', 'Google Font API', 'Netlify', 'Tailwind CSS', 'UTF-8', 'WordPress']"
thevibebeautylounge.com,Home | The Vibe Beauty Lounge,,ZAF,72,64020,2026-05-05T21:29:19.98813703Z,"['Alternate Protocol', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'Apture Linking Platform', 'CloudFront', 'Content Delivery Network', 'Express', 'Fastly', 'FreeBSD', 'GZIP Module', 'Gatsby JS', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Gumlet', 'Idaq', 'Instagram Follow Button', 'KeyCDN', 'Nginx', 'Python', 'SMC', 'Storyblocks', 'UTF-8', 'University or College', 'Yandex Hosting']"
