domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
rivalenmity.com,Rivalenmity,,,57,10000,2026-03-06T16:58:10.095039166Z,"['Adult Content', 'Apture Linking Platform', 'ElementUI', 'Express', 'GZIP Module', 'GetResponse', 'Giropay', 'Microdata for Google Shopping', 'PayPal', 'QUIC', 'Tailwind CSS', 'The Fresh', 'UTF-8', 'Vue.js', 'jsDelivr']"
ifleetservices.com,24 Hour Mobile Truck Repair | Interstate Fleet Services,Interstate Fleet Services,USA,92,24772,2026-03-06T16:47:15.301478123Z,"['Alternate Protocol', 'AutoComplete', 'CCSI', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'DAV', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'QUIC', 'UTF-8', 'eLand', 'jQuery', 'reCAPTCHA']"
fstfd.com,FSTFD.com is for sale,,USA,72,32320,2026-03-06T16:47:15.294499669Z,"['AI Log', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Express', 'Fastly', 'Fireblade', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Tag Manager', 'Help.com', 'Intercom', 'New Relic', 'OpenResty', 'Perl', 'Shopper Approved', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
dpienczykowski.pl,dPieńczykowski,,,47,7656,2026-03-06T16:47:15.283494651Z,"['Django CSRF', 'Express', 'Fireblade', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'IcoMoon', 'Nginx', 'PWA', 'UTF-8', 'Ubuntu', 'reCAPTCHA']"
wcrfrederickmd.org,"Welcome to Women's Council of Realtors of Frederick, MD!",,,55,29436,2026-03-06T16:47:15.280668188Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Apyl', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'DoubleClick Bid Manager', 'Ecwid Ecommerce Shopping Cart', 'Font Awesome', 'Forethought', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Smart App Banner', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'UserVoice', 'Wild Apricot', 'YouTube', 'Zendesk Embeddables', 'elevio', 'reCAPTCHA']"
montaguetaxprep.com,"Paul Montague Tax Preparation, LLC - Vancouver's Tax Experts | Paul Montague Tax Preparation, LLC",,CAN,77,55459,2026-03-06T16:39:11.122673645Z,"['AWS WAF Challenge', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fireblade', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'ID Services', 'NFOrce Internet', 'New Relic', 'Nginx', 'Plausible Analytics', 'Rackspace Cloud Servers', 'Tailwind CSS', 'UTF-8', 'UserWay', 'Wufoo', 'Yelp Badge', 'reCAPTCHA', 'shadcn ui']"
nycarchivists.org,Archivists Round Table of Metropolitan New York - Home,,USA,70,132640,2026-03-06T16:27:11.892705396Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Contento', 'DoubleClick Bid Manager', 'Ecwid Ecommerce Shopping Cart', 'Fireblade', 'Font Awesome', 'Forethought', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Forms', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Medium', 'NFOrce Internet', 'RallyUp', 'Storyblocks', 'Twitter Ads', 'UTF-8', 'University or College', 'UserVoice', 'Wild Apricot', 'YouTube', 'Zendesk Embeddables', 'elevio', 'reCAPTCHA']"
baby-balloon.com,BabyBalloon 全港最齊派對氣球用品專賣店 [2023年名人及KOL首選】 – BabyBalloon Party Shop,,,52,24081,2026-03-06T16:27:11.870216665Z,"['Alternate Protocol', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fastly CDN', 'Fireblade', 'FormSubmit', 'GetResponse', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'Heroku', 'IcoMoon', 'Instagram Follow Button', 'Microdata for Google Shopping', 'POWr', 'PageFly', 'QUIC', 'SMC', 'Schema Plugin', 'Shopify', 'Shopify Collabs', 'Shopify Payments', 'Smile IO', 'Subversion', 'Tailwind CSS', 'UTF-8', 'WhatsApp Sharing', 'YouTube', 'eLand', 'hCaptcha', 'jsDelivr', 'reCAPTCHA']"
livingingreatercharlotte.com,Greater Charlotte Real Estate - Homes for Sale in Greater Charlotte,,USA,72,28182,2026-03-06T16:14:39.740410158Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Neighborhoods', 'QUIC', 'Sierra Interactive', 'Sign In With Google', 'UTF-8', 'UserWay', 'YouTube', 'reCAPTCHA']"
performancenutritionistcoach.it,Nutrizionista Baggio | Performance Nutritionist Coach,,,62,24932,2026-03-06T16:14:39.725352673Z,"['Aruba', 'Azion', 'Bunny Fonts', 'GZIP Module', 'GetResponse', 'Google', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Landis Holdings', 'Perl', 'QUIC', 'Styled Components', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'eLand']"
certaindy.com,Certaindy,,,52,7500,2026-03-06T16:08:07.737665753Z,"['Adult Content', 'Apture Linking Platform', 'ElementUI', 'Express', 'Fireblade', 'GZIP Module', 'GetResponse', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vue.js', 'jsDelivr']"
sportoweurodziny.pl,Sportowe Urodziny - inny sposób na imprezę urodzinową,,,67,74062,2026-03-06T16:08:07.725044805Z,"['Aruba', 'Bunny Fonts', 'Financial Services Guide', 'GZIP Module', 'GetResponse', 'Google', 'Instagram Follow Button', 'Landis Holdings', 'No-Q', 'Perl', 'SMC', 'Styled Components', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'YouTube', 'eLand']"
hthwmg.com,HTH Wealth Management Group - RBC Wealth Management - Home,,,55,14579,2026-03-06T16:00:07.863893123Z,"['Brightcove', 'Bulma', 'Content Delivery Network', 'Federal Deposit Insurance Corporation', 'Financial Industry Regulatory Authority', 'Fireblade', 'Font Awesome', 'GZIP Module', 'GetResponse', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'NFOrce Internet', 'Nationwide Mortgage Licensing System and Registry', 'New Relic', 'Nginx', 'OneTrust Domain Verification', 'PHP', 'Subversion', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress']"
thebrileyteam.com,Omaha NE Real Estate - Homes for Sale in Omaha NE,,USA,72,31182,2026-03-06T15:53:31.322217048Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Bing Cashback', 'Bing Conversion Tracking', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'DoubleClick Bid Manager', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Fello', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'QUIC', 'Sierra Interactive', 'Sign In With Google', 'UTF-8', 'UserWay', 'YouTube', 'reCAPTCHA']"
redevents.in,RED - Events & Biz Services,,IND,70,2332,2026-03-06T15:41:02.326987959Z,"['Apache', 'Apture Linking Platform', 'Bulma', 'FreeCSSTemplates', 'GZIP Module', 'GetResponse', 'Google My Business', 'Instagram Follow Button', 'Twitter Ads', 'UTF-8', 'YouTube', 'jsDelivr', 'reCAPTCHA']"
