domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
hotconfig.com,Hot Config,,,62,,2026-04-26T11:19:01.346809344Z,"['Alternate Protocol', 'Express', 'GZIP Module', 'Ghost', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'OpenResty', 'Python', 'Twitter Ads', 'UTF-8', 'jsDelivr']"
loothappens.com,Loot Happens,,,57,132,2026-04-26T08:05:20.003548704Z,"['Alternate Protocol', 'ArvanCloud', 'Express', 'GZIP Module', 'Ghost', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Stripe', 'UTF-8', 'Ubuntu', 'jsDelivr']"
jewishfederations.org,Home Page | The Jewish Federations of North America,,USA,72,100700,2026-04-26T07:08:20.010246905Z,"['AJAX Libraries API', 'ArvanCloud', 'Content Square', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Ghost', 'Google Analytics', 'Google Analytics with Ad Tracking', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Microsoft Clarity', 'OpenResty', 'PHP', 'QUIC', 'Tailwind CSS', 'UTF-8', 'YouTube', 'jsDelivr']"
remton.ai,Fractional CISO & Security Advisory | Mandos,,,67,15928,2026-04-26T07:02:20.002720969Z,"['AWS WAF Challenge', 'Alternate Protocol', 'ArvanCloud', 'Bunny Fonts', 'ElementUI', 'Express', 'Ghost', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'Pico CSS', 'Plausible Analytics', 'QUIC', 'Stripe', 'Tailwind CSS', 'UTF-8', 'jsDelivr', 'shadcn ui']"
myjewish901.org,MyJewish901 | MyJewish901,,USA,52,180,2026-04-26T03:35:20.024700536Z,"['Crowdsignal', 'GZIP Module', 'Ghost', 'Google Analytics', 'Google Analytics with Ad Tracking', 'Google Maps', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'OpenResty', 'PHP', 'Subversion', 'UTF-8']"
chasdavisshooting.com,Chas Davis Shooting,,,67,1400,2026-04-26T00:50:19.993693183Z,"['Alternate Protocol', 'ArvanCloud', 'Bunny Fonts', 'DAV', 'Digital Ocean Spaces', 'Elfsight', 'Express', 'GZIP Module', 'Ghost', 'Microdata for Google Shopping', 'Nginx', 'Postimage.org', 'UTF-8', 'jsDelivr']"
vivoh.com,Vivoh,,,52,153,2026-04-25T23:44:20.006629798Z,"['Alternate Protocol', 'Express', 'GZIP Module', 'Ghost', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Nginx', 'Plausible Analytics', 'Twitter Ads', 'UTF-8', 'Ubuntu']"
ramith.fyi,Ramith Hettiarachchi's Personal Website,,JPN,92,108040,2026-04-25T20:53:37.720674452Z,"['AWS WAF Challenge', 'Adobe Creative Cloud WebFonts', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Financial Services Guide', 'Ghost', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'KVH', 'M247', 'Microdata for Google Shopping', 'SMC', 'Twitter Ads', 'UTF-8', 'University or College', 'Vercel', 'WebAssembly', 'YouTube', 'jsDelivr']"
seattlegpa.com,Seattle Group for Police Accountability,,USA,72,,2026-04-25T16:35:20.001139133Z,"['Alternate Protocol', 'Express', 'GZIP Module', 'Ghost', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Nginx', 'Twitter Ads', 'UTF-8', 'Ubuntu']"
3pgold.com,NORFED American Liberty Currency Gold Certificates,,,72,1524,2026-04-25T15:40:22.824197802Z,"['Alternate Protocol', 'ArvanCloud', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Express', 'Ghost', 'Google Analytics', 'Google Tag Manager', 'Hive.co', 'Microdata for Google Shopping', 'QUIC', 'UTF-8', 'jsDelivr', 'shadcn ui']"
